期間,總計_原始值,總計_年增率(%),總計_原始值,總計_年增率(%),鋼骨鋼筋混凝土構造_原始值,鋼骨鋼筋混凝土構造_年增率(%),鋼骨鋼筋混凝土構造_原始值,鋼骨鋼筋混凝土構造_年增率(%),混凝土構造_原始值,混凝土構造_年增率(%),混凝土構造_原始值,混凝土構造_年增率(%),鋼構造_原始值,鋼構造_年增率(%),鋼構造_原始值,鋼構造_年增率(%),磚構造_原始值,磚構造_年增率(%),磚構造_原始值,磚構造_年增率(%),木構造_原始值,木構造_年增率(%),木構造_原始值,木構造_年增率(%),其他_原始值,其他_年增率(%),其他_原始值,其他_年增率(%)
2003M08,"2,242,242",-3.04,"13,374,353",-16.79,"393,717",-7.29,"1,937,305",-43.35,"1,736,528",0.45,"11,034,128",-8.13,"44,045",-34.56,"182,238",-48.24,"24,697",-48.75,"92,254",-35.30,"7,337",119.54,"20,522",676.76,"35,918",-10.78,"107,906",-25.82
2003M09,"2,534,875",68.00,"15,226,876",40.06,"285,678",-14.47,"1,888,037",-43.94,"2,076,096",93.32,"12,579,665",79.20,"114,496",311.62,"553,013",357.73,"33,997",83.03,"104,023",109.87,"6,513",355.45,"16,218",277.78,"18,095",-65.94,"85,920",-72.23
2003M10,"2,280,468",26.39,"14,127,045",30.64,"539,609",103.50,"3,700,082",93.96,"1,540,977",20.88,"9,214,058",19.22,"118,862",-20.79,"641,872",-5.87,"19,258",-44.86,"70,489",-50.35,"3,607",-48.09,"10,941",-44.46,"58,155",-19.69,"489,603",46.57
2003M11,"2,433,255",19.04,"16,109,656",24.60,"264,555",-6.43,"2,193,539",19.81,"1,939,326",17.98,"12,089,707",13.67,"205,594",352.07,"1,737,603",920.32,"14,003",-56.63,"43,950",-61.42,971,-82.52,"2,759",-71.23,"8,806",-74.35,"42,098",-74.98
2003M12,"2,620,833",8.99,"16,111,970",0.96,"219,254",-58.66,"1,415,564",-70.36,"2,198,248",27.59,"13,885,464",30.46,"66,042",33.60,"292,225",41.21,"25,638",-53.98,"104,084",-41.48,"11,908",32.81,"11,650",-53.41,"99,743",166.12,"402,983",210.38
2004M01,"1,841,446",-32.62,"12,317,603",-35.89,"329,874",-42.44,"2,592,242",-54.40,"1,319,761",-30.91,"8,700,416",-30.25,"128,350",-0.88,"614,403",67.31,"19,102",-32.31,"75,955",-26.27,"14,421","2,014.52","28,575","1,125.34","29,938",-67.14,"306,012",-47.47
2004M02,"1,589,961",48.17,"9,560,903",36.18,"167,624",-25.01,"1,202,366",-24.05,"1,329,587",74.60,"7,959,955",56.16,"47,344",27.74,"216,191",38.58,"7,542",-50.64,"29,517",-62.44,"9,746",119.06,"20,928",61.88,"28,118",-9.91,"131,946",42.19
2004M03,"2,188,999",7.87,"13,558,363",-4.57,"499,701",2.73,"4,147,766",-1.06,"1,591,918",9.55,"8,929,079",-7.43,"51,445",51.59,"237,693",54.03,"17,824",-23.58,"66,645",-26.72,"2,580",13.16,"8,120",44.66,"25,531",-15.31,"169,060",41.64
2004M04,"1,611,775",-0.26,"9,452,137",-12.63,"164,701",-56.16,"1,050,697",-69.37,"1,371,993",25.13,"8,109,456",19.95,"37,845",-31.30,"158,861",-31.51,"14,275",-11.71,"50,656",-19.84,"13,180",46.79,"37,237",46.41,"9,781",-84.63,"45,230",-85.26
2004M05,"2,402,955",11.56,"16,130,828",0.74,"316,598",-55.32,"2,922,217",-62.97,"2,000,987",50.51,"12,884,048",68.88,"41,082",-43.28,"178,850",-39.56,"24,235",55.34,"76,972",-9.00,"7,815",10.38,"21,526",1.58,"12,238",-41.39,"47,215",-47.62
2004M06,"2,240,112",-1.50,"14,137,265",-12.37,"304,153",-49.30,"1,771,769",-69.97,"1,863,330",19.39,"12,034,544",23.24,"34,606",-48.61,"145,188",-48.30,"11,861",-39.72,"46,452",-36.36,"1,892",-78.10,"5,361",-78.03,"24,270",35.34,"133,951",51.80
2004M07,"2,402,850",-4.13,"15,180,710",10.10,"273,309",-37.63,"2,223,884",-22.39,"2,049,271",5.78,"12,646,820",21.39,"45,471",-13.06,"170,335",-23.63,"21,260",15.31,"77,678",11.37,"4,765",-61.00,"18,114",-6.77,"8,774",-81.62,"43,879",-77.19
2004M08,"2,004,925",-10.58,"11,818,579",-11.63,"291,062",-26.07,"2,134,132",10.16,"1,643,764",-5.34,"9,419,204",-14.64,"32,816",-25.49,"139,031",-23.71,"16,447",-33.40,"53,770",-41.72,"9,200",25.39,"26,378",28.54,"11,636",-67.60,"46,064",-57.31
2004M09,"2,473,891",-2.41,"15,901,693",4.43,"377,876",32.27,"2,198,761",16.46,"1,996,829",-3.82,"13,191,553",4.86,"67,642",-40.92,"326,547",-40.95,"21,113",-37.90,"73,184",-29.65,884,-86.43,"2,495",-84.62,"9,547",-47.24,"109,153",27.04
