期間,合計_原始值,合計_年增率(%),公營事業_原始值,公營事業_年增率(%),民營企業_原始值,民營企業_年增率(%),個人等_原始值,個人等_年增率(%),政府機關_原始值,政府機關_年增率(%)
2005,"16,098,378",8.32,"557,852",22.30,"6,032,762",8.81,"7,725,560",11.25,"1,782,204",-7.05
2006,"16,501,113",2.50,"525,392",-5.82,"6,511,663",7.94,"7,871,342",1.89,"1,592,717",-10.63
2007,"16,944,572",2.69,"591,936",12.67,"6,903,289",6.01,"8,088,161",2.75,"1,361,187",-14.54
2008,"17,378,376",2.56,"760,190",28.42,"7,218,230",4.56,"8,147,637",0.74,"1,252,318",-8.00
