期間,發行部門-其他金融機構_原始值,發行部門-其他金融機構_年增率(%),發行部門-公營事業_原始值,發行部門-公營事業_年增率(%),發行部門-民營企業_原始值,發行部門-民營企業_年增率(%),持有部門-其他貨幣機構_原始值,持有部門-其他貨幣機構_年增率(%),持有部門-保險公司及退休基金_原始值,持有部門-保險公司及退休基金_年增率(%),持有部門-其他金融機構_原始值,持有部門-其他金融機構_年增率(%),持有部門-公營事業_原始值,持有部門-公營事業_年增率(%),持有部門-民營企業_原始值,持有部門-民營企業_年增率(%),持有部門-家庭及非營利團體_原始值,持有部門-家庭及非營利團體_年增率(%),持有部門-國外_原始值,持有部門-國外_年增率(%)
2000,"15,377",...,"84,685",...,"607,242",...,"112,961",...,"114,921",...,"403,431",...,635,...,"18,698",...,"56,427",...,231,...
2001,"17,282",12.39,"126,220",49.05,"665,020",9.51,"104,780",-7.24,"116,631",1.49,"517,399",28.25,632,-0.47,"17,492",-6.45,"50,853",-9.88,735,218.18
2002,"68,006",293.50,"172,610",36.75,"766,621",15.28,"128,383",22.53,"111,712",-4.22,"625,291",20.85,700,10.76,"14,640",-16.30,"125,919",147.61,591,-19.59
