期間,收受部門--中央銀行,存款部門--存款貨幣機構,存款部門--其他金融機構
1982,"192,393","10,720","181,673"
1983,"195,153","7,196","187,957"
1984,"215,756","7,574","208,182"
1985,"264,134","7,066","257,068"
1986,"515,321","149,933","365,388"
