期間,合計_原始值,合計_年增率(%),合計_原始值,合計_年增率(%),銀行_原始值,銀行_年增率(%),銀行_原始值,銀行_年增率(%),票券及信託公司_原始值,票券及信託公司_年增率(%),票券及信託公司_原始值,票券及信託公司_年增率(%),保險公司_原始值,保險公司_年增率(%),保險公司_原始值,保險公司_年增率(%),公營事業_原始值,公營事業_年增率(%),公營事業_原始值,公營事業_年增率(%),民營事業_原始值,民營事業_年增率(%),民營事業_原始值,民營事業_年增率(%),個人_原始值,個人_年增率(%),個人_原始值,個人_年增率(%),其他_原始值,其他_年增率(%),其他_原始值,其他_年增率(%)
1999M07,"3,054,172",-9.47,"2,487,113",-12.60,"791,819",-2.58,"1,135,050",-27.11,"699,878",-27.33,"346,685",-8.41,"66,758",-1.45,"100,967",21.38,"52,076",-73.53,"43,292",-68.71,"1,282,652",-24.24,"656,490",-31.04,"24,930",-91.85,"34,159",-89.27,"136,059",22.59,"170,470",-1.68
1999M08,"2,769,252",-13.78,"2,304,732",-10.22,"678,745",-15.74,"1,100,611",-23.55,"683,397",-27.10,"351,606",-4.85,"70,894",-2.02,"86,770",23.24,"51,324",-72.62,"35,937",-70.16,"1,145,400",-27.67,"535,818",-40.33,"21,464",-92.63,"34,230",-88.46,"118,028",22.18,"159,760",14.26
1999M09,"2,920,362",-15.90,"2,350,670",-13.19,"749,368",-13.24,"1,139,007",-27.46,"778,052",-32.35,"394,210",-12.88,"65,644",-2.39,"101,226",61.48,"54,274",-69.23,"28,627",-72.11,"1,144,210",-32.90,"499,570",-49.26,"21,043",-93.03,"29,047",-90.95,"107,771",17.86,"158,983",36.00
1999M10,"2,861,108",-18.08,"2,282,659",-17.99,"760,060",-9.99,"1,083,187",-35.50,"709,279",-35.75,"375,232",-15.97,"67,602",23.26,"106,171",24.60,"43,338",-77.66,"38,906",-60.12,"1,142,714",-31.84,"481,609",-45.98,"18,896",-94.24,"26,436",-92.34,"119,219",8.30,"171,118",36.36
1999M11,"2,721,263",-8.09,"2,192,283",-9.71,"618,670",-21.96,"1,015,804",-24.45,"706,933",-8.63,"352,568",11.32,"70,207",21.11,"105,342",4.00,"50,546",-56.47,"35,743",-57.34,"1,144,989",-24.88,"503,707",-41.81,"19,232",-93.51,"25,727",-91.64,"110,686",10.76,"153,392",28.36
1999M12,"3,152,351",-1.51,"2,466,250",-5.21,"836,633",12.55,"1,180,358",-11.64,"846,432",1.64,"408,937",22.83,"84,732",31.35,"105,110",13.53,"47,185",-72.72,"28,767",-69.77,"1,185,970",-31.04,"547,605",-46.54,"17,942",-94.45,"22,922",-93.27,"133,457",-0.62,"172,551",19.16
2000M01,"3,058,735",12.44,"2,422,655",11.23,"764,189",27.69,"1,177,910",3.45,"829,057",11.93,"412,054",34.12,"83,358",43.47,"92,359",16.16,"71,393",3.77,"39,294",-5.06,"1,165,625",-20.30,"497,866",-37.17,"20,306",-91.65,"22,792",-90.95,"124,807",-22.47,"180,380",-3.42
2000M02,"2,202,147",13.67,"1,801,464",11.55,"552,036",-0.61,"774,443",-9.74,"561,310",9.79,"323,880",38.80,"62,067",59.11,"94,807",85.96,"60,829",56.35,"42,819",44.07,"851,215",-11.57,"409,893",-30.72,"13,135",-92.48,"16,299",-91.19,"101,555",-17.54,"139,323",7.41
2000M03,"3,084,317",1.19,"2,495,708",1.84,"688,165",-12.93,"1,098,827",-16.60,"813,267",3.19,"438,776",20.51,"96,214",44.96,"120,123",-6.84,"66,912",-35.79,"38,001",-10.20,"1,254,834",-21.98,"596,313",-31.94,"17,358",-93.35,"22,663",-91.75,"147,567",-23.12,"181,005",-9.62
2000M04,"2,905,018",29.70,"2,265,038",18.04,"789,727",38.01,"895,868",-13.18,"717,924",109.59,"414,766",152.32,"74,080",19.28,"118,504",29.48,"70,950",6.47,"49,996",52.89,"1,110,171",3.00,"581,858",30.54,"14,839",-31.66,"20,450",-26.39,"127,327",31.82,"183,596",47.09
2000M05,"3,043,264",2.96,"2,411,560",11.40,"839,391",19.13,"990,814",-8.57,"726,040",4.58,"447,478",39.40,"94,073",53.26,"132,469",48.97,"56,159",-79.13,"49,414",37.90,"1,180,381",7.82,"610,968",25.96,"15,780",-29.97,"17,199",-42.37,"131,440",20.42,"163,218",35.49
2000M06,"3,075,787",13.84,"2,468,974",14.11,"834,059",22.49,"1,048,715",-0.36,"791,834",25.87,"491,542",69.38,"105,695",70.36,"144,683",53.78,"63,209",9.76,"56,572",68.09,"1,129,118",-0.99,"527,482",-0.89,"16,403",-29.02,"19,994",-22.66,"135,469",24.70,"179,986",33.11
2000M07,"3,139,579",2.80,"2,461,701",-1.02,"794,013",0.28,"1,059,315",-6.67,"809,804",15.71,"479,261",38.24,"99,113",48.47,"143,432",42.06,"71,412",37.13,"56,593",30.72,"1,186,471",-7.50,"513,052",-21.85,"18,711",-24.95,"23,626",-30.84,"160,055",17.64,"186,422",9.36
2000M08,"3,178,349",14.77,"2,527,359",9.66,"837,928",23.45,"1,161,274",5.51,"842,602",23.30,"476,957",35.65,"116,378",64.16,"137,263",58.19,"92,199",79.64,"63,602",76.98,"1,143,651",-0.15,"505,142",-5.73,"16,522",-23.02,"18,431",-46.16,"129,069",9.35,"164,690",3.09
2000M09,"2,951,937",1.08,"2,392,023",1.76,"722,696",-3.56,"1,013,380",-11.03,"764,810",-1.70,"453,131",14.95,"91,936",40.05,"152,497",50.65,"69,713",28.45,"59,263",107.02,"1,176,494",2.82,"545,594",9.21,"12,869",-38.84,"16,689",-42.54,"113,419",5.24,"151,469",-4.73
2000M10,"2,840,925",-0.71,"2,410,694",5.61,"695,632",-8.48,"916,743",-15.37,"715,045",0.81,"456,670",21.70,"98,510",45.72,"152,305",43.45,"59,786",37.95,"73,274",88.34,"1,150,809",0.71,"650,302",35.03,"15,716",-16.83,"16,552",-37.39,"105,427",-11.57,"144,848",-15.35
2000M11,"2,982,299",9.59,"2,410,143",9.94,"673,019",8.78,"966,116",-4.89,"706,111",-0.12,"389,322",10.42,"109,220",55.57,"148,902",41.35,"58,606",15.95,"63,423",77.44,"1,305,960",14.06,"672,623",33.53,"16,646",-13.45,"18,502",-28.08,"112,737",1.85,"151,255",-1.39
2000M12,"2,928,516",-7.10,"2,457,115",-0.37,"658,540",-21.29,"962,177",-18.48,"731,082",-13.63,"455,189",11.31,"110,961",30.96,"136,167",29.55,"45,657",-3.24,"62,640",117.75,"1,264,376",6.61,"668,884",22.15,"18,762",4.57,"24,398",6.44,"99,138",-25.72,"147,660",-14.43
2001M01,"2,629,689",-14.03,"2,005,923",-17.20,"805,617",5.42,"886,385",-24.75,"593,352",-28.43,"332,845",-19.22,"91,455",9.71,"110,977",20.16,"43,548",-39.00,"58,495",48.86,"996,292",-14.53,"500,976",0.62,"20,493",0.92,"19,050",-16.42,"78,932",-36.76,"97,195",-46.12
2001M02,"2,541,956",15.43,"2,249,953",24.90,"687,070",24.46,"875,477",13.05,"620,362",10.52,"639,406",97.42,"89,168",43.66,"102,533",8.15,"47,747",-21.51,"50,481",17.89,"1,000,168",17.50,"466,793",13.88,"21,159",61.09,"19,794",21.44,"76,282",-24.89,"95,469",-31.48
2001M03,"2,813,341",-8.79,"2,243,876",-10.09,"682,958",-0.76,"1,018,613",-7.30,"702,954",-13.56,"380,720",-13.23,"101,435",5.43,"127,738",6.34,"65,940",-1.45,"46,523",22.43,"1,145,250",-8.73,"524,169",-12.10,"16,468",-5.13,"16,084",-29.03,"98,336",-33.36,"130,029",-28.16
