期間,出生人數_原始值,出生人數_年增率(%),粗出生率(0/00)_原始值,粗出生率(0/00)_年增率(%),男性出生人數_原始值,男性出生人數_年增率(%),女性出生人數_原始值,女性出生人數_年增率(%),死亡人數_原始值,死亡人數_年增率(%),粗死亡率(0/00)_原始值,粗死亡率(0/00)_年增率(%),男性死亡人數_原始值,男性死亡人數_年增率(%),女性死亡人數_原始值,女性死亡人數_年增率(%),自然增加-人數_原始值,自然增加-人數_年增率(%),自然增加-增加率(0/00)_原始值,自然增加-增加率(0/00)_年增率(%),社會增加-增加人數_原始值,社會增加-增加人數_年增率(%),社會增加-增加率(0/00)_原始值,社會增加-增加率(0/00)_年增率(%),總增加-增加人數_原始值,總增加-增加人數_年增率(%),總增加-總增加率(0/00)_原始值,總增加-總增加率(0/00)_年增率(%),婚生-計_原始值,婚生-計_年增率(%),婚生-男性_原始值,婚生-男性_年增率(%),婚生-女性_原始值,婚生-女性_年增率(%),非婚生-已認領-計_原始值,非婚生-已認領-計_年增率(%),非婚生-已認領-男性_原始值,非婚生-已認領-男性_年增率(%),非婚生-已認領-女性_原始值,非婚生-已認領-女性_年增率(%),非婚生-未認領-計_原始值,非婚生-未認領-計_年增率(%),非婚生-未認領-男性_原始值,非婚生-未認領-男性_年增率(%),非婚生-未認領-女性_原始值,非婚生-未認領-女性_年增率(%),棄嬰或無依兒童-計_原始值,棄嬰或無依兒童-計_年增率(%),棄嬰或無依兒童-男性_原始值,棄嬰或無依兒童-男性_年增率(%),棄嬰或無依兒童-女性_原始值,棄嬰或無依兒童-女性_年增率(%),出生登記人數-遺腹子-計_原始值,出生登記人數-遺腹子-計_年增率(%),出生登記人數-遺腹子-男性_原始值,出生登記人數-遺腹子-男性_年增率(%),出生登記人數-遺腹子-女性_原始值,出生登記人數-遺腹子-女性_年增率(%),出生登記人數-雙生者-計_原始值,出生登記人數-雙生者-計_年增率(%),出生登記人數-雙生者-男性_原始值,出生登記人數-雙生者-男性_年增率(%),出生登記人數-雙生者-女性_原始值,出生登記人數-雙生者-女性_年增率(%),出生登記人數-三生以上者-計_原始值,出生登記人數-三生以上者-計_年增率(%),出生登記人數-三生以上者-男性_原始值,出生登記人數-三生以上者-男性_年增率(%),出生登記人數-三生以上者-女性_原始值,出生登記人數-三生以上者-女性_年增率(%)
2007M05,"16,463",-1.75,0.72,-,"8,647",-2.55,"7,816",-0.86,"12,083",6.80,0.53,-,"7,383",4.21,"4,700",11.14,"4,380",-,0.19,-,"3,001",-,0.13,-,"7,381",-,0.32,-,"15,698",-2.02,"8,237",-3.19,"7,461",-0.71,208,4.00,113,10.78,95,-3.06,553,4.14,294,12.64,259,-4.07,4,0.00,3,50.00,1,-50.00,4,-50.00,2,-33.33,2,-60.00,447,-4.28,237,-3.27,210,-5.41,22,37.50,14,40.00,8,33.33
2007M06,"14,687",-11.30,0.64,-,"7,745",-11.47,"6,942",-11.11,"10,583",-6.97,0.46,-,"6,503",-7.85,"4,080",-5.53,"4,104",-,0.18,-,"3,510",-,0.15,-,"7,614",-,0.33,-,"14,048",-11.54,"7,412",-11.76,"6,636",-11.30,187,0.54,105,-7.08,82,12.33,445,-9.00,223,-5.11,222,-12.60,7,250.00,5,--,2,0.00,4,100.00,1,--,3,50.00,436,-8.02,223,-15.53,213,1.43,13,-23.53,8,60.00,5,-58.33
2007M07,"16,737",2.43,0.73,-,"8,692",0.45,"8,045",4.66,"11,870",4.86,0.52,-,"7,297",3.90,"4,573",6.42,"4,867",-,0.21,-,"4,528",-,0.20,-,"9,395",-,0.41,-,"15,949",1.86,"8,309",0.13,"7,640",3.82,204,10.27,105,9.38,99,11.24,581,17.61,276,6.98,305,29.24,3,-25.00,2,100.00,1,-66.67,6,20.00,4,100.00,2,-33.33,488,14.55,274,41.24,214,-7.76,6,-60.00,4,-63.64,2,-50.00
2007M08,"18,109",4.61,0.79,-,"9,456",5.31,"8,653",3.85,"11,493",1.22,0.50,-,"7,167",-0.15,"4,326",3.59,"6,616",-,0.29,-,"2,342",-,0.10,-,"8,958",-,0.39,-,"17,298",4.42,"9,042",5.19,"8,256",3.59,249,32.45,121,21.00,128,45.45,550,-0.90,284,0.71,266,-2.56,12,500.00,9,800.00,3,200.00,8,166.67,4,300.00,4,100.00,499,5.05,275,17.02,224,-6.67,6,-40.00,4,-33.33,2,-50.00
2007M09,"14,863",-11.87,0.65,-,"7,777",-12.03,"7,086",-11.68,"10,238",-1.15,0.45,-,"6,376",-1.92,"3,862",0.16,"4,625",-,0.20,-,436,-,0.02,-,"5,061",-,0.22,-,"14,188",-12.05,"7,442",-11.84,"6,746",-12.28,210,14.75,96,-2.04,114,34.12,461,-15.26,237,-20.74,224,-8.57,4,-33.33,2,-33.33,2,-33.33,3,-66.67,3,0.00,0,-100.00,436,-4.18,238,-0.42,198,-8.33,16,60.00,11,120.00,5,0.00
2007M10,"19,233",1.62,0.84,-,"10,018",2.27,"9,215",0.92,"12,260",8.34,0.53,-,"7,557",6.53,"4,703",11.39,"6,973",-,0.30,-,"2,713",-,0.12,-,"9,686",-,0.42,-,"18,424",1.65,"9,615",2.29,"8,809",0.96,255,-1.54,129,-0.77,126,-2.33,552,1.85,273,3.02,279,0.72,2,100.00,1,0.00,1,--,3,-50.00,1,-75.00,2,0.00,503,29.31,258,34.38,245,24.37,16,33.33,9,28.57,7,40.00
2007M11,"19,311",1.87,0.84,-,"10,046",1.47,"9,265",2.30,"11,510",2.84,0.50,-,"7,089",1.72,"4,421",4.69,"7,801",-,0.34,-,"2,984",-,0.13,-,"10,785",-,0.47,-,"18,520",1.90,"9,636",1.57,"8,884",2.26,225,14.21,111,2.78,114,28.09,562,-3.60,297,-1.98,265,-5.36,4,100.00,2,0.00,2,--,2,-50.00,0,--,2,-50.00,507,14.45,251,7.73,256,21.90,12,9.09,2,-71.43,10,150.00
2007M12,"19,353",11.52,0.84,-,"10,167",13.65,"9,186",9.25,"11,913",9.44,0.52,-,"7,305",7.90,"4,608",11.98,"7,440",-,0.32,-,"5,138",-,0.22,-,"12,578",-,0.55,-,"18,590",11.81,"9,770",14.06,"8,820",9.42,228,9.09,122,23.23,106,-3.64,529,2.92,272,-1.81,257,8.44,6,50.00,3,-25.00,3,--,9,50.00,7,600.00,2,-60.00,531,11.55,274,20.70,257,3.21,2,-80.00,1,-80.00,1,-80.00
2008M01,"18,323",0.54,0.80,-,"9,590",1.57,"8,733",-0.56,"12,897",-3.57,0.56,-,"7,924",-3.25,"4,973",-4.07,"5,426",-,0.24,-,"2,673",-,0.12,-,"8,099",-,0.35,-,"17,550",0.41,"9,205",1.84,"8,345",-1.13,323,64.80,163,75.27,160,55.34,445,-17.74,219,-28.20,226,-4.24,5,-37.50,3,-40.00,2,-33.33,6,20.00,3,50.00,3,0.00,513,21.85,258,18.89,255,25.00,15,15.38,6,0.00,9,28.57
2008M02,"16,065",19.04,0.70,-,"8,373",17.10,"7,692",21.21,"12,805",25.32,0.56,-,"7,989",27.36,"4,816",22.08,"3,260",-,0.14,-,"3,903",-,0.17,-,"7,163",-,0.31,-,"15,405",19.60,"8,054",17.97,"7,351",21.44,277,73.12,145,76.83,132,69.23,381,-16.26,174,-27.80,207,-3.27,2,100.00,0,--,2,100.00,4,100.00,3,200.00,1,0.00,448,34.94,227,35.12,221,34.76,11,10.00,2,-50.00,9,50.00
2008M03,"16,114",-12.85,0.70,-,"8,439",-13.27,"7,675",-12.39,"13,378",-3.69,0.58,-,"8,298",-4.69,"5,080",-2.01,"2,736",-,0.12,-,"2,442",-,0.11,-,"5,178",-,0.23,-,"15,422",-12.27,"8,106",-12.33,"7,316",-12.19,278,10.32,129,-4.44,149,27.35,414,-36.60,204,-40.87,210,-31.82,0,-100.00,0,-100.00,0,-100.00,4,-33.33,3,-50.00,1,--,387,-20.86,184,-24.59,203,-17.14,13,-38.10,6,-40.00,7,-36.36
2008M04,"15,549",0.65,0.68,-,"8,229",2.50,"7,320",-1.35,"12,195",4.42,0.53,-,"7,469",3.98,"4,726",5.12,"3,354",-,0.15,-,"1,132",-,0.05,-,"4,486",-,0.20,-,"14,838",0.78,"7,856",2.43,"6,982",-1.01,295,54.45,162,54.29,133,54.65,413,-22.37,209,-17.39,204,-26.88,3,50.00,2,--,1,-50.00,6,100.00,2,100.00,4,100.00,397,-14.25,228,-1.30,169,-27.16,6,-68.42,4,-42.86,2,-83.33
2008M05,"15,309",-7.01,0.67,-,"8,067",-6.71,"7,242",-7.34,"11,594",-4.05,0.50,-,"7,116",-3.62,"4,478",-4.72,"3,715",-,0.16,-,"1,427",-,0.06,-,"5,142",-,0.22,-,"14,678",-6.50,"7,733",-6.12,"6,945",-6.92,254,22.12,137,21.24,117,23.16,374,-32.37,195,-33.67,179,-30.89,3,-25.00,2,-33.33,1,0.00,4,0.00,1,-50.00,3,50.00,366,-18.12,195,-17.72,171,-18.57,10,-54.55,4,-71.43,6,-25.00
2008M06,"14,429",-1.76,0.63,-,"7,545",-2.58,"6,884",-0.84,"11,104",4.92,0.48,-,"6,819",4.86,"4,285",5.02,"3,325",-,0.14,-,"2,509",-,0.11,-,"5,834",-,0.25,-,"13,840",-1.48,"7,265",-1.98,"6,575",-0.92,235,25.67,104,-0.95,131,59.76,353,-20.67,175,-21.52,178,-19.82,1,-85.71,1,-80.00,0,-100.00,2,-50.00,0,-100.00,2,-33.33,375,-13.99,194,-13.00,181,-15.02,18,38.46,6,-25.00,12,140.00
2008M07,"16,063",-4.03,0.70,-,"8,435",-2.96,"7,628",-5.18,"11,696",-1.47,0.51,-,"7,158",-1.90,"4,538",-0.77,"4,367",-,0.19,-,"2,198",-,0.10,-,"6,565",-,0.29,-,"15,431",-3.25,"8,112",-2.37,"7,319",-4.20,244,19.61,124,18.10,120,21.21,383,-34.08,198,-28.26,185,-39.34,5,66.67,1,-50.00,4,300.00,5,-16.67,2,-50.00,3,50.00,502,2.87,250,-8.76,252,17.76,13,116.67,7,75.00,6,200.00
