期間,勞動力參與率_合計,勞動力參與率_15-19,勞動力參與率_20-24,勞動力參與率_25-29,勞動力參與率_30-34,勞動力參與率_35-39,勞動力參與率_40-44,勞動力參與率_45-49,勞動力參與率_50-54,勞動力參與率_55-59,勞動力參與率_60-64,勞動力參與率_65以上,勞動力參與率_合計,勞動力參與率_15-19,勞動力參與率_20-24,勞動力參與率_25-29,勞動力參與率_30-34,勞動力參與率_35-39,勞動力參與率_40-44,勞動力參與率_45-49,勞動力參與率_50-54,勞動力參與率_55-59,勞動力參與率_60-64,勞動力參與率_65以上,勞動力參與率_合計,勞動力參與率_15-19,勞動力參與率_20-24,勞動力參與率_25-29,勞動力參與率_30-34,勞動力參與率_35-39,勞動力參與率_40-44,勞動力參與率_45-49,勞動力參與率_50-54,勞動力參與率_55-59,勞動力參與率_60-64,勞動力參與率_65以上,失業率_合計,失業率_15-19,失業率_20-24,失業率_25-29,失業率_30-34,失業率_35-39,失業率_40-44,失業率_45-49,失業率_50-54,失業率_55-59,失業率_60-64,失業率_65以上,失業率_合計,失業率_15-19,失業率_20-24,失業率_25-29,失業率_30-34,失業率_35-39,失業率_40-44,失業率_45-49,失業率_50-54,失業率_55-59,失業率_60-64,失業率_65以上,失業率_合計,失業率_15-19,失業率_20-24,失業率_25-29,失業率_30-34,失業率_35-39,失業率_40-44,失業率_45-49,失業率_50-54,失業率_55-59,失業率_60-64,失業率_65以上
2005M04,57.63,9.35,53.03,82.25,82.57,81.88,79.16,75.57,64.83,48.97,33.25,7.71,67.78,10.66,50.54,88.25,94.60,95.19,94.16,91.52,84.13,68.61,50.04,11.36,47.65,7.99,55.09,76.38,70.69,68.56,64.00,59.67,45.59,29.63,17.30,4.03,4.04,9.34,9.37,5.35,3.50,2.83,3.16,3.35,3.20,2.34,2.51,0.32,4.34,9.91,9.38,6.59,3.95,2.80,3.61,3.94,4.10,2.32,2.87,0.43,3.62,8.54,9.36,3.94,2.90,2.88,2.49,2.45,1.53,2.39,1.51,0.00
2005M05,57.72,9.35,53.04,82.68,82.71,82.05,79.42,75.64,64.87,49.16,33.24,7.51,67.72,10.23,49.67,88.98,94.74,94.44,94.20,90.86,84.97,71.10,48.14,11.03,47.91,8.43,55.84,76.52,70.82,69.65,64.49,60.46,44.84,27.59,19.10,3.97,4.10,10.78,9.75,5.53,3.44,2.70,3.15,3.34,3.07,2.71,2.69,0.39,4.28,11.14,10.32,6.50,3.81,2.58,3.37,3.60,3.75,2.99,3.09,0.53,3.86,10.32,9.32,4.42,2.94,2.85,2.83,2.95,1.79,2.01,1.73,0.00
2005M06,57.75,9.88,53.21,82.89,83.00,81.72,79.55,75.52,64.64,49.20,32.66,7.39,67.61,10.71,50.00,90.12,94.19,94.22,93.29,90.47,84.21,70.62,47.56,11.23,48.06,9.00,55.87,75.79,71.97,69.21,65.69,60.59,45.16,28.19,18.53,3.54,4.22,12.86,10.58,5.73,3.49,2.67,3.01,3.17,3.13,2.82,2.78,0.40,4.33,13.38,11.84,6.25,3.33,2.73,3.32,3.45,3.59,3.00,3.92,0.53,4.08,12.22,9.64,5.11,3.70,2.58,2.58,2.76,2.28,2.37,0.00,0.00
2005M07,57.87,11.39,53.79,83.16,82.84,82.03,79.41,75.27,64.16,49.03,31.91,7.49,67.66,11.48,48.60,89.72,95.29,94.57,93.34,91.47,82.88,70.39,47.46,11.32,48.26,11.30,58.09,76.72,70.58,69.47,65.35,59.09,45.56,28.13,17.14,3.65,4.32,13.83,12.11,5.90,3.65,2.85,2.62,2.90,2.75,2.86,1.71,0.59,4.42,16.09,11.84,6.73,3.97,3.04,3.15,3.34,3.09,3.15,2.16,0.79,4.18,11.40,12.30,4.96,3.23,2.60,1.84,2.23,2.12,2.16,0.53,0.00
2005M08,58.02,12.21,54.68,84.09,82.62,82.32,79.17,74.85,64.45,48.34,31.77,7.25,67.70,12.09,47.83,89.26,95.55,95.51,93.94,91.78,83.22,69.21,46.73,10.75,48.52,12.33,60.35,79.02,69.86,69.12,64.25,57.98,45.77,27.85,17.57,3.74,4.36,14.44,11.62,6.25,3.60,3.07,2.50,2.76,2.73,2.67,2.15,0.62,4.40,16.67,11.08,7.11,3.83,3.41,2.85,3.20,2.78,3.41,2.50,0.83,4.30,12.14,11.97,5.29,3.30,2.61,1.98,2.08,2.63,0.85,1.27,0.00
2005M09,57.70,10.43,52.99,84.61,82.88,81.85,79.06,75.07,64.24,48.34,32.40,6.88,67.47,10.77,48.68,90.06,94.58,95.55,93.86,90.93,83.14,68.41,47.22,10.26,48.13,10.06,56.56,79.26,71.32,68.19,64.11,59.28,45.38,28.63,18.34,3.50,4.14,14.55,11.68,6.13,3.50,2.78,2.50,2.59,2.33,2.18,1.68,0.15,4.09,13.93,11.84,7.28,3.25,3.11,2.78,2.49,2.65,2.31,1.79,0.20,4.21,15.25,11.57,4.84,3.83,2.30,2.09,2.75,1.74,1.89,1.40,0.00
2005M10,57.84,11.25,52.98,84.80,83.11,81.69,79.43,75.46,64.32,48.44,31.86,6.72,67.45,10.59,50.44,89.96,94.44,95.16,93.58,91.56,83.65,67.76,46.56,9.45,48.41,11.94,55.08,79.74,71.93,68.22,65.15,59.36,45.09,29.49,17.91,4.00,4.07,12.26,11.01,6.10,3.63,2.59,2.56,2.57,2.47,2.35,1.15,0.87,4.07,11.22,12.53,6.46,3.59,3.01,2.68,2.58,2.96,2.43,1.46,1.08,4.07,13.24,9.86,5.70,3.70,2.00,2.38,2.56,1.59,2.17,0.40,0.38
2005M11,57.88,11.06,53.18,84.45,83.39,81.91,79.59,75.52,64.49,48.37,31.85,6.75,67.43,12.02,49.29,89.19,94.60,95.42,93.80,92.07,83.46,65.85,46.47,9.79,48.52,10.04,56.40,79.80,72.32,68.40,65.27,59.01,45.61,31.20,18.00,3.72,3.94,11.33,10.10,6.07,3.68,2.63,2.29,2.42,2.74,2.41,1.09,0.32,4.07,11.68,12.28,6.60,4.16,2.45,2.48,2.27,3.55,2.94,1.07,0.21,3.77,10.88,8.52,5.50,3.07,2.88,2.00,2.67,1.26,1.32,1.13,0.60
2005M12,57.85,10.62,52.73,84.17,83.84,82.08,80.00,75.12,64.85,48.08,31.50,6.95,67.44,11.46,47.84,89.11,94.88,95.15,93.99,92.48,83.43,67.06,46.91,10.17,48.44,9.73,56.79,79.32,72.97,69.03,65.91,57.75,46.39,29.47,16.89,3.74,3.86,10.57,9.40,5.60,3.80,2.83,2.35,2.44,2.83,2.41,1.25,0.88,4.13,10.94,11.43,6.79,4.40,2.83,2.63,2.47,3.20,2.93,1.63,0.81,3.49,10.10,7.98,4.29,3.03,2.84,1.95,2.39,2.17,1.25,0.24,1.09
2006M01,57.76,10.32,52.45,84.08,84.07,82.01,80.12,74.92,64.62,47.83,31.47,7.05,67.45,10.68,48.85,88.68,94.37,94.98,93.87,91.57,84.01,69.08,47.63,10.24,48.26,9.93,55.45,79.56,73.91,69.07,66.28,58.24,45.41,27.01,16.17,3.89,3.80,10.37,9.29,5.77,3.66,2.66,2.42,2.37,2.34,2.77,2.14,0.10,4.04,10.06,12.23,6.37,3.71,2.64,2.58,2.76,2.89,3.57,2.55,0.14,3.48,10.72,7.14,5.11,3.59,2.69,2.18,1.75,1.34,0.76,0.99,0.00
