期間,提繳事業單位家數(家)_原始值,提繳事業單位家數(家)_年增率(%),家數提繳率(%)_原始值,家數提繳率(%)_年增率(%),提繳人數(人)_原始值,提繳人數(人)_年增率(%),人數提繳率(%)_原始值,人數提繳率(%)_年增率(%),提繳人數(人)-男_原始值,提繳人數(人)-男_年增率(%),提繳人數(人)-女_原始值,提繳人數(人)-女_年增率(%),平均提繳工資(元)_原始值,平均提繳工資(元)_年增率(%),實計提繳金額(千元)_原始值,實計提繳金額(千元)_年增率(%),實計核發退休金-件數(件)_原始值,實計核發退休金-件數(件)_年增率(%),實計核發退休金-金額(千元)_原始值,實計核發退休金-金額(千元)_年增率(%),基金餘額(千元)_原始值,基金餘額(千元)_年增率(%)
2007M10,"373,650",4.68,87.32,-,"4,490,400",5.54,79.49,-,"2,297,896",5.72,"2,192,504",5.34,"31,412",3.02,"8,736,909",-0.10,"3,801",543.15,"82,317",250.57,"216,843,466",96.02
2007M11,"374,973",4.42,87.52,-,"4,520,929",5.52,79.72,-,"2,313,443",5.70,"2,207,486",5.33,"31,430",3.15,"9,071,166",9.68,"2,087",249.00,"78,329",231.24,"225,508,163",89.46
2007M12,"375,061",4.08,87.65,-,"4,506,601",5.02,79.73,-,"2,309,930",5.28,"2,196,671",4.75,"31,530",3.39,"9,537,653",10.87,"1,213",114.69,"73,747",203.32,"234,680,505",83.68
2008M01,"376,468",3.96,87.73,-,"4,556,226",5.36,79.23,-,"2,339,172",5.62,"2,217,054",5.08,"31,478",3.38,"9,421,828",5.44,"1,179",65.59,"83,702",168.47,"243,156,370",77.67
2008M02,"376,627",3.72,87.82,-,"4,521,173",5.35,79.10,-,"2,317,219",5.61,"2,203,954",5.08,"31,653",3.16,"8,376,140",17.69,862,49.13,"67,688",118.26,"249,029,672",72.78
2008M03,"378,066",3.75,88.07,-,"4,545,924",5.45,79.32,-,"2,333,106",5.71,"2,212,818",5.17,"31,659",3.08,"9,624,483",0.03,"1,338",146.86,"99,583",240.08,"257,623,509",67.36
2008M04,"379,385",3.61,88.29,-,"4,568,756",5.57,79.55,-,"2,346,162",5.80,"2,222,594",5.33,"31,716",3.12,"9,509,188",9.35,"1,355",38.55,"95,228",106.07,"268,185,085",64.73
2008M05,"380,245",3.36,88.50,-,"4,584,586",5.33,79.70,-,"2,354,460",5.52,"2,230,126",5.13,"31,694",2.98,"9,312,503",3.89,"2,079",123.55,"108,904",129.81,"277,951,257",61.64
2008M06,"380,476",3.18,88.61,-,"4,573,085",4.86,79.80,-,"2,352,821",5.08,"2,220,264",4.64,"31,720",3.05,"9,243,087",13.89,"1,992",32.45,"102,009",120.95,"286,527,231",58.95
2008M07,"380,882",3.05,88.75,-,"4,617,126",4.59,80.13,-,"2,379,312",4.79,"2,237,814",4.38,"31,562",2.31,"9,919,453",7.12,"1,438",-35.63,"91,822",40.06,"296,703,944",56.38
2008M08,"382,301",2.96,89.06,-,"4,632,583",4.48,80.42,-,"2,382,196",4.74,"2,250,387",4.20,"31,738",2.38,"9,127,545",3.60,"1,280",-52.01,"82,806",7.21,"308,118,372",55.03
2008M09,"383,620",2.99,89.36,-,"4,645,396",4.11,80.82,-,"2,382,734",4.31,"2,262,662",3.90,"31,874",2.18,"8,976,422",0.87,"2,192",-8.74,"99,363",90.12,"316,311,300",52.13
2008M10,"384,840",2.99,89.59,-,"4,659,455",3.76,81.08,-,"2,387,070",3.88,"2,272,385",3.64,"32,013",1.91,"10,457,822",19.70,"3,850",1.29,"129,483",57.30,"325,735,494",50.22
2008M11,"385,742",2.87,89.81,-,"4,657,315",3.02,81.31,-,"2,383,154",3.01,"2,274,161",3.02,"31,992",1.79,"8,928,416",-1.57,"3,823",83.18,"128,608",64.19,"332,901,348",47.62
2008M12,"385,631",2.82,90.02,-,"4,573,412",1.48,81.43,-,"2,338,659",1.24,"2,234,753",1.73,"32,043",1.63,"10,856,525",13.83,"4,056",234.38,"139,587",89.28,"340,315,655",45.01
2009M01,"387,214",2.85,90.23,-,"4,570,541",0.31,81.65,-,"2,334,287",-0.21,"2,236,254",0.87,"32,009",1.69,"8,843,452",-6.14,"1,858",57.59,"115,045",37.45,"351,501,834",44.56
2009M02,"387,399",2.86,90.37,-,"4,550,182",0.64,81.92,-,"2,319,272",0.09,"2,230,910",1.22,"32,022",1.17,"9,549,800",14.01,"1,690",96.06,"113,612",67.85,"363,047,582",45.78
2009M03,"387,710",2.55,90.55,-,"4,539,120",-0.15,82.17,-,"2,312,769",-0.87,"2,226,351",0.61,"31,826",0.53,"10,118,835",5.14,"1,917",43.27,"158,222",58.88,"370,320,689",43.74
2009M04,"388,670",2.45,90.70,-,"4,550,726",-0.39,82.38,-,"2,318,023",-1.20,"2,232,703",0.45,"31,752",0.11,"9,552,130",0.45,"1,673",23.47,"141,186",48.26,"379,808,223",41.62
2009M05,"391,747",3.02,90.68,-,"4,571,758",-0.28,82.45,-,"2,326,246",-1.20,"2,245,512",0.69,"31,712",0.06,"8,774,257",-5.78,"2,106",1.30,"121,510",11.58,"389,956,571",40.30
2009M06,"391,823",2.98,90.73,-,"4,548,789",-0.53,82.25,-,"2,320,608",-1.37,"2,228,181",0.36,"31,711",-0.03,"9,969,385",7.86,"2,428",21.89,"134,129",31.49,"403,992,942",41.00
2009M07,"393,386",3.28,90.89,-,"4,600,868",-0.35,82.38,-,"2,348,031",-1.31,"2,252,837",0.67,"31,536",-0.08,"9,837,713",-0.82,"2,514",74.83,"143,633",56.43,"416,061,247",40.23
2009M08,"394,426",3.17,91.01,-,"4,637,860",0.11,82.87,-,"2,360,885",-0.89,"2,276,975",1.18,"31,581",-0.49,"9,148,598",0.23,"3,440",168.75,"158,057",90.88,"427,073,860",38.61
2009M09,"395,669",3.14,91.12,-,"4,687,935",0.92,83.20,-,"2,382,068",-0.03,"2,305,867",1.91,"31,706",-0.53,"9,437,316",5.13,"3,142",43.34,"163,611",64.66,"436,497,830",38.00
2009M10,"397,179",3.21,91.25,-,"4,732,701",1.57,83.37,-,"2,406,602",0.82,"2,326,099",2.36,"31,687",-1.02,"9,363,033",-10.47,"1,521",-60.49,"116,690",-9.88,"449,805,217",38.09
2009M11,"398,773",3.38,91.38,-,"4,752,817",2.05,83.55,-,"2,418,941",1.50,"2,333,876",2.63,"31,859",-0.42,"9,680,379",8.42,"1,335",-65.08,"100,806",-21.62,"460,376,254",38.29
2009M12,"399,116",3.50,91.45,-,"4,737,178",3.58,83.42,-,"2,418,516",3.41,"2,318,662",3.75,"31,909",-0.42,"10,630,537",-2.08,"1,608",-60.36,"131,669",-5.67,"472,413,673",38.82
