期間,利率有關契約_原始值,利率有關契約_年增率(%),利率有關契約-店頭市場_原始值,利率有關契約-店頭市場_年增率(%),利率有關契約-店頭市場-遠期利率協議_原始值,利率有關契約-店頭市場-遠期利率協議_年增率(%),利率有關契約-店頭市場-換利_原始值,利率有關契約-店頭市場-換利_年增率(%),利率有關契約-店頭市場-買入選擇權_原始值,利率有關契約-店頭市場-買入選擇權_年增率(%),利率有關契約-店頭市場-賣出選擇權_原始值,利率有關契約-店頭市場-賣出選擇權_年增率(%),利率有關契約-交易所_原始值,利率有關契約-交易所_年增率(%),利率有關契約-交易所-期貨-長部位_原始值,利率有關契約-交易所-期貨-長部位_年增率(%),利率有關契約-交易所-期貨-短部位_原始值,利率有關契約-交易所-期貨-短部位_年增率(%),利率有關契約-交易所-買入選擇權_原始值,利率有關契約-交易所-買入選擇權_年增率(%),利率有關契約-交易所-賣出選擇權_原始值,利率有關契約-交易所-賣出選擇權_年增率(%),匯率有關契約_原始值,匯率有關契約_年增率(%),匯率有關契約-店頭市場_原始值,匯率有關契約-店頭市場_年增率(%),匯率有關契約-店頭市場-遠期契約_原始值,匯率有關契約-店頭市場-遠期契約_年增率(%),匯率有關契約-店頭市場-換匯_原始值,匯率有關契約-店頭市場-換匯_年增率(%),匯率有關契約-店頭市場-換匯換利_原始值,匯率有關契約-店頭市場-換匯換利_年增率(%),匯率有關契約-店頭市場-買入選擇權_原始值,匯率有關契約-店頭市場-買入選擇權_年增率(%),匯率有關契約-店頭市場-賣出選擇權_原始值,匯率有關契約-店頭市場-賣出選擇權_年增率(%),匯率有關契約-交易所_原始值,匯率有關契約-交易所_年增率(%),匯率有關契約-交易所-期貨-長部位_原始值,匯率有關契約-交易所-期貨-長部位_年增率(%),匯率有關契約-交易所-期貨-期貨-短部位_原始值,匯率有關契約-交易所-期貨-期貨-短部位_年增率(%),匯率有關契約-交易所-期貨-買入選擇權_原始值,匯率有關契約-交易所-期貨-買入選擇權_年增率(%),匯率有關契約-交易所-期貨-賣出選擇權_原始值,匯率有關契約-交易所-期貨-賣出選擇權_年增率(%),權益證券有關契約_原始值,權益證券有關契約_年增率(%),權益證券有關契約-店頭市場_原始值,權益證券有關契約-店頭市場_年增率(%),權益證券有關契約-交易所_原始值,權益證券有關契約-交易所_年增率(%),商品有關契約_原始值,商品有關契約_年增率(%),商品有關契約-店頭市場_原始值,商品有關契約-店頭市場_年增率(%),商品有關契約-交易所_原始值,商品有關契約-交易所_年增率(%),小計(利率、匯率、權益證券與商品有關契約)_原始值,小計(利率、匯率、權益證券與商品有關契約)_年增率(%),信用有關契約_原始值,信用有關契約_年增率(%),信用有關契約-信用違約交換_原始值,信用有關契約-信用違約交換_年增率(%),信用有關契約-買入信用違約選擇權_原始值,信用有關契約-買入信用違約選擇權_年增率(%),信用有關契約-賣出信用違約選擇權_原始值,信用有關契約-賣出信用違約選擇權_年增率(%),信用有關契約-其他_原始值,信用有關契約-其他_年增率(%),其他有關契約_原始值,其他有關契約_年增率(%),其他有關契約-遠期契約_原始值,其他有關契約-遠期契約_年增率(%),其他有關契約-交換_原始值,其他有關契約-交換_年增率(%),其他有關契約-選擇權_原始值,其他有關契約-選擇權_年增率(%),總計_原始值,總計_年增率(%)
2002M02,"110,980",191.70,"110,858",191.38,"55,175",208.97,"49,301",179.07,"3,266",188.52,"3,116",124.17,122,--,61,--,61,--,0,--,0,--,"1,010,961",22.31,"1,010,961",22.31,"282,924",59.36,"430,317",9.19,"18,985","1,809.96","141,200",10.91,"137,535",8.64,0,--,0,--,0,--,0,--,0,--,913,--,913,--,0,--,"8,928",69.67,"8,928",69.67,0,--,"1,131,782",30.11,-,--,-,--,-,--,-,--,-,--,-,--,-,--,-,--,-,--,"1,131,782",30.11
2002M03,"261,223",401.32,"259,289",397.86,"118,888",271.84,"131,432",726.41,"4,779",134.72,"4,190",93.27,"1,934","7,338.46",149,473.08,"1,785",--,0,--,0,--,"1,311,254",15.11,"1,311,254",15.11,"292,730",7.50,"592,459",29.73,"9,256",20.80,"209,321",4.02,"207,488",3.12,0,--,0,--,0,--,0,--,0,--,"5,323",--,"5,323",--,0,--,0,-100.00,0,-100.00,0,--,"1,577,800",32.31,-,--,-,--,-,--,-,--,-,--,-,--,-,--,-,--,-,--,"1,577,800",32.31
2002M04,"276,445",297.93,"269,455",289.39,"68,214",105.03,"163,176",397.96,"26,516","1,773.92","11,549",561.83,"6,990","2,469.85","2,854","1,608.98","4,136","3,839.05",0,--,0,--,"1,371,856",32.56,"1,371,856",32.56,"364,608",37.82,"491,001",14.53,"16,540",41.62,"252,167",51.70,"247,540",51.19,0,--,0,--,0,--,0,--,0,--,"2,929",--,"2,929",--,0,--,"1,596",--,"1,596",--,0,--,"1,652,826",49.66,-,--,-,--,-,--,-,--,-,--,-,--,-,--,-,--,-,--,"1,652,826",49.66
2002M05,"359,439",304.02,"351,426",298.10,"74,038",260.51,"199,794",231.14,"38,388",936.95,"39,206",959.05,"8,013","1,061.30",701,161.57,"7,312","1,632.70",0,--,0,--,"1,446,182",26.43,"1,446,182",26.43,"422,612",27.19,"528,361",10.88,"14,364",-61.35,"237,785",61.10,"243,060",61.74,0,--,0,--,0,--,0,--,0,--,896,-13.26,896,-13.26,0,--,"2,184",-44.13,"2,184",-44.13,0,--,"1,808,701",46.13,-,--,-,--,-,--,-,--,-,--,-,--,-,--,-,--,-,--,"1,808,701",46.13
2002M06,"237,751",136.58,"227,054",127.63,"107,056",170.53,"102,595",70.70,"12,792","36,448.57","4,611","13,074.29","10,697","1,322.47","6,370","10,011.11","4,327",528.01,0,--,0,--,"1,669,183",50.68,"1,669,183",50.68,"395,173",14.45,"806,535",74.34,"12,970",-67.53,"231,270",77.75,"223,235",72.00,0,--,0,--,0,--,0,--,0,--,632,--,632,--,0,--,"2,492",829.85,"2,492",829.85,0,--,"1,910,058",58.05,-,--,-,--,-,--,-,--,-,--,-,--,-,--,-,--,-,--,"1,910,058",58.05
2002M07,"412,329",274.62,"307,309",179.79,"142,463",313.27,"143,161",109.05,"17,675",733.73,"4,010",-15.77,"105,020","45,363.20","54,637","44,684.43","50,383","46,122.94",0,--,0,--,"2,044,870",81.36,"2,044,866",81.36,"525,544",79.71,"887,200",90.42,"39,401",-4.42,"292,970",84.10,"299,751",77.59,4,--,2,--,2,--,0,--,0,--,"1,408",--,"1,408",--,0,--,"6,270",988.54,"3,135",444.27,"3,135",--,"2,464,877",99.08,-,--,-,--,-,--,-,--,-,--,-,--,-,--,-,--,-,--,"2,464,877",99.08
2002M08,"401,652",185.26,"297,546",111.96,"137,893",190.14,"133,502",49.39,"20,516",642.26,"5,635",676.17,"104,106","24,628.27","55,801","28,082.32","48,305","21,561.43",0,--,0,--,"1,332,149",13.34,"1,332,149",13.34,"335,190",14.85,"627,312",18.49,"36,748",-28.36,"168,506",14.44,"164,393",5.72,0,--,0,--,0,--,0,--,0,--,"1,322",205.31,"1,322",--,0,-100.00,"8,828",483.09,"8,828",483.09,0,--,"1,743,951",32.31,-,--,-,--,-,--,-,--,-,--,-,--,-,--,-,--,-,--,"1,743,951",32.31
2002M09,"297,295",175.26,"225,169",109.10,"110,563",66.98,"99,957",159.40,"10,552",578.59,"4,097",196.45,"72,126","22,439.38","38,125","16,476.09","34,001","37,678.89",0,--,0,--,"1,325,977",38.64,"1,325,977",38.64,"322,157",40.26,"560,648",48.55,"20,437",-23.30,"209,719",30.56,"213,016",31.46,0,--,0,--,0,--,0,--,0,--,"4,455",--,"4,455",--,0,--,"14,772",206.41,"14,772",206.41,0,--,"1,642,499",53.61,-,--,-,--,-,--,-,--,-,--,-,--,-,--,-,--,-,--,"1,642,499",53.61
2002M10,"353,373",212.17,"274,933",243.87,"92,522",338.10,"152,864",174.50,"26,333","1,394.49","3,214",132.56,"78,440",135.93,"36,857",207.65,"41,583",95.53,0,--,0,--,"1,573,246",55.79,"1,573,246",55.79,"389,183",87.34,"675,023",31.02,"34,421",65.14,"237,775",81.31,"236,844",75.60,0,--,0,--,0,--,0,--,0,--,775,30.03,775,30.03,0,--,"9,422",15.32,"9,422",15.32,0,--,"1,936,816",71.13,-,--,-,--,-,--,-,--,-,--,-,--,-,--,-,--,-,--,"1,936,816",71.13
2002M11,"321,971",42.02,"301,289",39.56,"10,051",-89.40,"218,853",84.25,"45,925","5,473.42","26,460","1,692.68","20,682",91.25,"11,706",97.60,"8,976",83.56,0,--,0,--,"1,451,139",19.84,"1,451,139",19.84,"363,883",37.26,"658,819",9.63,"33,960",47.86,"199,647",24.63,"194,830",20.46,0,--,0,--,0,--,0,--,0,--,619,--,619,--,0,--,"5,525",427.19,"5,525",427.19,0,--,"1,779,254",23.67,-,--,-,--,-,--,-,--,-,--,-,--,-,--,-,--,-,--,"1,779,254",23.67
