期間,總成交值(十億元)_原始值,總成交值(十億元)_年增率(%),成交筆數(百萬)_原始值,成交筆數(百萬)_年增率(%),成交金額(十億元)-股票_原始值,成交金額(十億元)-股票_年增率(%),成交金額(十億元)-指數股票型基金_原始值,成交金額(十億元)-指數股票型基金_年增率(%),成交金額(十億元)-封閉式基金_原始值,成交金額(十億元)-封閉式基金_年增率(%),成交金額(十億元)-受益證券_原始值,成交金額(十億元)-受益證券_年增率(%),成交金額(十億元)-認購(售)權證_原始值,成交金額(十億元)-認購(售)權證_年增率(%),成交金額(十億元)-臺灣存託憑證_原始值,成交金額(十億元)-臺灣存託憑證_年增率(%),成交金額(十億元)-公債_原始值,成交金額(十億元)-公債_年增率(%),成交金額(十億元)-公司債-普通_原始值,成交金額(十億元)-公司債-普通_年增率(%),成交金額(十億元)-公司債-轉換_原始值,成交金額(十億元)-公司債-轉換_年增率(%)
2002M08,"1,364.26",17.18,11.51,6.14,"1,357.77",17.05,...,...,...,...,...,...,4.06,205.26,0.72,105.71,...,...,...,...,1.59,-32.05
2002M09,"1,031.23",56.91,9.44,39.96,"1,026.60",56.83,...,...,...,...,...,...,3.22,274.42,0.30,100.00,...,...,...,...,0.93,-35.42
2002M10,"1,676.74",69.52,14.45,48.48,"1,670.50",69.29,...,...,...,...,...,...,3.57,207.76,0.43,19.44,...,...,...,...,2.09,211.94
2002M11,"1,886.31",1.10,15.69,2.97,"1,878.51",1.13,...,...,...,...,...,...,5.42,81.88,0.53,51.43,...,...,...,...,1.66,-63.11
2002M12,"1,577.40",-47.88,14.65,-29.32,"1,570.87",-47.83,...,...,...,...,...,...,4.28,-55.28,0.52,-66.67,...,...,...,...,1.61,-55.77
2003M01,"2,111.41",-37.07,18.10,-17.98,"2,102.16",-37.02,...,...,...,...,...,...,7.67,-40.86,0.44,-66.41,...,...,...,...,0.76,-54.49
2003M02,968.38,-21.21,9.60,14.53,963.64,-21.16,...,...,...,...,...,...,3.79,-26.55,0.31,-26.19,...,...,...,...,0.53,-43.01
2003M03,959.42,-65.61,9.74,-50.32,954.54,-65.57,...,...,...,...,...,...,2.84,-75.35,0.40,-85.13,...,...,...,...,1.41,-49.10
2003M04,"1,185.62",-52.11,11.62,-39.23,"1,180.13",-52.07,...,...,...,...,...,...,2.49,-75.12,0.77,-54.71,...,...,...,...,2.14,25.15
2003M05,990.10,-40.90,9.81,-27.68,985.83,-40.84,...,...,...,...,...,...,1.67,-73.91,1.95,275.00,...,...,...,...,0.61,-61.15
2003M06,"2,025.70",51.99,16.43,46.30,"2,018.13",52.05,0.37,...,...,...,...,...,5.27,42.43,1.23,223.68,...,...,...,...,0.54,-56.45
2003M07,"2,965.47",86.75,21.66,62.96,"2,940.54",85.91,9.30,...,...,...,...,...,12.55,201.68,1.87,266.67,...,...,...,...,0.96,-31.43
2003M08,"2,109.32",54.61,15.49,34.54,"2,084.88",53.55,5.22,...,...,...,...,...,16.66,310.34,1.13,56.94,...,...,...,...,1.01,-36.48
2003M09,"1,752.21",69.91,13.16,39.39,"1,725.71",68.10,4.14,...,...,...,...,...,19.70,511.80,2.04,580.00,...,...,...,...,0.46,-50.54
2003M10,"2,302.18",37.30,17.18,18.89,"2,273.86",36.12,7.06,...,...,...,...,...,19.18,437.25,1.44,234.88,...,...,...,...,0.44,-78.95
2003M11,"1,697.10",-10.03,13.49,-14.02,"1,676.39",-10.76,3.91,...,...,...,...,...,14.53,168.08,1.54,190.57,...,...,...,...,0.64,-61.45
2003M12,"1,445.28",-8.38,11.88,-18.89,"1,427.43",-9.13,4.12,...,...,...,...,...,11.98,179.91,1.26,142.31,...,...,...,...,0.43,-73.29
2004M01,"1,846.22",-12.56,13.41,-25.92,"1,826.60",-13.11,5.82,...,...,...,...,...,12.15,58.41,1.05,138.64,...,...,...,...,0.49,-35.53
2004M02,"3,209.69",231.45,23.71,146.99,"3,177.05",229.69,5.00,...,...,...,...,...,24.76,553.30,2.09,574.19,...,...,...,...,0.60,13.21
2004M03,"3,774.35",293.40,26.23,169.16,"3,717.78",289.48,13.38,...,...,...,...,...,40.16,"1,314.08",2.50,525.00,...,...,...,...,0.25,-82.27
2004M04,"3,200.21",169.92,22.85,96.74,"3,151.98",167.09,7.61,...,...,...,...,...,38.49,"1,445.78",1.43,85.71,...,...,...,...,0.50,-76.64
2004M05,"1,881.16",90.00,14.87,51.56,"1,852.71",87.93,6.18,...,...,...,...,...,21.04,"1,159.88",0.77,-60.51,...,...,...,...,0.32,-47.54
2004M06,"1,475.49",-27.16,12.07,-26.54,"1,457.11",-27.80,4.72,"1,175.68",...,...,...,...,13.03,147.25,0.44,-64.23,...,...,...,...,0.16,-70.37
2004M07,"1,178.57",-60.26,10.12,-53.30,"1,165.11",-60.38,4.34,-53.33,...,...,...,...,8.56,-31.79,0.35,-81.28,...,...,...,...,0.17,-82.29
