期間,期中人口(人)_原始值,期中人口(人)_年增率(%),平均匯率(元/美元)_原始值,平均匯率(元/美元)_年增率(%),經濟成長(%)_原始值,經濟成長(%)_年增率(%),國內生產毛額(名目值，百萬元)_原始值,國內生產毛額(名目值，百萬元)_年增率(%),國內生產毛額(名目值，百萬美元)_原始值,國內生產毛額(名目值，百萬美元)_年增率(%),平均每人GDP(名目值，元)_原始值,平均每人GDP(名目值，元)_年增率(%),平均每人GDP(名目值，美元)_原始值,平均每人GDP(名目值，美元)_年增率(%),國民生產毛額(名目值，百萬元)_原始值,國民生產毛額(名目值，百萬元)_年增率(%),國民生產毛額(名目值，百萬美元)_原始值,國民生產毛額(名目值，百萬美元)_年增率(%),平均每人GNP(名目值，元)_原始值,平均每人GNP(名目值，元)_年增率(%),平均每人GNP(名目值，美元)_原始值,平均每人GNP(名目值，美元)_年增率(%),國民所得(名目值，百萬元)_原始值,國民所得(名目值，百萬元)_年增率(%),國民所得(名目值，百萬美元)_原始值,國民所得(名目值，百萬美元)_年增率(%),平均每人所得(名目值，元)_原始值,平均每人所得(名目值，元)_年增率(%),平均每人所得(名目值，美元)_原始值,平均每人所得(名目值，美元)_年增率(%)
1996,"21,441,432",0.82,27.46,-3.53,5.54,-,"7,906,075",8.64,"287,912",4.80,"368,729",7.76,"13,428",3.95,"8,015,577",8.49,"291,900",4.66,"373,836",7.61,"13,614",3.80,"7,259,683",8.45,"264,373",4.62,"338,582",7.57,"12,330",3.77
1997,"21,634,124",0.90,28.70,-4.32,5.48,-,"8,574,784",8.46,"298,773",3.77,"396,355",7.49,"13,810",2.84,"8,664,395",8.09,"301,895",3.42,"400,497",7.13,"13,955",2.50,"7,855,554",8.21,"273,713",3.53,"363,109",7.24,"12,652",2.61
1998,"21,835,703",0.93,33.46,-14.23,3.47,-,"9,204,174",7.34,"275,080",-7.93,"421,519",6.35,"12,598",-8.78,"9,272,725",7.02,"277,129",-8.20,"424,659",6.03,"12,692",-9.05,"8,343,146",6.21,"249,347",-8.90,"382,087",5.23,"11,419",-9.75
1999,"22,010,489",0.80,32.27,3.69,5.97,-,"9,649,049",4.83,"299,010",8.70,"438,384",4.00,"13,585",7.83,"9,739,567",5.03,"301,815",8.91,"442,497",4.20,"13,712",8.04,"8,721,516",4.54,"270,267",8.39,"396,244",3.71,"12,279",7.53
2000,"22,184,530",0.79,31.23,3.33,5.80,-,"10,187,394",5.58,"326,205",9.10,"459,212",4.75,"14,704",8.24,"10,326,952",6.03,"330,674",9.56,"465,502",5.20,"14,906",8.71,"9,214,037",5.65,"295,038",9.17,"415,336",4.82,"13,299",8.31
2001,"22,341,120",0.71,33.81,-7.63,-1.65,-,"9,930,387",-2.52,"293,712",-9.96,"444,489",-3.21,"13,147",-10.59,"10,122,411",-1.98,"299,391",-9.46,"453,084",-2.67,"13,401",-10.10,"8,928,963",-3.09,"264,092",-10.49,"399,665",-3.77,"11,821",-11.11
2002,"22,463,172",0.55,34.58,-2.23,5.26,-,"10,411,639",4.85,"301,088",2.51,"463,498",4.28,"13,404",1.95,"10,654,141",5.25,"308,101",2.91,"474,294",4.68,"13,716",2.35,"9,381,500",5.07,"271,298",2.73,"417,639",4.50,"12,077",2.17
2003,"22,562,663",0.44,34.42,0.46,3.67,-,"10,696,257",2.73,"310,757",3.21,"474,069",2.28,"13,773",2.75,"11,025,130",3.48,"320,312",3.96,"488,645",3.03,"14,197",3.51,"9,745,873",3.88,"283,146",4.37,"431,947",3.43,"12,549",3.91
2004,"22,646,836",0.37,33.43,2.96,6.19,-,"11,365,292",6.25,"339,973",9.40,"501,849",5.86,"15,012",9.00,"11,737,391",6.46,"351,104",9.61,"518,280",6.06,"15,503",9.20,"10,297,925",5.66,"308,044",8.79,"454,718",5.27,"13,602",8.39
2005,"22,729,753",0.37,32.18,3.88,4.70,-,"11,740,279",3.30,"364,832",7.31,"516,516",2.92,"16,051",6.92,"12,031,145",2.50,"373,870",6.48,"529,313",2.13,"16,449",6.10,"10,541,566",2.37,"327,581",6.34,"463,778",1.99,"14,412",5.96
2006,"22,823,455",0.41,32.53,-1.08,5.44,-,"12,243,471",4.29,"376,375",3.16,"536,442",3.86,"16,491",2.74,"12,555,170",4.36,"385,957",3.23,"550,099",3.93,"16,911",2.81,"10,931,697",3.70,"336,050",2.59,"478,968",3.28,"14,724",2.16
2007,"22,917,444",0.41,32.84,-0.94,5.98,-,"12,910,511",5.45,"393,134",4.45,"563,349",5.02,"17,154",4.02,"13,243,277",5.48,"403,267",4.48,"577,869",5.05,"17,596",4.05,"11,433,779",4.59,"348,166",3.61,"498,912",4.16,"15,192",3.18
2008,"22,997,696",0.35,31.54,4.12,0.73,-,"12,620,150",-2.25,"400,132",1.78,"548,757",-2.59,"17,399",1.43,"12,934,796",-2.33,"410,108",1.70,"562,439",-2.67,"17,833",1.35,"11,020,825",-3.61,"349,424",0.36,"479,214",-3.95,"15,194",0.01
2009,"23,078,402",0.35,33.06,-4.60,-1.81,-,"12,481,093",-1.10,"377,529",-5.65,"540,813",-1.45,"16,359",-5.98,"12,895,087",-0.31,"390,051",-4.89,"558,751",-0.66,"16,901",-5.23,"10,875,793",-1.32,"328,971",-5.85,"471,254",-1.66,"14,255",-6.18
2010,"23,140,948",0.27,31.65,4.45,10.76,-,"13,552,099",8.58,"428,186",13.42,"585,633",8.29,"18,503",13.11,"13,981,738",8.43,"441,761",13.26,"604,199",8.13,"19,090",12.95,"12,077,842",11.05,"381,606",16.00,"521,925",10.75,"16,491",15.69
