期間,總計_原始值,總計_年增率(%),總計_原始值,總計_年增率(%),妨害安寧秩序_原始值,妨害安寧秩序_年增率(%),妨害安寧秩序_原始值,妨害安寧秩序_年增率(%),妨害善良風俗_原始值,妨害善良風俗_年增率(%),妨害善良風俗_原始值,妨害善良風俗_年增率(%),妨害公務_原始值,妨害公務_年增率(%),妨害公務_原始值,妨害公務_年增率(%),妨害他人身體及財產_原始值,妨害他人身體及財產_年增率(%),妨害他人身體及財產_原始值,妨害他人身體及財產_年增率(%)
2006M02,"1,104",28.67,"2,082",41.83,603,21.57,690,21.48,499,39.78,"1,390",55.31,1,--,1,--,1,-80.00,1,-80.00
2006M03,"1,121",45.58,"1,582",43.82,583,75.08,619,80.99,532,23.43,955,26.99,2,100.00,3,200.00,4,-20.00,5,0.00
2006M04,691,-0.43,971,-9.51,312,6.48,328,-11.11,372,-6.53,634,-9.56,0,--,0,--,7,133.33,9,200.00
2006M05,801,43.29,"1,123",8.92,275,56.25,283,5.99,522,39.57,832,10.20,0,-100.00,0,-100.00,4,-50.00,8,0.00
2006M06,748,43.85,961,14.27,228,74.05,235,29.83,516,35.08,722,10.23,1,--,1,--,3,-57.14,3,-40.00
2006M07,"1,186",57.50,"1,606",66.25,645,65.38,655,46.21,533,48.88,939,83.04,3,--,6,--,5,0.00,6,20.00
2006M08,"1,346",11.33,"1,643",15.70,803,-2.07,831,-2.58,528,37.50,790,41.58,3,200.00,5,400.00,12,200.00,17,112.50
2006M09,952,11.35,"1,106",2.98,465,-10.23,481,-10.09,465,40.91,596,12.88,2,--,2,--,20,185.71,27,145.45
2006M10,727,-1.62,910,-0.66,335,25.94,339,7.96,380,-18.10,555,-5.45,3,0.00,4,33.33,9,50.00,12,0.00
2006M11,599,2.22,780,-12.16,178,-11.00,187,-6.03,414,10.40,584,-11.38,4,--,4,--,3,-72.73,5,-83.33
2006M12,634,34.32,986,58.78,170,15.65,186,23.18,457,43.26,791,70.47,1,-50.00,1,-50.00,6,50.00,8,100.00
2007M01,533,-26.28,"1,006",-4.64,96,-68.21,138,-58.81,427,3.64,852,21.19,0,-100.00,0,-100.00,10,233.33,16,100.00
2007M02,792,-28.26,"1,533",-26.37,380,-36.98,431,-37.54,407,-18.44,"1,093",-21.37,1,0.00,1,0.00,4,300.00,8,700.00
