期間,淨在學率_計,淨在學率_男,淨在學率_女,淨在學率_計,淨在學率_男,淨在學率_女,淨在學率_計,淨在學率_男,淨在學率_女,淨在學率_計,淨在學率_男,淨在學率_女,淨在學率_計,淨在學率_男,淨在學率_女,淨在學率_計,淨在學率_男,淨在學率_女,淨在學率_計,淨在學率_男,淨在學率_女,淨在學率_計,淨在學率_男,淨在學率_女,粗在學率_計,粗在學率_男,粗在學率_女,粗在學率_計,粗在學率_男,粗在學率_女,粗在學率_計,粗在學率_男,粗在學率_女,粗在學率_計,粗在學率_男,粗在學率_女,粗在學率_計,粗在學率_男,粗在學率_女,粗在學率_計,粗在學率_男,粗在學率_女,粗在學率_計,粗在學率_男,粗在學率_女,粗在學率_計,粗在學率_男,粗在學率_女
2003,84.63,83.57,85.78,96.74,96.77,96.70,97.30,97.34,97.26,92.41,92.41,92.40,87.63,86.13,89.24,93.83,93.03,94.69,49.05,45.33,52.99,25.31,25.47,25.14,91.87,90.36,93.50,100.02,99.20,100.91,99.54,98.76,100.38,100.99,100.08,101.98,97.04,96.19,97.94,99.03,98.16,99.96,72.37,68.76,76.18,28.16,28.34,27.97
2004,86.55,85.59,87.60,97.68,97.69,97.67,98.23,98.32,98.13,93.00,92.91,93.09,88.44,87.08,89.90,93.63,92.94,94.39,53.20,49.58,57.04,25.97,26.11,25.82,93.87,92.48,95.38,100.43,99.66,101.26,100.77,100.03,101.56,99.77,98.95,100.68,96.81,96.18,97.49,98.30,97.58,99.09,78.11,74.62,81.80,28.06,28.22,27.89
2005,87.71,86.81,88.69,98.68,98.69,98.67,98.46,98.49,98.44,96.51,96.50,96.51,88.53,87.32,89.85,93.63,93.05,94.26,57.42,54.00,61.06,27.68,27.81,27.53,94.73,93.51,96.05,100.17,99.44,100.97,100.34,99.54,101.21,99.85,99.25,100.51,96.01,95.38,96.70,97.91,97.30,98.58,82.02,79.13,85.08,27.73,27.87,27.58
2006,88.55,87.74,89.43,98.11,98.17,98.05,97.77,97.83,97.71,96.65,96.72,96.57,91.31,90.15,92.57,94.91,94.42,95.43,59.83,56.70,63.16,27.57,27.57,27.57,95.33,94.27,96.47,99.52,98.75,100.36,99.54,98.62,100.55,99.48,99.00,100.01,98.79,98.27,99.36,99.14,98.63,99.68,83.58,81.37,85.94,27.66,27.67,27.65
2007,89.26,88.49,90.09,97.84,97.90,97.78,97.79,97.87,97.69,96.86,96.90,96.81,90.72,89.94,91.59,94.56,94.23,94.92,61.41,58.33,64.71,27.70,27.64,27.77,96.05,95.07,97.12,100.21,99.47,101.02,100.82,99.90,101.82,99.13,98.69,99.60,98.23,97.86,98.62,98.68,98.27,99.11,85.31,83.25,87.52,27.75,27.69,27.81
2008,89.70,88.85,90.62,97.75,97.81,97.68,97.74,97.83,97.65,96.83,96.86,96.78,91.65,90.98,92.39,95.16,94.85,95.51,63.76,60.42,67.37,28.37,28.40,28.34,95.52,94.49,96.64,100.21,99.50,100.99,100.70,99.86,101.62,99.36,98.87,99.90,99.11,99.01,99.23,99.24,98.94,99.56,83.18,80.75,85.81,28.43,28.46,28.39
2009,89.93,89.00,90.95,97.95,98.03,97.86,98.01,98.09,97.91,97.47,97.52,97.43,92.35,91.61,93.15,95.35,94.99,95.74,64.98,61.34,68.93,28.71,28.87,28.54,95.25,94.18,96.41,100.43,99.72,101.19,101.40,100.57,102.31,98.84,98.34,99.37,99.12,99.20,99.04,98.98,98.77,99.20,82.17,79.52,85.06,28.78,28.95,28.60
2010,90.45,89.45,91.54,97.89,97.97,97.79,97.97,98.06,97.88,97.45,97.54,97.36,92.73,92.17,93.33,96.88,96.61,97.18,67.27,63.51,71.37,29.59,29.72,29.45,95.60,94.46,96.85,100.47,99.83,101.16,99.68,98.96,100.47,101.80,101.30,102.34,98.89,98.87,98.92,100.30,100.05,100.57,83.77,80.80,87.01,29.65,29.79,29.49
2011,90.56,89.47,91.74,97.86,97.94,97.76,97.88,97.98,97.78,97.52,97.56,97.48,93.24,92.50,94.04,96.69,96.28,97.13,68.27,64.48,72.38,30.99,31.13,30.85,95.45,94.24,96.76,100.62,100.01,101.28,100.37,99.74,101.06,101.02,100.46,101.64,99.11,98.84,99.41,100.02,99.61,100.47,83.37,80.37,86.64,31.03,31.17,30.88
2012,90.77,89.63,92.00,97.90,97.98,97.82,97.79,97.89,97.68,97.82,97.83,97.80,93.15,92.28,94.10,95.86,95.43,96.34,69.90,66.02,74.11,59.65,60.21,59.05,95.55,94.29,96.92,100.76,100.21,101.35,101.44,100.83,102.10,99.67,99.20,100.17,98.33,97.90,98.80,98.96,98.51,99.44,84.43,81.27,87.86,59.69,60.26,59.07
