期間,總計,未(稍)受污染,輕度污染,中度污染,嚴重污染
2007,"2,933.9","1,811.7",233.2,692.7,196.3
2008,"2,933.9","1,912.3",264.9,632.2,124.5
2009,"2,933.9","1,970.1",237.8,553.9,172.1
