期間,新台幣計價(億元)_原始值,新台幣計價(億元)_年增率(%),新台幣計價(億元)_原始值,新台幣計價(億元)_年增率(%),新台幣計價(億元)_原始值,新台幣計價(億元)_年增率(%),新台幣計價(億元)_原始值,新台幣計價(億元)_年增率(%),新台幣計價(億元)_原始值,新台幣計價(億元)_年增率(%),新台幣計價(億元)_原始值,新台幣計價(億元)_年增率(%),新台幣計價(億元)_原始值,新台幣計價(億元)_年增率(%),新台幣計價(億元)_原始值,新台幣計價(億元)_年增率(%),新台幣計價(億元)_原始值,新台幣計價(億元)_年增率(%),美金計價(百萬美元)_原始值,美金計價(百萬美元)_年增率(%),美金計價(百萬美元)_原始值,美金計價(百萬美元)_年增率(%),美金計價(百萬美元)_原始值,美金計價(百萬美元)_年增率(%),美金計價(百萬美元)_原始值,美金計價(百萬美元)_年增率(%),美金計價(百萬美元)_原始值,美金計價(百萬美元)_年增率(%),美金計價(百萬美元)_原始值,美金計價(百萬美元)_年增率(%),美金計價(百萬美元)_原始值,美金計價(百萬美元)_年增率(%),美金計價(百萬美元)_原始值,美金計價(百萬美元)_年增率(%),美金計價(百萬美元)_原始值,美金計價(百萬美元)_年增率(%)
1999M03,"3,488",5.66,620,10.52,564,8.46,302,8.24,82,26.15,203,-1.93,98,-8.41,115,13.86,203,24.54,"10,553",3.60,"1,875",8.38,"1,706",6.32,913,5.89,248,23.40,615,-3.88,297,-9.90,348,12.03,614,21.84
1999M04,"3,429",3.94,554,0.00,563,14.66,321,7.72,66,1.54,211,9.90,126,-1.56,107,12.63,190,-6.86,"10,558",5.46,"1,704",1.36,"1,732",16.19,987,9.18,205,4.36,650,11.78,388,-0.59,331,14.71,585,-5.57
1999M05,"3,388",1.04,584,2.64,556,15.11,302,2.72,66,3.13,206,1.98,104,-11.11,115,9.52,175,-12.06,"10,355",3.12,"1,785",4.80,"1,699",17.41,925,4.97,202,4.79,631,4.27,319,-8.98,352,11.67,535,-10.32
1999M06,"3,408",-2.21,648,2.69,571,10.02,299,-4.78,74,23.33,181,-13.40,97,-15.65,107,-17.05,214,1.90,"10,502",3.80,"1,996",8.98,"1,761",16.87,923,1.10,228,31.76,557,-8.50,300,-10.22,331,-11.32,660,8.11
1999M07,"3,512",3.05,626,9.63,583,15.22,305,-7.29,75,22.95,195,-4.41,104,0.00,135,-4.93,224,6.16,"10,895",9.79,"1,941",16.74,"1,809",22.83,946,-1.32,232,30.38,604,1.81,321,5.62,418,1.26,694,12.95
1999M08,"3,498",1.19,652,11.45,629,17.13,303,4.48,68,15.25,188,-7.39,123,24.24,121,-13.57,224,4.19,"10,951",9.75,"2,039",20.67,"1,967",26.76,947,13.30,214,24.65,589,0.77,385,35.43,378,-6.27,702,13.25
1999M09,"3,408",-4.91,655,-5.07,619,1.31,290,4.69,68,3.03,208,8.90,116,7.41,111,-26.97,208,-4.59,"10,739",3.50,"2,064",3.30,"1,950",10.23,914,14.18,214,12.37,657,18.50,365,16.47,349,-20.83,654,3.72
1999M10,"3,726",8.76,715,8.17,647,21.39,320,9.97,72,18.03,240,18.81,119,9.17,137,7.03,245,17.79,"11,747",13.17,"2,255",12.51,"2,040",26.39,"1,008",14.50,227,23.23,756,23.63,375,13.68,431,10.87,772,22.39
1999M11,"3,667",15.71,754,21.42,696,33.85,305,11.72,77,60.42,208,17.51,112,9.80,145,5.84,226,11.88,"11,564",18.61,"2,379",24.44,"2,196",37.25,961,14.19,242,64.77,657,20.54,354,12.35,459,8.85,714,15.10
1999M12,"3,517",9.26,621,0.98,713,33.77,312,8.71,69,32.69,209,19.43,104,6.12,124,-8.82,231,7.44,"11,140",11.49,"1,966",2.99,"2,258",36.47,989,11.02,219,35.84,663,21.93,329,8.52,392,-7.05,732,9.56
