期間,總成交值(十億元)_原始值,總成交值(十億元)_年增率(%),成交量(十億股)_原始值,成交量(十億股)_年增率(%),日平均值(十億元)_原始值,日平均值(十億元)_年增率(%),交易日數_原始值,交易日數_年增率(%),交易所股價指數(月平均)_原始值,交易所股價指數(月平均)_年增率(%),交易人數_原始值,交易人數_年增率(%)
2005M11,"1,721.98",12.71,54.20,-15.76,78.27,12.72,22,0.00,"6,024.75",2.37,"970,945",-7.32
2005M12,"2,425.32",74.47,75.81,28.49,110.24,82.40,22,-4.35,"6,377.19",6.87,"1,122,241",11.33
2006M01,"2,163.52",87.30,64.76,30.14,120.20,118.51,18,-14.29,"6,609.32",11.69,"1,107,517",21.38
2006M02,"1,575.56",40.78,45.96,9.17,92.68,7.65,17,30.77,"6,614.03",8.42,"991,503",9.98
2006M03,"2,066.22",23.17,51.79,-17.77,89.84,23.17,23,0.00,"6,500.62",6.50,"1,080,365",0.00
2006M04,"2,333.83",95.76,70.07,61.60,122.83,106.06,19,-5.00,"6,941.09",18.12,"1,257,594",40.68
2006M05,"2,771.20",111.68,88.99,92.41,131.96,111.68,21,0.00,"7,123.00",20.11,"1,332,097",53.11
2006M06,"1,977.93",8.55,56.31,-24.43,89.91,8.55,22,0.00,"6,547.77",5.25,"1,087,695",5.09
2006M07,"1,470.87",-21.98,41.99,-37.62,70.04,-25.69,21,5.00,"6,504.24",2.68,"946,923",-9.51
2006M08,"1,701.62",-1.45,47.75,-14.07,73.98,-5.73,23,4.55,"6,551.76",4.94,"1,018,621",-2.52
2006M09,"1,561.69",14.09,44.25,-0.65,74.37,14.10,21,0.00,"6,781.58",11.78,"1,058,360",18.83
2006M10,"1,647.73",16.41,55.16,17.04,82.39,16.40,20,0.00,"7,029.40",19.55,"1,158,554",23.40
2006M11,"2,327.00",35.14,82.09,51.46,105.77,35.13,22,0.00,"7,266.97",20.62,"1,342,730",38.29
2006M12,"2,303.19",-5.04,83.39,10.00,109.68,-0.51,21,-4.55,"7,630.30",19.65,"1,406,052",25.29
2007M01,"2,630.24",21.57,76.83,18.64,119.56,-0.53,22,22.22,"7,814.79",18.24,"1,412,407",27.53
2007M02,"1,095.15",-30.49,29.97,-34.79,91.26,-1.53,12,-29.41,"7,817.84",18.20,"953,591",-3.82
2007M03,"2,575.91",24.67,70.94,36.98,112.00,24.67,23,0.00,"7,689.34",18.29,"1,392,458",28.89
2007M04,"2,116.36",-9.32,69.36,-1.01,105.82,-13.85,20,5.26,"7,991.85",15.14,"1,402,068",11.49
2007M05,"2,105.19",-24.03,58.54,-34.22,95.69,-27.49,22,4.76,"8,086.96",13.53,"1,259,594",-5.44
2007M06,"2,968.90",50.10,82.10,45.80,148.45,65.11,20,-9.09,"8,579.58",31.03,"1,508,264",38.67
2007M07,"4,950.47",236.57,144.01,242.96,225.02,221.27,22,4.76,"9,358.13",43.88,"1,956,315",106.60
2007M08,"3,541.40",108.12,91.27,91.14,153.97,108.12,23,0.00,"8,756.78",33.66,"1,680,013",64.93
2007M09,"2,472.72",58.34,61.83,39.73,137.37,84.71,18,-14.29,"9,069.11",33.73,"1,403,455",32.61
2007M10,"3,489.91",111.80,82.48,49.53,158.63,92.54,22,10.00,"9,605.19",36.64,"1,625,558",40.31
2007M11,"2,904.82",24.83,67.52,-17.75,132.04,24.84,22,0.00,"8,799.70",21.09,"1,492,237",11.13
2007M12,"2,192.77",-4.79,52.34,-37.23,104.42,-4.80,21,0.00,"8,309.00",8.89,"1,171,634",-16.67
2008M01,"3,057.47",16.24,78.39,2.03,138.98,16.24,22,0.00,"7,922.65",1.38,"1,350,749",-4.37
2008M02,"1,821.33",66.31,48.30,61.16,130.10,42.56,14,16.67,"7,999.48",2.32,"1,098,715",15.22
2008M03,"3,195.75",24.06,87.28,23.03,152.18,35.88,21,-8.70,"8,439.59",9.76,"1,482,325",6.45
2008M04,"3,295.62",55.72,85.35,23.05,156.93,48.30,21,5.00,"8,877.98",11.09,"1,577,881",12.54
2008M05,"2,949.93",40.13,75.51,28.99,140.47,46.80,21,-4.55,"8,910.21",10.18,"1,510,306",19.90
2008M06,"2,023.24",-31.85,50.80,-38.12,96.34,-35.10,21,5.00,"8,180.00",-4.66,"1,285,135",-14.79
2008M07,"2,203.09",-55.50,63.61,-55.83,100.14,-55.50,22,0.00,"7,127.70",-23.83,"1,200,625",-38.63
2008M08,"1,953.76",-44.83,52.62,-42.35,93.04,-39.57,21,-8.70,"7,071.12",-19.25,"1,082,396",-35.57
