期間,合計_原始值,合計_年增率(%),合計_原始值,合計_年增率(%),合計_原始值,合計_年增率(%),合計_原始值,合計_年增率(%),台鐵_原始值,台鐵_年增率(%),台鐵_原始值,台鐵_年增率(%),台鐵_原始值,台鐵_年增率(%),台鐵_原始值,台鐵_年增率(%),高鐵_原始值,高鐵_年增率(%),高鐵_原始值,高鐵_年增率(%),高鐵_原始值,高鐵_年增率(%),高鐵_原始值,高鐵_年增率(%),捷運_原始值,捷運_年增率(%),捷運_原始值,捷運_年增率(%),捷運_原始值,捷運_年增率(%),捷運_原始值,捷運_年增率(%),捷運-台北_原始值,捷運-台北_年增率(%),捷運-台北_原始值,捷運-台北_年增率(%),捷運-台北_原始值,捷運-台北_年增率(%),捷運-台北_原始值,捷運-台北_年增率(%),捷運-高雄_原始值,捷運-高雄_年增率(%),捷運-高雄_原始值,捷運-高雄_年增率(%),捷運-高雄_原始值,捷運-高雄_年增率(%),捷運-高雄_原始值,捷運-高雄_年增率(%)
2004M05,"43,377",53.98,"988,724",72.08,22.8,11.76,...,--,"14,162",48.88,"763,010",78.22,53.9,19.70,"1,246,099",81.44,...,--,...,--,...,--,-,--,...,--,...,--,...,--,...,--,"29,122",56.18,"224,728",53.66,7.7,-1.61,"635,243",56.80,...,--,...,--,...,--,...,--
2004M06,"40,701",29.18,"953,591",29.51,23.4,0.26,...,--,"12,937",20.04,"740,830",28.86,57.3,7.35,"1,227,724",29.36,...,--,...,--,...,--,-,--,...,--,...,--,...,--,...,--,"27,682",33.64,"211,817",31.49,7.7,-1.61,"601,338",32.53,...,--,...,--,...,--,...,--
2004M07,"44,565",12.02,"1,083,663",8.32,24.3,-3.30,...,--,"14,272",4.78,"852,726",6.71,59.7,1.84,"1,396,317",7.76,...,--,...,--,...,--,-,--,...,--,...,--,...,--,...,--,"30,234",15.82,"230,360",15.11,7.6,-0.61,"660,841",15.66,...,--,...,--,...,--,...,--
2004M08,"42,702",4.17,"1,052,210",1.51,24.6,-2.55,...,--,"14,398",2.94,"836,156",0.89,58.1,-1.99,"1,369,646",-0.26,...,--,...,--,...,--,-,--,...,--,...,--,...,--,...,--,"28,219",4.72,"215,056",4.14,7.6,-0.56,"611,296",0.92,...,--,...,--,...,--,...,--
2004M09,"42,671",3.52,"1,000,077",2.17,23.4,-1.30,...,--,"14,017",-1.54,"783,106",1.68,55.9,3.26,"1,294,903",2.19,...,--,...,--,...,--,-,--,...,--,...,--,...,--,...,--,"28,610",6.28,"216,574",4.18,7.6,-1.97,"618,333",5.84,...,--,...,--,...,--,...,--
2004M10,"44,817",2.65,"1,015,318",0.01,22.7,-2.57,...,--,"14,490",0.10,"780,286",-0.73,53.8,-0.83,"1,269,412",-0.38,...,--,...,--,...,--,-,--,...,--,...,--,...,--,...,--,"30,246",3.97,"234,220",2.61,7.7,-1.31,"660,269",2.58,...,--,...,--,...,--,...,--
2004M11,"44,520",5.65,"1,006,238",5.41,22.6,-0.23,...,--,"14,293",3.12,"772,144",4.89,54.0,1.72,"1,259,770",4.43,...,--,...,--,...,--,-,--,...,--,...,--,...,--,...,--,"30,125",6.87,"233,057",7.11,7.7,0.23,"654,144",11.21,...,--,...,--,...,--,...,--
2004M12,"46,573",4.20,"1,022,558",3.85,22.0,-0.34,...,--,"14,556",2.96,"777,905",3.68,53.4,0.70,"1,283,942",4.79,...,--,...,--,...,--,-,--,...,--,...,--,...,--,...,--,"31,937",4.75,"243,802",4.37,7.6,-0.37,"693,406",-0.01,...,--,...,--,...,--,...,--
2005M01,"43,593",8.25,"1,028,985",1.32,23.6,-6.40,...,--,"13,697",1.22,"804,234",-0.88,58.7,-2.07,"1,337,164",-1.14,...,--,...,--,...,--,-,--,...,--,...,--,...,--,...,--,"29,812",12.01,"223,866",10.24,7.5,-1.57,"637,558",9.05,...,--,...,--,...,--,...,--
2005M02,"39,692",-6.81,"940,858",0.46,23.7,7.80,...,--,"13,663",-1.95,"743,246",3.60,54.4,5.66,"1,241,079",5.77,...,--,...,--,...,--,-,--,...,--,...,--,...,--,...,--,"25,879",-9.45,"195,997",-10.21,7.6,-0.84,"568,197",-9.28,...,--,...,--,...,--,...,--
