期間,總計_原始值,總計_年增率(%),人為縱火_原始值,人為縱火_年增率(%),自殺_原始值,自殺_年增率(%),燈燭_原始值,燈燭_年增率(%),爐火烹調_原始值,爐火烹調_年增率(%),敬神掃墓祭祖_原始值,敬神掃墓祭祖_年增率(%),菸蒂_原始值,菸蒂_年增率(%),電氣設備_原始值,電氣設備_年增率(%),機械設備_原始值,機械設備_年增率(%),玩火_原始值,玩火_年增率(%),烤火_原始值,烤火_年增率(%),燒什草垃圾_原始值,燒什草垃圾_年增率(%),施工不慎_原始值,施工不慎_年增率(%),易燃品自(復)燃_原始值,易燃品自(復)燃_年增率(%),瓦斯漏氣或爆炸_原始值,瓦斯漏氣或爆炸_年增率(%),化學物品_原始值,化學物品_年增率(%),燃放爆竹_原始值,燃放爆竹_年增率(%),交通事故_原始值,交通事故_年增率(%),天然災害_原始值,天然災害_年增率(%),原因不明_原始值,原因不明_年增率(%),其他_原始值,其他_年增率(%)
2003M08,650,-2.40,62,-36.73,3,50.00,3,0.00,27,-30.77,14,-12.50,109,53.52,132,-8.97,41,-2.38,6,-33.33,0,--,-,--,8,-33.33,0,-100.00,5,66.67,4,-20.00,0,-100.00,8,-11.11,4,300.00,38,15.15,186,190.62
2003M09,576,-16.28,63,-37.62,5,-16.67,6,-25.00,34,17.24,12,-14.29,56,-5.08,125,-19.35,29,-6.45,4,-20.00,1,0.00,-,--,12,-7.69,0,-100.00,3,-40.00,0,-100.00,7,-56.25,6,-45.45,0,-100.00,32,-45.76,181,293.48
2003M10,798,22.58,67,-17.28,7,133.33,2,-77.78,32,33.33,17,70.00,134,71.79,127,-23.49,47,42.42,6,-14.29,0,--,-,--,13,44.44,2,100.00,2,-71.43,1,0.00,2,0.00,13,44.44,2,100.00,51,21.43,273,534.88
2003M11,621,-25.45,47,-25.40,5,25.00,5,-37.50,31,-16.22,10,100.00,90,-28.00,130,-18.75,46,39.39,13,116.67,0,-100.00,-,--,14,75.00,0,-100.00,0,-100.00,0,-100.00,0,--,8,-55.56,0,--,48,9.09,174,286.67
2003M12,973,51.56,73,35.19,6,0.00,4,-20.00,43,79.17,22,633.33,155,86.75,156,13.87,38,-17.39,11,37.50,4,300.00,-,--,19,18.75,0,-100.00,8,300.00,3,200.00,3,50.00,15,15.38,0,--,40,21.21,373,693.62
2004M01,805,2.55,60,-16.67,3,-50.00,7,40.00,28,-26.32,23,76.92,136,9.68,150,-15.73,33,3.12,16,100.00,3,0.00,-,--,11,0.00,1,-50.00,5,-16.67,2,100.00,26,116.67,12,-14.29,0,--,52,30.00,237,7.73
2004M02,689,-22.06,44,-26.67,9,80.00,4,-69.23,24,9.09,44,4.76,118,-16.31,118,-20.27,27,-25.00,15,36.36,2,--,-,--,12,0.00,1,-50.00,3,-25.00,2,--,7,-88.14,4,-50.00,0,--,64,128.57,191,-34.81
2004M03,549,-34.25,52,-3.70,6,100.00,3,-50.00,27,-18.18,25,-70.93,81,-33.06,110,-30.38,45,25.00,8,-27.27,1,--,-,--,8,-57.89,1,-50.00,5,0.00,1,-50.00,0,-100.00,13,225.00,0,--,28,-33.33,135,-46.22
2004M04,557,0.54,52,-20.00,5,66.67,6,100.00,33,6.45,27,17.39,76,16.92,131,3.97,31,-16.22,7,-30.00,1,0.00,-,--,7,-22.22,1,--,4,-55.56,0,-100.00,0,-100.00,6,-14.29,0,--,50,61.29,120,-9.09
2004M05,501,-22.57,54,-19.40,4,-33.33,9,50.00,30,0.00,5,-28.57,59,-46.36,135,-8.16,30,-14.29,5,150.00,1,0.00,-,--,17,70.00,1,0.00,3,-50.00,1,0.00,3,50.00,4,-60.00,0,--,30,-26.83,110,-33.33
