期間,授信部門--政府,授信部門--公營事業,授信部門--民營企業,授信部門--家庭及非營利團體,受信部門--政府,受信部門--公營事業,受信部門--民營企業,受信部門--家庭及非營利團體
1992,0,"63,717","222,383","258,413",0,"117,257","258,261","168,995"
1993,0,"75,583","229,726","339,369",0,"143,296","323,286","178,096"
1994,0,"81,529","247,246","462,821",0,"147,476","439,694","204,426"
1995,0,"77,419","389,046","664,178",0,"207,140","619,091","304,412"
1996,0,"83,695","416,411","1,257,721",0,"229,553","1,194,653","333,621"
