期間,合計_原始值,合計_年增率(%),食品及飲料製造業_原始值,食品及飲料製造業_年增率(%),食品及飲料製造業-飲料製造業_原始值,食品及飲料製造業-飲料製造業_年增率(%),菸草製造業_原始值,菸草製造業_年增率(%),紡織業_原始值,紡織業_年增率(%),成衣及服飾品製造業_原始值,成衣及服飾品製造業_年增率(%),皮革、毛皮及其製品製造業_原始值,皮革、毛皮及其製品製造業_年增率(%),木竹製品製造業_原始值,木竹製品製造業_年增率(%),紙漿、紙及紙製品製造業_原始值,紙漿、紙及紙製品製造業_年增率(%),印刷及資料儲存媒體複製業_原始值,印刷及資料儲存媒體複製業_年增率(%),石油及煤製品製造業_原始值,石油及煤製品製造業_年增率(%),化學材料製造業_原始值,化學材料製造業_年增率(%),化學製品製造業_原始值,化學製品製造業_年增率(%),化學製品製造業-藥品製造業_原始值,化學製品製造業-藥品製造業_年增率(%),橡膠製品製造業_原始值,橡膠製品製造業_年增率(%),塑膠製品製造業_原始值,塑膠製品製造業_年增率(%),非金屬礦物製品製造業_原始值,非金屬礦物製品製造業_年增率(%),基本金屬製造業_原始值,基本金屬製造業_年增率(%),金屬製品製造業_原始值,金屬製品製造業_年增率(%),電子零組件製造業_原始值,電子零組件製造業_年增率(%),電腦、電子產品及光學製品製造業_原始值,電腦、電子產品及光學製品製造業_年增率(%),電力設備製造業_原始值,電力設備製造業_年增率(%),機械設備製造業_原始值,機械設備製造業_年增率(%),運輸工具製造業_原始值,運輸工具製造業_年增率(%),運輸工具製造業-汽車及其零件製造業_原始值,運輸工具製造業-汽車及其零件製造業_年增率(%),家具製造業_原始值,家具製造業_年增率(%),其他製造業_原始值,其他製造業_年增率(%),產業用機械設備維修及安裝業_原始值,產業用機械設備維修及安裝業_年增率(%)
2001M05,"2,611,973",4.16,"143,655",-1.77,-,-,"1,190",9.38,"232,453",-3.03,"25,412",0.95,"19,226",-9.89,"23,879",-10.37,"49,531",-12.92,"29,656",8.66,"155,609",32.83,"77,973",7.46,"91,572",3.80,-,-,"30,914",4.66,"154,833",4.00,"87,316",12.05,"153,925",-9.06,"271,595",-3.72,"454,225",19.36,"194,882",6.89,"142,155",0.81,"106,455",-2.18,"92,457",11.49,-,-,"14,593",-5.26,"58,467",-12.14,-,-
2001M06,"2,651,799",4.08,"148,887",0.55,-,-,915,-29.72,"240,880",-1.03,"26,205",2.72,"19,661",-8.15,"24,022",-10.59,"50,408",-12.91,"29,580",7.01,"155,281",28.35,"76,783",-0.68,"95,749",9.22,-,-,"30,990",5.95,"155,624",4.49,"90,768",10.23,"155,630",-8.99,"273,227",-4.43,"467,195",20.03,"191,180",4.62,"146,140",4.05,"106,283",-5.38,"93,206",11.84,-,-,"14,557",-7.82,"58,628",-14.43,-,-
2001M07,"2,641,823",3.65,"145,822",0.10,-,-,"1,107",-9.71,"229,756",-2.92,"25,517",1.51,"18,970",-10.69,"23,569",-8.71,"48,899",-13.08,"29,518",6.57,"155,370",19.42,"83,998",10.72,"96,218",11.11,-,-,"30,752",5.78,"159,246",3.73,"89,513",9.01,"155,364",-10.02,"266,244",-5.54,"470,616",20.89,"194,045",5.25,"145,326",0.80,"107,859",-4.56,"92,006",8.58,-,-,"14,467",-8.31,"57,641",-12.42,-,-
2001M08,"2,610,394",2.44,"141,896",-1.44,-,-,996,-30.69,"228,693",-1.78,"23,934",-4.93,"18,211",-10.04,"22,533",-11.13,"45,859",-18.32,"28,962",5.49,"150,528",27.10,"89,237",18.14,"95,140",8.58,-,-,"29,829",-0.16,"151,373",-2.33,"90,642",7.84,"153,634",-9.64,"258,858",-7.75,"472,975",18.74,"197,350",4.85,"140,883",-6.30,"105,628",-5.37,"93,100",8.92,-,-,"14,015",-11.31,"56,118",-13.03,-,-
2001M09,"2,605,544",0.83,"146,651",0.06,-,-,547,-64.64,"215,718",-8.39,"31,240",25.40,"23,753",17.54,"18,675",-26.06,"43,317",-21.67,"29,218",7.15,"144,792",13.13,"143,770",90.45,"69,723",-20.64,-,-,"24,851",-18.42,"149,236",-3.54,"106,998",25.98,"205,368",18.04,"189,029",-32.11,"440,668",6.25,"228,498",20.53,"119,216",-20.14,"106,226",-6.18,"97,777",12.75,-,-,"17,695",12.94,"52,578",-18.58,-,-
2001M10,"2,580,035",-2.40,"143,772",-7.01,-,-,780,-57.21,"210,716",-11.44,"30,719",16.82,"22,768",11.03,"18,844",-25.62,"43,203",-21.07,"29,864",8.76,"140,408",4.17,"139,036",77.43,"68,600",-21.83,-,-,"23,246",-23.98,"144,590",-7.48,"106,011",22.41,"210,265",21.26,"181,382",-35.95,"437,475",0.38,"238,396",24.31,"115,885",-25.15,"107,301",-5.10,"97,344",9.80,-,-,"17,724",13.38,"51,706",-19.35,-,-
2001M11,"2,570,128",-2.83,"141,586",-3.73,-,-,175,-87.37,"208,413",-11.27,"29,357",9.99,"21,897",9.47,"17,781",-30.07,"42,273",-21.72,"29,942",4.45,"140,619",3.94,"143,782",82.65,"68,362",-24.79,-,-,"22,650",-25.73,"143,067",-9.04,"106,494",23.49,"210,890",23.26,"179,505",-37.23,"435,366",-1.31,"242,820",25.04,"115,836",-21.31,"104,933",-7.30,"98,458",10.45,-,-,"17,733",11.70,"48,189",-31.28,-,-
2001M12,"2,613,982",-2.88,"143,230",-5.37,-,-,262,-78.31,"215,592",-11.45,"29,716",8.27,"23,556",14.97,"18,244",-27.45,"42,262",-23.36,"30,014",3.11,"135,807",-9.52,"151,919",92.31,"68,743",-28.61,-,-,"24,059",-22.92,"142,242",-13.92,"111,909",24.23,"213,742",22.93,"180,436",-37.32,"452,067",2.40,"243,861",29.40,"114,163",-22.85,"105,229",-8.70,"101,436",7.89,-,-,"17,867",16.86,"47,626",-23.16,-,-
2002M01,"2,531,427",-4.67,"139,782",-7.56,-,-,294,-70.03,"205,645",-13.17,"28,151",8.15,"23,426",20.39,"15,970",-34.48,"40,873",-23.14,"26,418",-5.74,"131,095",-17.74,"147,391",90.59,"66,552",-31.41,-,-,"23,284",-26.70,"143,937",-11.67,"105,826",21.87,"206,742",24.06,"172,521",-38.37,"450,308",6.86,"237,931",17.73,"109,035",-27.60,"98,680",-10.55,"94,176",0.76,-,-,"16,937",10.41,"46,453",-23.11,-,-
2002M02,"2,538,571",-2.91,"140,384",-3.08,-,-,404,-54.14,"206,110",-11.15,"28,433",10.77,"23,070",23.78,"15,169",-37.82,"40,459",-22.05,"26,753",-9.76,"130,151",-14.52,"142,487",88.39,"64,037",-32.70,-,-,"23,171",-24.99,"142,993",-7.16,"108,531",24.85,"207,842",27.67,"172,400",-37.42,"453,329",3.97,"243,845",24.54,"111,083",-23.22,"98,416",-9.28,"96,499",5.01,-,-,"17,014",14.91,"45,991",-25.77,-,-
2002M03,"2,523,759",-2.92,"137,782",-5.14,-,-,217,-79.49,"209,412",-9.42,"27,846",9.14,"22,722",18.20,"14,521",-41.30,"39,618",-23.61,"25,605",-13.05,"128,681",-15.15,"140,657",87.20,"64,086",-31.90,-,-,"23,735",-21.23,"140,600",-7.24,"105,190",20.58,"203,890",27.96,"168,427",-38.42,"458,387",5.42,"244,036",24.90,"111,332",-23.06,"98,733",-7.48,"96,576",8.52,-,-,"16,929",15.37,"44,777",-29.56,-,-
2002M04,"2,502,688",-3.00,"139,168",-4.04,-,-,302,-68.70,"206,435",-10.30,"27,769",8.57,"22,272",17.82,"14,154",-41.26,"38,983",-21.95,"27,012",-7.43,"130,628",-12.47,"140,533",79.33,"63,754",-30.82,-,-,"23,447",-24.25,"135,181",-11.22,"103,130",17.25,"204,162",30.72,"166,717",-37.80,"453,171",4.12,"241,458",23.66,"110,235",-23.02,"98,462",-4.88,"95,482",5.81,-,-,"16,474",12.07,"43,759",-25.61,-,-
2002M05,"2,515,267",-3.70,"143,021",-0.44,-,-,267,-77.56,"207,251",-10.84,"28,344",11.54,"22,786",18.52,"14,021",-41.28,"35,133",-29.07,"27,786",-6.31,"144,688",-7.02,"141,199",81.09,"62,739",-31.49,-,-,"24,040",-22.24,"134,723",-12.99,"103,924",19.02,"197,800",28.50,"165,133",-39.20,"456,779",0.56,"244,135",25.27,"110,445",-22.31,"98,107",-7.84,"93,483",1.11,-,-,"16,076",10.16,"43,387",-25.79,-,-
