期間,合計_原始值,合計_年增率(%),本國銀行_原始值,本國銀行_年增率(%),外國銀行在台分行_原始值,外國銀行在台分行_年增率(%),外國銀行在台分行--預售外匯外銷貸款_原始值,外國銀行在台分行--預售外匯外銷貸款_年增率(%)
2009,"553,146",-0.16,"463,879",-1.07,"89,267",4.84,-,-
2010,"696,970",26.00,"591,657",27.55,"105,313",17.98,-,-
2011,"822,933",18.07,"659,908",11.54,"163,025",54.80,-,-
2012,"814,732",-1.00,"647,754",-1.84,"166,978",2.42,-,-
2013,"936,005",14.89,"730,329",12.75,"205,676",23.18,-,-
