期間,日圓_原始值,日圓_年增率(%),日圓_原始值,日圓_年增率(%),港幣_原始值,港幣_年增率(%),港幣_原始值,港幣_年增率(%),新加坡幣_原始值,新加坡幣_年增率(%),新加坡幣_原始值,新加坡幣_年增率(%),泰銖_原始值,泰銖_年增率(%),泰銖_原始值,泰銖_年增率(%),澳幣_原始值,澳幣_年增率(%),澳幣_原始值,澳幣_年增率(%),紐西蘭幣_原始值,紐西蘭幣_年增率(%),紐西蘭幣_原始值,紐西蘭幣_年增率(%),英鎊_原始值,英鎊_年增率(%),英鎊_原始值,英鎊_年增率(%),瑞典克郎_原始值,瑞典克郎_年增率(%),瑞典克郎_原始值,瑞典克郎_年增率(%),加拿大元_原始值,加拿大元_年增率(%),加拿大元_原始值,加拿大元_年增率(%),歐元_原始值,歐元_年增率(%),歐元_原始值,歐元_年增率(%),瑞士法郎_原始值,瑞士法郎_年增率(%),瑞士法郎_原始值,瑞士法郎_年增率(%),南非幣_原始值,南非幣_年增率(%),南非幣_原始值,南非幣_年增率(%)
2001M05,0.2823,2.0900,0.2863,2.0608,4.32,-9.03,4.38,-8.90,18.68,-5.14,18.88,-5.08,0.74,5.33,0.76,5.19,17.25,2.32,17.45,2.29,...,...,...,...,48.16,-4.49,48.56,-4.45,3.14,7.32,3.24,7.10,21.86,-6.68,22.06,-6.62,28.73,-0.66,29.13,-0.65,18.90,-3.65,19.10,-3.61,4.11,5.60,4.31,5.34
2001M06,0.2753,5.3033,0.2793,5.2274,4.38,-10.50,4.44,-10.36,18.81,-5.74,19.01,-5.68,0.75,3.55,0.77,3.46,17.37,5.76,17.57,5.69,...,...,...,...,48.17,-3.16,48.57,-3.13,3.12,10.58,3.22,10.25,22.52,-8.13,22.72,-8.05,28.93,1.11,29.33,1.09,19.06,-1.42,19.26,-1.40,4.14,7.25,4.34,6.91
2001M07,0.2760,2.1377,0.2810,1.7438,4.43,-10.84,4.49,-10.69,19.21,-7.18,19.41,-7.11,0.75,-1.55,0.77,-1.51,17.38,3.57,17.03,6.87,...,...,...,...,49.47,-6.08,49.87,-6.04,3.24,3.09,3.34,2.99,22.65,-7.68,22.85,-7.61,30.21,-5.56,30.66,-5.64,20.05,-7.98,20.25,-7.90,4.11,7.06,4.31,6.73
2001M08,0.2884,0.6588,0.2924,0.6498,4.40,-10.00,4.46,-9.87,19.78,-9.15,19.98,-9.06,0.78,-3.06,0.80,-2.98,18.32,-3.11,18.52,-3.08,...,...,...,...,50.23,-10.25,50.63,-10.17,3.28,-1.22,3.38,-1.18,22.23,-5.80,22.43,-5.75,31.50,-12.38,31.90,-12.23,20.81,-14.13,21.01,-13.99,3.99,10.28,4.19,9.79
2001M09,0.2878,-0.0695,0.2918,0.1028,4.40,-9.32,4.46,-9.19,19.49,-8.11,19.69,-8.02,0.77,-4.40,0.79,-4.29,16.95,-0.29,17.15,-0.29,13.95,...,14.15,...,50.49,-8.79,50.89,-8.72,3.19,0.00,3.29,0.00,21.81,-4.86,22.01,-4.82,31.36,-12.24,31.76,-12.09,21.29,-15.12,21.49,-14.98,3.71,14.82,3.91,14.07
2001M10,0.2817,4.7923,0.2857,4.9002,4.40,-6.36,4.46,-6.28,18.84,-2.71,19.04,-2.68,0.77,-4.76,0.79,-4.63,17.35,-4.67,17.55,-4.62,14.19,...,14.39,...,50.01,-6.82,50.41,-6.76,3.20,-1.56,3.30,-1.52,21.77,-3.40,21.97,-3.37,31.13,-13.30,31.53,-13.13,21.19,-16.00,21.39,-15.85,3.54,24.86,3.74,17.65
2001M11,0.2761,7.1713,0.2801,7.2474,4.39,-3.87,4.45,-3.82,18.71,0.27,18.91,0.26,0.77,-3.42,0.79,-3.34,17.81,-3.31,18.01,-3.28,14.14,...,14.34,...,48.92,-3.99,49.32,-3.95,3.17,1.89,3.27,1.83,21.74,-1.79,21.94,-1.78,30.36,-6.59,30.76,-6.50,20.70,-9.28,20.90,-9.19,3.22,30.75,3.42,28.95
2001M12,0.2646,8.2011,0.2688,8.1845,4.46,-5.83,4.52,-5.75,18.81,0.69,19.01,0.68,0.78,-3.99,0.80,-3.89,17.80,3.09,18.00,3.06,14.48,...,14.68,...,50.57,-2.91,50.97,-2.88,3.26,6.13,3.36,5.95,21.91,0.05,22.11,0.05,30.78,0.36,31.18,0.35,20.81,-2.02,21.01,-2.00,2.79,53.41,2.99,49.83
2002M01,0.2609,6.2093,0.2649,6.1155,4.45,-7.42,4.51,-7.32,18.98,-2.85,19.18,-2.66,0.79,-4.53,0.81,-4.42,17.63,-0.28,17.83,-0.28,14.41,...,14.61,...,49.20,-4.23,49.60,-4.19,3.23,3.41,3.33,3.30,21.93,-2.28,22.13,-2.26,29.89,-0.33,30.29,-0.33,20.32,-3.74,20.52,-3.70,2.94,39.12,3.14,36.62
2002M02,0.2593,6.7489,0.2633,6.6464,4.47,-7.83,4.53,-7.73,19.04,-2.99,19.24,-2.96,0.79,-5.67,0.81,-5.54,17.95,-6.30,18.15,-6.23,14.61,...,14.81,...,49.58,-6.05,49.98,-6.00,3.30,-2.42,3.40,-2.35,21.73,-2.99,21.93,-2.96,30.19,-2.98,30.59,-2.94,20.49,-6.83,20.59,-6.31,0.00,--,0.00,--
