期間,遠期利率協議_原始值,遠期利率協議_年增率(%),遠期利率協議_原始值,遠期利率協議_年增率(%),換利_原始值,換利_年增率(%),換利_原始值,換利_年增率(%),買入選擇權_原始值,買入選擇權_年增率(%),買入選擇權_原始值,買入選擇權_年增率(%),賣出選擇權_原始值,賣出選擇權_年增率(%),賣出選擇權_原始值,賣出選擇權_年增率(%),契約合計_原始值,契約合計_年增率(%),契約合計_原始值,契約合計_年增率(%)
2006M03,"31,500",669.23,"116,861",133.28,"462,042",32.40,"362,777",0.79,"130,110",22.85,"7,354",-79.30,"104,013",96.77,"25,098",-72.59,"727,665",42.17,"512,090",-4.66
2006M04,"16,000","1,504.81","36,781","1,075.86","531,515",170.14,"168,175",-35.84,"113,513",188.05,"11,856",-30.60,"100,597",264.27,"14,216",-70.07,"761,625",187.65,"231,028",-29.96
2006M05,"60,000",154.36,"179,479",232.71,"680,286",166.82,"140,821",-48.70,"96,487",116.01,"3,917",-71.09,"101,964",222.21,"17,693",-70.04,"938,737",164.54,"341,910",-14.75
2006M06,"30,000","28,471.43","95,350",117.01,"480,600",26.11,"286,107",3.57,"146,980",44.11,"15,097",-65.21,"166,276",35.24,"5,870",-92.06,"823,856",35.92,"402,424",-8.02
2006M07,"3,000",--,"110,716",128.41,"382,427",34.30,"193,353",-8.82,"131,652",77.40,"3,898",-83.38,"111,209",72.45,"5,563",-37.34,"628,288",48.37,"313,530",7.06
2006M08,"1,000",--,"47,714",439.45,"395,841",37.24,"195,164",1.30,"76,269",-2.55,"18,587",-64.18,"76,129",12.39,"44,306",159.72,"549,239",26.43,"305,771",13.06
2006M09,0,-100.00,"56,598",-54.64,"486,925",37.97,"103,555",-56.67,"114,994",5.38,"20,553",-60.43,"113,718",21.19,"4,131",-81.79,"715,637",26.89,"184,837",-57.84
2006M10,0,-100.00,"18,293",-82.75,"344,223",42.29,"142,977",-29.63,"93,990",-14.89,"14,760",-36.75,"94,661",20.07,"2,023",-91.98,"532,874",15.76,"178,053",-50.24
2006M11,"2,000","2,097.80","16,216",-90.17,"436,307",8.01,"135,401",-18.56,"98,782",8.70,"6,898",69.23,"104,279",70.80,"13,251",-59.88,"641,368",15.36,"171,766",-53.36
2006M12,"20,001","133,240.00","3,912",-95.69,"195,927",1.20,"183,392",24.12,"86,141",3.04,"32,514",147.67,"94,947",59.04,"10,020",-55.44,"397,016",17.84,"229,838",-16.13
2007M01,0,-100.00,"9,555",-79.82,"308,969",-20.07,"239,117",46.80,"99,731",3.35,"14,179",-39.14,"134,084",40.80,"7,732",-81.61,"542,784",-11.06,"270,583",-1.81
2007M02,0,-100.00,"3,295",-95.60,"183,247",-55.97,"186,667",6.22,"82,884",-48.70,"3,271",-60.98,"97,184",-38.02,"9,858",-74.17,"363,315",-53.81,"203,091",-31.64
2007M03,0,-100.00,"24,817",-78.76,"325,920",-29.46,"372,632",2.72,"94,192",-27.61,"15,777",114.54,"107,704",3.55,"42,964",71.18,"527,816",-27.46,"456,190",-10.92
2007M04,0,-100.00,"7,321",-80.10,"520,453",-2.08,"185,667",10.40,"115,426",1.69,"9,907",-16.44,"125,990",25.24,"16,336",14.91,"761,869",0.03,"219,231",-5.11
2007M05,"5,000",-91.67,"14,547",-91.89,"900,674",32.40,"181,311",28.75,"265,656",175.33,"1,124",-71.30,"311,129",205.14,"34,382",94.33,"1,482,459",57.92,"231,364",-32.33
2007M06,"8,000",-73.33,0,-100.00,"931,283",93.78,"386,852",35.21,"119,608",-18.62,"21,277",40.94,"106,360",-36.03,"40,710",593.53,"1,165,251",41.44,"448,839",11.53
2007M07,0,-100.00,"75,124",-32.15,"670,001",75.20,"183,072",-5.32,"100,745",-23.48,"9,859",152.92,"104,505",-6.03,"45,938",725.78,"875,251",39.31,"313,993",0.15
2007M08,0,-100.00,"79,635",66.90,"667,139",68.54,"458,685",135.03,"123,875",62.42,"39,645",113.29,"113,187",48.68,"39,609",-10.60,"904,201",64.63,"617,574",101.97
2007M09,"50,000",--,"9,140",-83.85,"300,399",-38.31,"114,761",10.82,"96,958",-15.68,"16,619",-19.14,"115,901",1.92,"58,296","1,311.18","563,258",-21.29,"198,816",7.56
2007M10,0,--,"27,386",49.71,"352,222",2.32,"225,226",57.53,"90,442",-3.77,"19,452",31.79,"115,544",22.06,"35,242","1,642.07","558,208",4.75,"307,306",72.59
2007M11,500,-75.00,"120,968",645.98,"410,212",-5.98,"350,828",159.10,"55,142",-44.18,"39,044",466.02,"63,041",-39.55,"16,531",24.75,"528,895",-17.54,"527,371",207.03
2007M12,0,-100.00,"51,259","1,210.30","192,701",-1.65,"169,002",-7.85,"48,546",-43.64,"27,121",-16.59,"58,103",-38.80,"7,755",-22.60,"299,350",-24.60,"255,137",11.01
2008M01,0,--,"109,398","1,044.93","554,180",79.36,"381,373",59.49,"108,458",8.75,"48,933",245.11,"108,994",-18.71,"10,830",40.07,"771,632",42.16,"550,534",103.46
2008M02,"5,500",--,"140,382","4,160.46","442,461",141.46,"552,905",196.20,"28,224",-65.95,324,-90.09,"28,453",-70.72,"13,554",37.49,"504,638",38.90,"707,165",248.20
2008M03,0,--,"15,202",-38.74,"432,330",32.65,"1,006,586",170.13,"52,211",-44.57,"66,121",319.10,"60,365",-43.95,"21,958",-48.89,"544,906",3.24,"1,109,867",143.29
2008M04,0,--,"37,147",407.40,"533,206",2.45,"371,427",100.05,"78,270",-32.19,"6,078",-38.65,"80,744",-35.91,"10,644",-34.84,"692,220",-9.14,"425,296",93.99
2008M05,0,-100.00,"34,215",135.20,"524,871",-41.72,"354,164",95.34,"39,544",-85.11,"12,072",974.02,"44,350",-85.75,"9,102",-73.53,"608,765",-58.94,"409,553",77.02
2008M06,0,-100.00,"21,855",--,"696,550",-25.21,"397,319",2.71,"39,000",-67.39,285,-98.66,"36,902",-65.30,"16,870",-58.56,"772,452",-33.71,"436,329",-2.79
2008M07,61,--,"21,413",-71.50,"408,045",-39.10,"531,622",190.39,"55,048",-45.36,256,-97.40,"53,568",-48.74,"6,637",-85.55,"516,722",-40.96,"559,928",78.32
2008M08,"1,500",--,"11,347",-85.75,"442,935",-33.61,"428,034",-6.68,"19,939",-83.90,"3,320",-91.63,"18,198",-83.92,"5,326",-86.55,"482,572",-46.63,"448,027",-27.45
2008M09,309,-99.38,"28,598",212.89,"500,737",66.69,"615,508",436.34,"32,160",-66.83,"18,097",8.89,"27,574",-76.21,"2,397",-95.89,"560,780",-0.44,"664,600",234.28
2008M10,900,--,"65,663",139.77,"325,927",-7.47,"351,195",55.93,"37,742",-58.27,"19,797",1.77,"34,500",-70.14,330,-99.06,"399,069",-28.51,"436,985",42.20
2008M11,0,-100.00,"48,944",-59.54,"226,351",-44.82,"474,543",35.26,"43,498",-21.12,33,-99.92,"47,261",-25.03,"2,014",-87.82,"317,110",-40.04,"525,534",-0.35
2008M12,106,--,"62,101",21.15,"185,820",-3.57,"1,009,431",497.29,"25,762",-46.93,"1,304",-95.19,"55,375",-4.70,0,-100.00,"267,063",-10.79,"1,072,836",320.49
2009M01,0,--,"57,205",-47.71,"364,040",-34.31,"1,145,341",200.32,"15,204",-85.98,"15,094",-69.15,"13,611",-87.51,760,-92.98,"392,855",-49.09,"1,218,400",121.31
2009M02,0,-100.00,"17,475",-87.55,"399,776",-9.65,"1,552,723",180.83,"28,612",1.37,"15,424","4,660.49","25,397",-10.74,"1,746",-87.12,"453,785",-10.08,"1,587,368",124.47
2009M03,0,--,"24,759",62.87,"444,080",2.72,"1,738,332",72.70,"43,878",-15.96,"19,205",-70.95,"38,457",-36.29,"2,298",-89.53,"526,415",-3.39,"1,784,594",60.79
2009M04,0,--,"18,767",-49.48,"472,120",-11.46,"1,554,610",318.55,"14,829",-81.05,0,-100.00,"17,607",-78.19,"1,879",-82.35,"504,556",-27.11,"1,575,256",270.39
2009M05,0,--,"27,426",-19.84,"355,228",-32.32,"1,657,452",367.99,"13,189",-66.65,784,-93.51,"15,786",-64.41,"2,295",-74.79,"384,203",-36.89,"1,687,957",312.15
2009M06,0,--,"33,476",53.17,"492,289",-29.32,"1,975,621",397.24,"30,983",-20.56,"6,027","2,014.74","25,769",-30.17,897,-94.68,"549,041",-28.92,"2,016,021",362.04
2009M07,0,-100.00,0,-100.00,"458,991",12.49,"1,954,064",267.57,"33,960",-38.31,"4,529","1,669.14","39,003",-27.19,"5,510",-16.98,"531,954",2.95,"1,964,103",250.78
2009M08,0,-100.00,"5,268",-53.57,"541,162",22.18,"2,155,477",403.58,"32,108",61.03,"14,223",328.40,"22,910",25.89,853,-83.98,"596,180",23.54,"2,175,821",385.65
2009M09,0,-100.00,"6,440",-77.48,"559,031",11.64,"1,095,779",78.03,"22,175",-31.05,"21,229",17.31,"25,135",-8.85,213,-91.11,"606,341",8.12,"1,123,661",69.07
2009M10,0,-100.00,0,-100.00,"623,000",91.15,"309,240",-11.95,"26,591",-29.55,"9,275",-53.15,"26,143",-24.22,"2,371",618.48,"675,734",69.33,"320,886",-26.57
2009M11,0,--,0,-100.00,"406,273",79.49,"182,773",-61.48,"14,129",-67.52,"16,604","50,215.15","13,075",-72.33,959,-52.38,"433,477",36.70,"200,336",-61.88
2009M12,0,-100.00,0,-100.00,"329,661",77.41,"233,673",-76.85,"17,540",-31.92,"10,988",742.64,"14,170",-74.41,"11,692",--,"361,371",35.31,"256,353",-76.11
2010M01,"10,350",--,0,-100.00,"768,774",111.18,"724,293",-36.76,"30,765",102.35,"24,502",62.33,"29,228",114.74,"14,456","1,802.11","839,117",113.59,"763,251",-37.36
2010M02,"4,200",--,"1,106",-93.67,"270,998",-32.21,"691,288",-55.48,"50,072",75.00,"20,963",35.91,"45,052",77.39,"14,251",716.21,"370,322",-18.39,"727,608",-54.16
2010M03,"7,000",--,954,-96.15,"710,409",59.97,"507,437",-70.81,"59,894",36.50,"3,337",-82.62,"53,308",38.62,"4,687",103.96,"830,611",57.79,"516,415",-71.06
