期間,遷入-合計_原始值,遷入-合計_年增率(%),遷入-自外國_原始值,遷入-自外國_年增率(%),遷入-新北市_原始值,遷入-新北市_年增率(%),遷入-臺北市_原始值,遷入-臺北市_年增率(%),遷入-臺中市_原始值,遷入-臺中市_年增率(%),遷入-臺南市_原始值,遷入-臺南市_年增率(%),遷入-高雄市_原始值,遷入-高雄市_年增率(%),遷入-臺灣省_原始值,遷入-臺灣省_年增率(%),遷入-福建省_原始值,遷入-福建省_年增率(%),遷入-其他省市_原始值,遷入-其他省市_年增率(%),遷入-自本省他縣市_原始值,遷入-自本省他縣市_年增率(%),遷入-自本縣市他鄉鎮市區_原始值,遷入-自本縣市他鄉鎮市區_年增率(%),遷入-初設戶籍_原始值,遷入-初設戶籍_年增率(%),遷入-其他_原始值,遷入-其他_年增率(%),遷出-合計_原始值,遷出-合計_年增率(%),遷出-往外國_原始值,遷出-往外國_年增率(%),遷出-新北市_原始值,遷出-新北市_年增率(%),遷出-臺北市_原始值,遷出-臺北市_年增率(%),遷出-臺中市_原始值,遷出-臺中市_年增率(%),遷出-臺南市_原始值,遷出-臺南市_年增率(%),遷出-高雄市_原始值,遷出-高雄市_年增率(%),遷出-臺灣省_原始值,遷出-臺灣省_年增率(%),遷出-福建省_原始值,遷出-福建省_年增率(%),遷出-其他省市_原始值,遷出-其他省市_年增率(%),遷出-自本省他縣市_原始值,遷出-自本省他縣市_年增率(%),遷出-自本縣市他鄉鎮市區_原始值,遷出-自本縣市他鄉鎮市區_年增率(%),遷出-廢止戶籍_原始值,遷出-廢止戶籍_年增率(%),遷出-其他_原始值,遷出-其他_年增率(%),鄉鎮區內住址變更人數 -遷入_原始值,鄉鎮區內住址變更人數 -遷入_年增率(%),鄉鎮區內住址變更人數 -遷出_原始值,鄉鎮區內住址變更人數 -遷出_年增率(%),淨遷入_原始值,淨遷入_年增率(%)
2007M05,"116,432",5.71,"4,754",1.97,-,--,"8,851",12.62,-,--,-,--,"4,271",-0.44,"11,810",-3.98,286,4.76,0,--,"34,304",6.31,"49,611",6.96,"2,536",20.65,9,-10.00,"113,431",5.76,"4,217",10.54,-,--,"7,471",-7.01,-,--,-,--,"4,352",1.78,"12,844",8.43,552,-4.00,0,--,"34,306",6.32,"49,627",6.96,0,-100.00,62,26.53,"61,479",4.98,"61,479",4.98,"3,001",-
2007M06,"104,581",-23.64,"4,738",-8.20,-,--,"7,524",-14.11,-,--,-,--,"3,720",-23.41,"10,735",-29.34,193,-32.28,0,--,"30,835",-22.61,"44,901",-26.27,"1,926",-1.08,9,-47.06,"101,071",-24.09,"3,020",-8.60,-,--,"6,829",-31.02,-,--,-,--,"3,882",-24.67,"10,959",-17.65,499,-30.69,0,--,"30,840",-22.58,"44,894",-26.25,1,-50.00,147,157.89,"52,115",-31.34,"52,115",-31.34,"3,510",-
2007M07,"108,728",-10.98,"5,677",8.51,-,--,"8,535",1.21,-,--,-,--,"3,901",-14.09,"11,656",-14.17,250,-17.76,1,--,"32,062",-10.54,"44,037",-15.59,"2,602",28.18,7,75.00,"104,200",-11.83,"3,637",11.29,-,--,"7,075",-19.02,-,--,-,--,"4,572",-3.73,"12,066",-4.58,628,-15.02,0,--,"32,056",-10.56,"44,044",-15.57,0,--,122,238.89,"53,345",-15.96,"53,345",-15.96,"4,528",-
2007M08,"120,324",-15.58,"4,556",-4.59,-,--,"9,631",-2.99,-,--,-,--,"4,415",-20.16,"11,626",-21.24,258,-29.32,0,-100.00,"37,429",-14.89,"49,920",-17.85,"2,482",3.20,7,-46.15,"117,982",-15.67,"4,620",1.36,-,--,"7,178",-22.07,-,--,-,--,"4,540",-15.69,"13,589",-9.68,628,-33.40,0,--,"37,427",-14.86,"49,916",-17.84,0,--,84,55.56,"58,790",-19.06,"58,790",-19.06,"2,342",-
2007M09,"96,552",-15.26,"3,446",1.20,-,--,"8,277",-3.46,-,--,-,--,"3,255",-24.48,"9,697",-14.20,221,-0.90,1,--,"26,575",-16.48,"43,475",-16.45,"1,597",-29.43,8,-20.00,"96,116",-15.37,"4,562",-12.96,-,--,"5,961",-16.85,-,--,-,--,"3,741",-7.88,"11,210",-10.14,533,-24.40,0,--,"26,572",-16.52,"43,474",-16.46,0,--,63,18.87,"54,995",-17.09,"54,995",-17.09,436,-
2007M10,"83,493",-12.35,"4,282",-14.33,-,--,"5,798",-2.14,-,--,-,--,"3,028",-5.17,"8,011",-14.22,216,-25.00,0,--,"23,976",-14.61,"36,423",-12.15,"1,755",-10.60,4,-66.67,"80,780",-11.47,"3,266",11.32,-,--,"4,852",-14.71,-,--,-,--,"2,979",-11.63,"8,598",-3.56,628,-18.34,0,--,"23,973",-14.62,"36,424",-12.14,0,-100.00,60,76.47,"48,369",-10.05,"48,369",-10.05,"2,713",-
2007M11,"75,864",-26.37,"4,122",-26.37,-,--,"5,109",-9.93,-,--,-,--,"2,710",-18.47,"7,591",-26.38,180,-31.30,0,--,"22,401",-29.29,"32,116",-27.62,"1,628",-10.15,7,16.67,"72,880",-25.89,"2,723",2.45,-,--,"4,606",-27.87,-,--,-,--,"2,826",-23.50,"7,555",-13.93,596,-16.64,0,--,"22,405",-29.26,"32,111",-27.66,0,-100.00,58,26.09,"43,035",-24.51,"43,035",-24.51,"2,984",-
2007M12,"77,055",-47.30,"5,167",-31.57,-,--,"5,266",-53.12,-,--,-,--,"2,600",-58.29,"7,273",-49.96,141,-63.19,0,--,"22,303",-48.16,"32,022",-47.64,"2,274",8.34,9,-50.00,"71,917",-48.37,"2,256",-16.10,-,--,"4,516",-52.07,-,--,-,--,"2,655",-48.01,"7,608",-55.36,501,-38.15,0,--,"22,298",-48.16,"32,025",-47.63,0,--,58,9.43,"42,780",-39.59,"42,780",-39.59,"5,138",-
2008M01,"86,934",-19.28,"4,059",-16.41,-,--,"5,811",-35.11,-,--,-,--,"3,274",-19.10,"8,458",-22.50,154,-39.84,0,--,"26,930",-13.65,"36,269",-20.18,"1,971",-3.48,8,-27.27,"84,261",-23.10,"3,308",-62.10,-,--,"5,169",-24.80,-,--,-,--,"3,218",-17.76,"8,856",-29.44,449,-46.10,0,--,"26,932",-13.65,"36,267",-20.18,0,--,62,37.78,"45,044",-20.74,"45,044",-20.74,"2,673",-
2008M02,"79,900",13.83,"3,785",-19.49,-,--,"5,154",-1.15,-,--,-,--,"2,954",9.57,"7,538",10.77,248,54.04,2,-33.33,"25,586",23.05,"33,072",18.94,"1,558",-22.56,3,-25.00,"75,997",2.91,"1,403",-86.46,-,--,"4,566",10.48,-,--,-,--,"3,009",15.29,"7,958",4.45,360,-28.57,0,--,"25,583",23.08,"33,074",18.98,2,--,42,-2.33,"39,418",18.89,"39,418",18.89,"3,903",-
2008M03,"91,775",-21.01,"6,536",18.92,-,--,"5,996",-25.59,-,--,-,--,"3,137",-27.57,"8,834",-24.85,227,-29.72,0,--,"26,707",-21.51,"38,676",-22.23,"1,654",-32.87,8,14.29,"89,333",-25.22,"5,709",-48.89,-,--,"5,496",-22.95,-,--,-,--,"3,285",-27.19,"8,934",-26.40,476,-31.01,0,--,"26,705",-21.51,"38,679",-22.23,4,300.00,45,-29.69,"49,311",-20.87,"49,311",-20.87,"2,442",-
2008M04,"105,190",9.66,"3,709",-26.82,-,--,"7,943",19.21,-,--,-,--,"4,075",10.05,"11,473",9.68,263,21.20,1,--,"32,329",15.03,"43,466",10.19,"1,921",-14.51,10,-28.57,"104,058",11.60,"4,454",-3.03,-,--,"6,848",8.17,-,--,-,--,"4,514",14.66,"11,708",15.97,683,1.19,0,--,"32,324",15.04,"43,464",10.24,40,--,23,-73.56,"54,093",9.52,"54,093",9.52,"1,132",-
