期間,發行部門-政府_原始值,發行部門-政府_年增率(%),持有部門-其他貨幣機構_原始值,持有部門-其他貨幣機構_年增率(%),持有部門-保險公司及退休基金_原始值,持有部門-保險公司及退休基金_年增率(%),持有部門-其他金融機構_原始值,持有部門-其他金融機構_年增率(%),持有部門-政府_原始值,持有部門-政府_年增率(%),持有部門-公營事業_原始值,持有部門-公營事業_年增率(%),持有部門-民營企業_原始值,持有部門-民營企業_年增率(%),持有部門-家庭及非營利團體_原始值,持有部門-家庭及非營利團體_年增率(%),持有部門-國外_原始值,持有部門-國外_年增率(%)
2006,"3,409,723",6.98,"1,291,875",17.21,"1,497,797",5.96,"525,570",-8.28,"1,649","1,549.00","6,753",-29.42,"16,683",-18.38,"63,421",3.10,"5,975",-12.58
2007,"3,547,847",4.05,"1,423,361",10.18,"1,590,708",6.20,"415,504",-20.94,"2,272",37.78,"4,562",-32.45,"13,861",-16.92,"86,567",36.50,"11,012",84.30
2008,"3,843,000",8.32,"1,609,460",13.07,"1,731,563",8.85,"354,397",-14.71,456,-79.93,"1,979",-56.62,"1,928",-86.09,"94,154",8.76,"49,063",345.54
