期間,總成交值(十億元)_原始值,總成交值(十億元)_年增率(%),成交筆數(百萬)_原始值,成交筆數(百萬)_年增率(%),成交金額(十億元)-股票_原始值,成交金額(十億元)-股票_年增率(%),成交金額(十億元)-指數股票型基金_原始值,成交金額(十億元)-指數股票型基金_年增率(%),成交金額(十億元)-封閉式基金_原始值,成交金額(十億元)-封閉式基金_年增率(%),成交金額(十億元)-受益證券_原始值,成交金額(十億元)-受益證券_年增率(%),成交金額(十億元)-認購(售)權證_原始值,成交金額(十億元)-認購(售)權證_年增率(%),成交金額(十億元)-臺灣存託憑證_原始值,成交金額(十億元)-臺灣存託憑證_年增率(%),成交金額(十億元)-公債_原始值,成交金額(十億元)-公債_年增率(%),成交金額(十億元)-公司債-普通_原始值,成交金額(十億元)-公司債-普通_年增率(%),成交金額(十億元)-公司債-轉換_原始值,成交金額(十億元)-公司債-轉換_年增率(%)
2006M08,"1,731.98",-1.16,12.90,1.77,"1,701.62",-1.45,8.26,23.65,0.11,57.14,0.92,119.05,17.33,5.67,3.74,82.44,...,...,...,...,0.00,-100.00
2006M09,"1,589.36",14.59,12.03,14.04,"1,561.69",14.09,10.57,92.88,0.05,0.00,0.84,86.67,14.85,29.47,1.36,86.30,...,...,...,...,0.00,--
2006M10,"1,671.77",16.48,13.79,20.27,"1,647.73",16.41,6.64,27.69,0.03,50.00,3.06,36.61,12.77,11.92,1.54,69.23,...,...,...,...,0.00,--
2006M11,"2,353.69",34.40,19.03,41.25,"2,327.00",35.14,4.60,-43.35,0.05,150.00,3.12,-6.02,14.84,10.17,4.08,-4.67,...,...,...,...,0.00,--
2006M12,"2,335.93",-5.08,18.96,12.62,"2,303.19",-5.04,6.61,-21.87,0.05,0.00,5.42,110.89,15.18,-25.95,5.49,36.91,...,...,...,...,0.00,-100.00
2007M01,"2,662.66",21.36,19.66,33.73,"2,630.24",21.57,9.23,45.58,0.05,-28.57,1.08,-55.00,17.02,-10.52,5.03,89.10,...,...,...,...,0.00,-100.00
2007M02,"1,107.87",-30.38,7.90,-25.82,"1,095.15",-30.49,4.49,25.42,0.04,100.00,0.70,-23.08,5.62,-40.02,1.87,5.06,...,...,...,...,0.00,--
2007M03,"2,606.38",25.10,18.66,40.92,"2,575.91",24.67,8.29,161.51,0.02,-33.33,1.21,0.00,8.67,-22.59,12.28,667.50,...,...,...,...,0.00,-100.00
2007M04,"2,140.99",-9.06,16.81,5.36,"2,116.36",-9.32,7.16,137.09,0.03,-50.00,0.76,-74.75,8.56,-28.61,8.12,244.07,...,...,...,...,0.00,-100.00
2007M05,"2,125.05",-24.00,15.01,-20.47,"2,105.19",-24.03,5.58,-18.90,0.04,0.00,1.19,-29.17,9.25,-34.63,3.80,83.57,...,...,...,...,0.00,--
2007M06,"3,006.73",49.79,19.90,43.53,"2,968.90",50.10,6.75,-30.56,0.06,100.00,1.17,-27.78,15.04,-10.85,14.81,"1,234.23",...,...,...,...,0.00,-100.00
2007M07,"5,031.67",236.27,32.97,196.91,"4,950.47",236.57,20.59,252.57,0.14,366.67,1.65,108.86,37.41,113.77,21.40,"1,612.00",...,...,...,...,0.00,-100.00
2007M08,"3,601.51",107.94,24.37,88.89,"3,541.40",108.12,20.29,145.64,0.09,-18.18,1.14,23.91,28.67,65.44,9.92,165.24,...,...,...,...,0.00,--
2007M09,"2,509.78",57.91,17.68,46.93,"2,472.72",58.34,6.50,-38.51,0.10,100.00,0.80,-4.76,24.88,67.54,4.79,252.21,...,...,...,...,0.00,--
2007M10,"3,549.19",112.30,23.66,71.58,"3,489.91",111.80,12.03,81.17,0.04,33.33,0.95,-68.95,41.30,223.41,4.96,222.08,...,...,...,...,0.00,--
2007M11,"2,953.79",25.50,20.47,7.56,"2,904.82",24.83,13.74,198.70,0.16,220.00,0.67,-78.53,31.95,115.30,2.45,-39.95,...,...,...,...,0.00,--
2007M12,"2,231.84",-4.46,16.71,-11.87,"2,192.77",-4.79,10.71,62.03,0.06,20.00,0.98,-81.92,24.81,63.44,2.50,-54.46,...,...,...,...,0.00,--
2008M01,"3,106.13",16.66,22.19,12.85,"3,057.47",16.24,18.10,96.10,0.01,-80.00,0.76,-29.63,28.16,65.45,1.61,-67.99,0.00,...,0.00,...,0.00,--
2008M02,"1,851.29",67.10,14.33,81.39,"1,821.33",66.31,9.03,101.11,0.01,-75.00,1.24,77.14,18.15,222.95,1.53,-18.18,0.00,...,0.00,...,0.00,--
2008M03,"3,264.98",25.27,24.37,30.60,"3,195.75",24.06,29.07,250.66,0.03,50.00,2.74,126.45,33.60,287.54,3.79,-69.14,0.00,...,0.00,...,0.00,--
2008M04,"3,365.19",57.18,25.16,49.63,"3,295.62",55.72,22.70,217.04,0.15,400.00,2.75,261.84,38.62,351.17,5.36,-33.99,0.00,...,0.00,...,0.00,--
2008M05,"3,012.17",41.75,23.46,56.32,"2,949.93",40.13,18.87,238.17,0.34,750.00,1.73,45.38,34.72,275.35,6.59,73.42,0.00,...,0.00,...,0.00,--
2008M06,"2,066.89",-31.26,17.65,-11.28,"2,023.24",-31.85,16.81,149.04,0.13,116.67,0.76,-35.04,24.29,61.50,1.67,-88.72,0.00,...,0.00,...,0.00,--
2008M07,"2,252.10",-55.24,20.19,-38.75,"2,203.09",-55.50,23.37,13.50,0.02,-85.71,0.45,-72.73,23.71,-36.62,1.47,-93.13,0.00,...,0.00,...,0.00,--
2008M08,"1,998.37",-44.51,17.57,-27.91,"1,953.76",-44.83,18.38,-9.41,0.02,-77.78,0.52,-54.39,24.38,-14.96,1.31,-86.79,0.00,...,0.00,...,0.00,--
2008M09,"1,917.15",-23.61,17.66,-0.12,"1,871.78",-24.30,27.58,324.31,0.08,-20.00,1.20,50.00,15.11,-39.27,1.39,-70.98,0.00,...,0.00,...,0.00,--
2008M10,"1,276.89",-64.02,13.87,-41.39,"1,246.85",-64.27,18.55,54.20,0.06,50.00,0.66,-30.53,9.48,-77.05,1.29,-73.99,0.00,...,0.00,...,0.00,--
2008M11,"1,139.47",-61.42,15.07,-26.36,"1,113.83",-61.66,13.93,1.38,0.03,-81.25,0.26,-61.19,10.51,-67.10,0.92,-62.45,0.00,...,0.00,...,0.00,--
2008M12,"1,415.54",-36.58,18.92,13.24,"1,382.76",-36.94,15.64,46.03,0.02,-66.67,0.35,-64.29,15.09,-39.18,1.68,-32.80,0.00,...,0.00,...,0.00,--
2009M01,863.02,-72.22,10.98,-50.53,846.03,-72.33,9.68,-46.52,0.00,-100.00,0.14,-81.58,6.41,-77.24,0.76,-52.80,0.00,--,0.00,--,0.00,--
2009M02,"1,328.07",-28.26,15.66,9.32,"1,309.13",-28.12,11.67,29.24,0.00,-100.00,0.29,-76.61,6.17,-66.01,0.80,-47.71,0.00,--,0.00,--,0.00,--
2009M03,"2,343.22",-28.23,25.89,6.25,"2,309.60",-27.73,21.93,-24.56,0.04,33.33,0.35,-87.23,7.39,-78.01,3.91,3.17,0.00,--,0.00,--,0.00,--
2009M04,"3,170.09",-5.80,31.11,23.65,"3,132.24",-4.96,21.16,-6.78,0.03,-80.00,0.53,-80.73,10.25,-73.46,5.88,9.70,0.00,--,0.00,--,0.00,--
2009M05,"3,507.03",16.43,29.21,24.52,"3,459.42",17.27,19.08,1.11,0.03,-91.18,0.57,-67.05,10.57,-69.56,17.36,163.43,0.00,--,0.00,--,0.00,--
2009M06,"2,887.04",39.68,26.09,47.79,"2,845.15",40.62,18.14,7.91,0.04,-69.23,0.36,-52.63,10.21,-57.97,13.13,686.23,0.00,--,0.00,--,0.00,--
2009M07,"3,068.24",36.24,26.41,30.77,"3,032.34",37.64,13.09,-43.99,0.08,300.00,0.47,4.44,11.18,-52.85,11.08,653.74,0.00,--,0.00,--,0.00,--
2009M08,"2,125.73",6.37,19.26,9.64,"2,096.28",7.29,13.73,-25.30,0.05,150.00,0.26,-50.00,7.47,-69.36,7.93,505.34,0.00,--,0.00,--,0.00,--
2009M09,"2,682.50",39.92,23.27,31.82,"2,640.41",41.06,21.84,-20.81,0.07,-12.50,0.39,-67.50,8.75,-42.09,11.05,694.96,0.00,--,0.00,--,0.00,--
2009M10,"2,821.50",120.97,24.86,79.24,"2,779.02",122.88,17.38,-6.31,0.06,0.00,0.53,-19.70,9.35,-1.37,15.15,"1,074.42",0.00,--,0.00,--,0.00,--
2009M11,"2,318.72",103.49,20.74,37.60,"2,284.02",105.06,14.43,3.59,0.06,100.00,0.47,80.77,8.23,-21.69,11.51,"1,151.09",0.00,--,0.00,--,0.00,--
