期間,發行部門-政府_原始值,發行部門-政府_年增率(%),持有部門-其他貨幣機構_原始值,持有部門-其他貨幣機構_年增率(%),持有部門-保險公司及退休基金_原始值,持有部門-保險公司及退休基金_年增率(%),持有部門-其他金融機構_原始值,持有部門-其他金融機構_年增率(%),持有部門-政府_原始值,持有部門-政府_年增率(%),持有部門-公營事業_原始值,持有部門-公營事業_年增率(%),持有部門-民營企業_原始值,持有部門-民營企業_年增率(%),持有部門-家庭及非營利團體_原始值,持有部門-家庭及非營利團體_年增率(%),持有部門-國外_原始值,持有部門-國外_年增率(%)
2003,"2,648,495",10.61,"841,277",2.82,"1,079,528",16.21,"676,337",8.96,76,--,"4,777","8,504.81","10,392",-25.78,"25,161",102.07,"10,947","7,775.54"
2004,"2,983,567",12.65,"1,050,545",24.88,"1,276,108",18.21,"552,351",-18.33,61,-19.60,"8,368",75.17,"21,466",106.56,"58,180",131.23,"16,488",50.62
2005,"3,187,228",6.83,"1,102,172",4.91,"1,413,609",10.78,"572,990",3.74,100,63.30,"9,568",14.34,"20,440",-4.78,"61,514",5.73,"6,835",-58.55
