期間,總指數_原始值,總指數_年增率(%),總指數(不含土石採取業)_原始值,總指數(不含土石採取業)_年增率(%),總指數(不含建築工程業)_原始值,總指數(不含建築工程業)_年增率(%),總指數(不含土石採取及建築工程業)_原始值,總指數(不含土石採取及建築工程業)_年增率(%),礦業及土石採取業_原始值,礦業及土石採取業_年增率(%),製造業_原始值,製造業_年增率(%),金屬機電工業_原始值,金屬機電工業_年增率(%),資訊電子工業_原始值,資訊電子工業_年增率(%),化學工業_原始值,化學工業_年增率(%),民生工業_原始值,民生工業_年增率(%),電力及燃氣供應業_原始值,電力及燃氣供應業_年增率(%),用水供應業_原始值,用水供應業_年增率(%),建築工程業_原始值,建築工程業_年增率(%)
1992M09,...,...,40.56,-1.00,...,...,39.09,-1.64,...,...,38.20,-2.25,55.88,-0.92,11.75,-1.01,51.14,-1.94,126.65,-4.92,48.23,4.64,70.17,5.00,132.00,24.93
1992M10,...,...,42.38,0.02,...,...,40.71,-0.83,...,...,40.09,-1.43,58.23,-0.65,12.52,2.45,53.37,-3.94,132.61,-2.45,45.25,5.72,75.32,11.72,154.78,34.87
1992M11,...,...,41.40,-2.57,...,...,39.65,-3.32,...,...,39.19,-3.90,57.74,-2.25,12.22,-0.16,52.71,-4.60,126.94,-7.48,41.89,2.95,71.18,6.46,163.67,23.86
1992M12,...,...,44.93,2.44,...,...,42.75,1.09,...,...,42.39,0.69,62.52,2.14,13.37,7.91,56.34,0.02,138.19,-5.16,43.41,5.47,73.28,10.06,207.32,46.61
1993M01,...,...,35.95,-15.17,...,...,34.23,-16.06,...,...,33.54,-17.10,46.74,-17.33,9.77,-17.13,48.14,-13.70,112.86,-20.98,39.05,-5.40,73.26,10.60,164.74,12.57
1993M02,...,...,39.95,21.61,...,...,38.26,19.94,...,...,37.86,20.42,54.70,27.89,12.09,31.84,51.71,13.27,121.63,13.81,39.65,14.30,66.53,7.53,158.36,96.65
1993M03,...,...,44.07,4.73,...,...,42.28,4.01,...,...,41.76,3.75,60.12,8.27,13.70,11.56,56.27,-0.81,133.44,-1.13,45.01,5.16,73.26,12.14,165.38,30.12
1993M04,...,...,42.82,2.61,...,...,41.05,1.94,...,...,40.48,1.45,59.08,6.95,13.38,8.78,53.90,-3.35,127.87,-4.47,44.74,5.99,70.65,10.27,164.96,27.11
1993M05,...,...,43.84,2.36,...,...,41.75,1.71,...,...,40.84,0.94,59.41,1.99,13.31,6.57,54.60,-0.66,129.79,-3.49,50.57,10.27,73.69,9.72,199.08,19.37
1993M06,...,...,42.95,3.10,...,...,41.00,2.17,...,...,39.88,1.42,58.13,-0.26,13.36,7.57,53.56,3.94,122.59,-5.00,52.91,9.30,72.95,8.01,184.32,33.06
1993M07,...,...,45.18,4.87,...,...,43.17,4.68,...,...,41.71,4.01,61.20,4.28,13.64,8.95,55.12,5.88,132.23,-2.62,60.39,10.73,77.35,10.72,189.04,9.52
1993M08,...,...,44.46,4.22,...,...,42.49,3.89,...,...,41.00,3.20,59.73,2.07,13.40,13.46,55.19,3.68,128.64,-4.44,60.02,10.47,77.46,9.73,186.04,13.17
1993M09,...,...,43.96,8.38,...,...,41.96,7.34,...,...,40.87,6.99,57.90,3.61,13.89,18.21,55.32,8.17,126.42,-0.18,53.61,11.15,74.38,6.00,187.89,42.34
1993M10,...,...,43.58,2.83,...,...,41.68,2.38,...,...,40.83,1.85,57.51,-1.24,13.69,9.35,55.93,4.80,126.82,-4.37,49.46,9.30,76.06,0.98,177.66,14.78
1993M11,...,...,43.21,4.37,...,...,41.19,3.88,...,...,40.47,3.27,57.69,-0.09,13.77,12.68,54.92,4.19,124.28,-2.10,47.22,12.72,73.04,2.61,192.24,17.46
1993M12,...,...,47.78,6.34,...,...,44.61,4.35,...,...,44.13,4.10,62.56,0.06,14.81,10.77,59.72,6.00,139.03,0.61,46.99,8.25,74.20,1.26,317.15,52.98
1994M01,...,...,43.66,21.45,...,...,41.51,21.27,...,...,40.80,21.65,57.09,22.14,13.21,35.21,56.01,16.35,133.54,18.32,46.39,18.80,72.40,-1.17,209.37,27.09
1994M02,...,...,35.90,-10.14,...,...,34.05,-11.00,...,...,33.36,-11.89,45.63,-16.58,10.86,-10.17,48.57,-6.07,104.67,-13.94,39.09,-1.41,66.41,-0.18,179.37,13.27
1994M03,...,...,46.68,5.92,...,...,44.49,5.23,...,...,43.82,4.93,61.80,2.79,15.10,10.22,59.80,6.27,135.02,1.18,48.74,8.29,72.86,-0.55,213.10,28.85
1994M04,...,...,45.94,7.29,...,...,43.53,6.04,...,...,42.68,5.43,61.92,4.81,14.26,6.58,57.38,6.46,133.22,4.18,51.55,15.22,72.00,1.91,233.75,41.70
1994M05,...,...,46.48,6.02,...,...,44.28,6.06,...,...,43.16,5.68,62.36,4.97,14.90,11.95,58.24,6.67,130.63,0.65,56.90,12.52,74.22,0.72,214.50,7.75
1994M06,...,...,47.38,10.31,...,...,44.58,8.73,...,...,43.35,8.70,61.36,5.56,15.41,15.34,59.32,10.75,128.55,4.86,59.08,11.66,75.25,3.15,270.26,46.63
1994M07,...,...,46.76,3.50,...,...,44.10,2.15,...,...,42.61,2.16,61.96,1.24,14.65,7.40,56.86,3.16,130.15,-1.57,63.08,4.45,80.12,3.58,256.40,35.63
1994M08,...,...,46.07,3.62,...,...,43.81,3.11,...,...,42.44,3.51,59.71,-0.03,14.82,10.60,56.83,2.97,131.93,2.56,60.62,1.00,80.77,4.27,219.94,18.22
1994M09,...,...,46.22,5.14,...,...,43.97,4.79,...,...,42.87,4.89,60.95,5.27,15.25,9.79,56.99,3.02,130.30,3.07,55.86,4.20,81.09,9.02,218.14,16.10
1994M10,...,...,47.28,8.49,...,...,44.73,7.32,...,...,43.74,7.13,63.95,11.20,15.26,11.47,59.39,6.19,128.31,1.17,53.96,9.10,82.87,8.95,247.56,39.34
1994M11,...,...,49.14,13.72,...,...,46.38,12.60,...,...,45.64,12.77,65.97,14.35,16.40,19.10,61.50,11.98,132.67,6.75,51.42,8.89,80.39,10.06,265.84,38.29
1994M12,...,...,50.46,5.61,...,...,47.29,6.01,...,...,46.58,5.55,66.27,5.93,16.84,13.71,61.48,2.95,140.00,0.70,51.53,9.66,81.54,9.89,305.18,-3.77
1995M01,...,...,47.27,8.27,...,...,43.96,5.90,...,...,43.18,5.83,61.91,8.44,14.94,13.10,58.37,4.21,131.37,-1.62,48.94,5.50,82.21,13.55,316.39,51.12
1995M02,...,...,40.01,11.45,...,...,38.52,13.13,...,...,37.79,13.28,51.80,13.52,13.91,28.08,52.57,8.24,109.79,4.89,43.60,11.54,74.44,12.09,148.32,-17.31
1995M03,...,...,51.09,9.45,...,...,49.00,10.14,...,...,48.33,10.29,68.54,10.91,18.42,21.99,63.35,5.94,138.57,2.63,52.67,8.06,80.05,9.87,206.09,-3.29
1995M04,...,...,47.37,3.11,...,...,45.68,4.94,...,...,44.83,5.04,63.25,2.15,16.48,15.57,61.69,7.51,127.64,-4.19,53.52,3.82,74.84,3.94,167.33,-28.41
1995M05,...,...,51.38,10.54,...,...,48.80,10.21,...,...,47.82,10.80,68.87,10.44,17.95,20.47,63.55,9.12,134.91,3.28,59.54,4.64,74.73,0.69,250.00,16.55
1995M06,...,...,49.01,3.44,...,...,46.97,5.36,...,...,45.71,5.44,65.15,6.18,17.65,14.54,60.38,1.79,127.07,-1.15,62.99,6.62,70.85,-5.85,201.74,-25.35
1995M07,...,...,49.24,5.30,...,...,46.66,5.80,...,...,45.07,5.77,65.21,5.25,17.11,16.79,58.68,3.20,127.68,-1.90,67.12,6.40,81.75,2.03,250.73,-2.21
1995M08,...,...,49.98,8.49,...,...,47.05,7.40,...,...,45.52,7.26,63.86,6.95,17.60,18.76,59.54,4.77,130.23,-1.29,66.75,10.11,82.57,2.23,281.59,28.03
1995M09,...,...,47.86,3.55,...,...,45.92,4.43,...,...,44.59,4.01,63.65,4.43,17.62,15.54,57.50,0.89,123.47,-5.24,61.90,10.81,79.56,-1.89,192.30,-11.85
1995M10,...,...,47.67,0.82,...,...,45.41,1.52,...,...,44.19,1.03,62.17,-2.78,17.35,13.70,56.91,-4.18,125.85,-1.92,59.32,9.93,81.78,-1.32,219.93,-11.16
1995M11,...,...,48.61,-1.08,...,...,46.07,-0.67,...,...,45.25,-0.85,62.99,-4.52,17.80,8.54,59.22,-3.71,127.87,-3.62,53.05,3.17,78.53,-2.31,246.06,-7.44
1995M12,...,...,48.90,-3.09,...,...,46.49,-1.69,...,...,45.69,-1.91,62.13,-6.25,17.72,5.23,61.51,0.05,130.85,-6.54,52.57,2.02,78.13,-4.18,235.35,-22.88
1996M01,48.64,...,48.53,2.67,46.42,...,46.31,5.35,194.52,...,45.47,5.30,62.94,1.66,17.17,14.93,62.03,6.27,129.71,-1.26,57.16,16.80,75.31,-8.39,217.31,-31.32
1996M02,40.96,...,40.85,2.10,38.87,...,38.76,0.62,188.62,...,37.91,0.32,51.35,-0.87,14.44,3.81,52.61,0.08,107.53,-2.06,49.35,13.19,72.24,-2.96,203.01,36.87
1996M03,48.30,...,48.18,-5.70,46.52,...,46.40,-5.31,207.97,...,45.47,-5.92,64.31,-6.17,17.91,-2.77,59.70,-5.76,125.43,-9.48,58.56,11.18,76.01,-5.05,176.73,-14.25
1996M04,48.08,...,47.97,1.27,46.52,...,46.41,1.60,199.73,...,45.55,1.61,65.47,3.51,17.42,5.70,61.01,-1.10,124.79,-2.23,57.66,7.74,73.98,-1.15,156.63,-6.39
1996M05,50.22,...,50.10,-2.49,48.39,...,48.28,-1.07,182.46,...,47.25,-1.19,67.95,-1.34,18.24,1.62,62.79,-1.20,128.98,-4.40,63.17,6.10,74.77,0.05,181.81,-27.28
1996M06,49.10,...,48.98,-0.06,47.06,...,46.94,-0.06,173.02,...,45.36,-0.77,65.03,-0.18,17.59,-0.34,60.71,0.55,122.61,-3.51,71.68,13.80,77.26,9.05,201.39,-0.17
1996M07,50.18,...,50.06,1.67,48.13,...,48.01,2.89,172.30,...,46.19,2.49,64.92,-0.44,17.64,3.10,62.78,6.99,128.21,0.42,77.13,14.91,80.04,-2.09,202.09,-19.40
1996M08,49.98,...,49.86,-0.24,48.35,...,48.22,2.49,161.80,...,46.61,2.39,66.39,3.96,17.36,-1.36,63.30,6.32,131.25,0.78,73.57,10.22,81.82,-0.91,164.15,-41.71
1996M09,49.08,...,48.96,2.30,47.16,...,47.04,2.44,163.37,...,45.49,2.02,62.27,-2.17,18.03,2.33,61.50,6.96,125.23,1.43,71.01,14.72,82.68,3.92,190.06,-1.16
1996M10,50.86,...,50.74,6.44,49.03,...,48.90,7.69,176.35,...,47.68,7.90,64.31,3.44,19.55,12.68,65.02,14.25,126.46,0.48,66.78,12.58,82.82,1.27,183.27,-16.67
1996M11,51.56,...,51.44,5.82,49.73,...,49.62,7.71,179.43,...,48.69,7.60,67.54,7.22,20.03,12.53,65.34,10.33,126.54,-1.04,62.58,17.96,77.03,-1.91,182.76,-25.73
1996M12,53.36,...,53.24,8.88,51.54,...,51.41,10.58,185.11,...,50.65,10.86,73.13,17.70,20.40,15.12,67.17,9.20,130.29,-0.43,61.20,16.42,82.11,5.09,182.43,-22.49
1997M01,51.15,5.16,51.03,5.15,49.21,6.01,49.09,6.00,189.94,-2.35,48.16,5.92,68.83,9.36,18.04,5.07,66.08,6.53,132.48,2.14,61.40,7.42,80.27,6.59,192.14,-11.58
1997M02,40.50,-1.12,40.38,-1.15,39.46,1.52,39.35,1.52,161.07,-14.61,38.45,1.42,52.29,1.83,14.93,3.39,54.89,4.33,102.53,-4.65,51.13,3.61,73.46,1.69,106.13,-47.72
1997M03,52.96,9.65,52.83,9.65,51.54,10.79,51.41,10.80,195.37,-6.06,50.50,11.06,71.45,11.10,20.28,13.23,67.62,13.27,132.54,5.67,63.66,8.71,80.55,5.97,145.98,-17.40
1997M04,51.42,6.95,51.29,6.92,49.82,7.09,49.69,7.07,192.34,-3.70,48.67,6.85,70.81,8.16,19.34,11.02,65.56,7.46,123.93,-0.69,64.13,11.22,77.60,4.89,161.53,3.13
1997M05,53.57,6.67,53.44,6.67,51.84,7.13,51.72,7.13,205.74,12.76,50.41,6.69,74.25,9.27,19.88,8.99,67.23,7.07,128.94,-0.03,71.75,13.58,76.22,1.94,173.20,-4.74
1997M06,50.99,3.85,50.86,3.84,49.45,5.08,49.33,5.09,180.92,4.57,47.95,5.71,70.40,8.26,19.45,10.57,62.93,3.66,120.92,-1.38,70.57,-1.55,77.08,-0.23,155.83,-22.62
1997M07,53.46,6.54,53.33,6.53,51.63,7.27,51.51,7.29,174.83,1.47,49.76,7.73,71.61,10.30,20.22,14.63,66.21,5.46,126.56,-1.29,79.37,2.90,81.85,2.26,183.05,-9.42
1997M08,52.55,5.14,52.42,5.13,51.18,5.85,51.05,5.87,165.20,2.10,49.28,5.73,70.37,5.99,20.24,16.59,64.49,1.88,127.32,-2.99,79.59,8.18,82.53,0.87,140.80,-14.22
