期間,利率有關契約_原始值,利率有關契約_年增率(%),利率有關契約_原始值,利率有關契約_年增率(%),匯率有關契約_原始值,匯率有關契約_年增率(%),匯率有關契約_原始值,匯率有關契約_年增率(%),權益證券有關契約_原始值,權益證券有關契約_年增率(%),權益證券有關契約_原始值,權益證券有關契約_年增率(%),商品有關契約_原始值,商品有關契約_年增率(%),商品有關契約_原始值,商品有關契約_年增率(%),信用有關契約_原始值,信用有關契約_年增率(%),信用有關契約_原始值,信用有關契約_年增率(%),其他有關契約_原始值,其他有關契約_年增率(%),其他有關契約_原始值,其他有關契約_年增率(%),契約合計_原始值,契約合計_年增率(%),契約合計_原始值,契約合計_年增率(%)
2010M04,"1,055,141",-49.27,"1,176,320",43.65,"7,236,856",36.78,0,--,972,381.19,"490,717",116.65,"55,582",-42.64,"6,071",-93.60,"37,329",706.59,0,--,0,--,0,--,"8,385,880",12.23,"1,673,108",46.73
2010M05,"1,084,992",-47.64,"1,398,424",76.56,"7,957,638",56.50,0,--,"1,931",990.96,"579,782",177.41,"45,749",-25.73,"9,661",-74.62,"53,868","1,032.16",0,--,0,--,0,--,"9,144,178",26.59,"1,987,867",91.30
2010M06,"891,335",-65.25,"1,017,311",6.28,"7,307,550",28.05,0,--,777,104.47,"348,739",49.67,"63,006",8.40,"11,949",-69.28,"20,487",435.89,0,--,0,--,0,--,"8,283,155",-0.61,"1,377,999",12.12
2010M07,"635,784",-74.53,"1,001,326",31.92,"7,881,655",37.54,0,--,383,26.82,"375,990",58.48,"59,226",-15.65,"1,863",-95.09,"13,910",1.39,0,--,0,--,0,--,"8,590,958",3.37,"1,379,179",33.35
2010M08,"772,379",-72.14,"1,616,588",137.14,"8,067,007",40.30,0,--,411,-14.02,"356,991",64.36,"62,326",30.99,"42,400",12.13,"20,752",96.35,0,--,0,--,0,--,"8,922,875",3.99,"2,015,979",115.21
2010M09,"585,225",-66.17,"1,894,297",254.05,"8,043,862",24.66,0,--,215,-70.87,"345,730",28.19,"34,054",-27.84,"13,989",-65.62,"23,636",74.90,0,--,0,--,0,--,"8,686,992",5.38,"2,254,016",166.61
2010M10,"546,017",-45.21,"1,670,279",94.54,"7,528,294",12.71,0,--,361,22.79,"403,954",60.08,"37,420",-23.82,"4,750",-89.05,"19,514",-16.17,0,--,0,--,0,--,"8,131,606",4.94,"2,078,983",80.11
2010M11,"472,128",-25.51,"1,395,169",95.06,"7,405,057",4.15,0,--,703,-20.48,"387,552",38.59,"42,073",55.33,"4,541",-89.50,"13,753",13.04,0,--,0,--,0,--,"7,933,714",1.92,"1,787,262",72.16
2010M12,"339,434",-45.05,"1,189,017",155.90,"7,887,411",13.58,0,--,571,-2.89,"374,409",35.98,"48,520",1.30,"5,844",-87.23,"2,989",-70.49,0,--,0,--,0,--,"8,278,925",8.64,"1,569,270",99.71
2011M01,"633,307",-60.48,"1,250,907",61.28,"7,804,101",10.61,0,--,"2,648",137.70,"554,018",88.80,"54,432",-6.05,"30,968","1,319.25","18,170",-55.54,0,--,0,--,0,--,"8,512,658",-2.80,"1,835,893",71.38
2011M02,"938,876",-14.49,"1,190,070",51.87,"5,748,710",-2.03,0,--,"1,024",528.22,"680,483",196.42,"34,022",-41.29,"90,836","6,004.57","5,621",-90.09,0,--,0,--,0,--,"6,728,253",-4.98,"1,961,389",93.30
2011M03,"768,648",-42.94,"1,241,282",27.96,"8,373,552",8.33,0,--,"152,942","80,821.69","776,552",111.61,"39,167",-45.25,"75,221","1,489.62","12,760",-32.60,0,--,0,--,0,--,"9,347,069",1.96,"2,093,055",55.99
2011M04,"400,588",-62.03,"807,582",-31.35,"7,285,667",0.67,0,--,"3,980",309.47,"640,730",30.57,"31,256",-43.77,"62,258",925.50,"4,509",-87.92,0,--,0,--,0,--,"7,726,000",-7.87,"1,510,570",-9.71
