期間,資產合計=負債淨值合計_原始值,資產合計=負債淨值合計_年增率(%),資產--國外資產_原始值,資產--國外資產_年增率(%),資產--放款-計_原始值,資產--放款-計_年增率(%),資產--放款-政府機關_原始值,資產--放款-政府機關_年增率(%),資產--放款-公營事業_原始值,資產--放款-公營事業_年增率(%),資產--放款-民間部門_原始值,資產--放款-民間部門_年增率(%),資產--對非金融機構證券投資-計_原始值,資產--對非金融機構證券投資-計_年增率(%),資產--對非金融機構證券投資-政府機關_原始值,資產--對非金融機構證券投資-政府機關_年增率(%),資產--對非金融機構證券投資-公營事業_原始值,資產--對非金融機構證券投資-公營事業_年增率(%),資產--對非金融機構證券投資-民營企業_原始值,資產--對非金融機構證券投資-民營企業_年增率(%),資產--對金融機構證券投資_原始值,資產--對金融機構證券投資_年增率(%),資產--不動產投資_原始值,資產--不動產投資_年增率(%),資產--對金融機構債權-中央銀行_原始值,資產--對金融機構債權-中央銀行_年增率(%),資產--對金融機構債權-其他貨幣機構_原始值,資產--對金融機構債權-其他貨幣機構_年增率(%),資產--對金融機構債權-人壽保險公司等_原始值,資產--對金融機構債權-人壽保險公司等_年增率(%),資產--庫存現金_原始值,資產--庫存現金_年增率(%),資產--其他資產_原始值,資產--其他資產_年增率(%),負債與淨值--國外負債_原始值,負債與淨值--國外負債_年增率(%),負債與淨值--企業及個人存款-計_原始值,負債與淨值--企業及個人存款-計_年增率(%),負債與淨值--企業及個人存款-支票存款_原始值,負債與淨值--企業及個人存款-支票存款_年增率(%),負債與淨值--企業及個人存款-活期存款_原始值,負債與淨值--企業及個人存款-活期存款_年增率(%),負債與淨值--企業及個人存款-活期儲蓄存款_原始值,負債與淨值--企業及個人存款-活期儲蓄存款_年增率(%),負債與淨值--企業及個人存款-定期存款_原始值,負債與淨值--企業及個人存款-定期存款_年增率(%),負債與淨值--企業及個人存款-可轉讓定期存單_原始值,負債與淨值--企業及個人存款-可轉讓定期存單_年增率(%),負債與淨值--企業及個人存款-定期儲蓄存款_原始值,負債與淨值--企業及個人存款-定期儲蓄存款_年增率(%),負債與淨值--企業及個人存款-外匯存款_原始值,負債與淨值--企業及個人存款-外匯存款_年增率(%),負債與淨值--政府存款_原始值,負債與淨值--政府存款_年增率(%),負債與淨值--對金融機構負債-中央銀行_原始值,負債與淨值--對金融機構負債-中央銀行_年增率(%),負債與淨值--對金融機構負債-其他貨幣機構_原始值,負債與淨值--對金融機構負債-其他貨幣機構_年增率(%),負債與淨值--對金融機構負債-其他金融機構-中華郵政公司_原始值,負債與淨值--對金融機構負債-其他金融機構-中華郵政公司_年增率(%),負債與淨值--對金融機構負債-人壽保險公司等_原始值,負債與淨值--對金融機構負債-人壽保險公司等_年增率(%),負債與淨值--金融債券_原始值,負債與淨值--金融債券_年增率(%),負債與淨值--其他負債_原始值,負債與淨值--其他負債_年增率(%),負債與淨值--淨值_原始值,負債與淨值--淨值_年增率(%)
2005,"29,228,583",8.04,"1,514,901",42.07,"15,776,663",8.07,"1,782,204",-7.05,"557,810",22.33,"13,436,649",9.91,"1,544,902",4.29,"725,118",-3.74,"92,900",25.48,"726,884",11.14,"143,132",41.36,281,0.00,"3,960,612",-6.34,"220,075",19.22,"3,185",-84.30,"154,185",3.69,"5,910,647",13.17,"585,674",62.41,"16,847,070",7.11,"354,999",20.27,"1,536,713",4.60,"4,375,701",6.76,"2,443,404",11.03,"162,544",-30.29,"6,773,567",5.64,"1,200,142",17.65,"662,940",-2.85,"119,310",-42.62,"2,525,083",-4.93,"1,189,974",-9.79,"183,832",28.09,"811,192",14.41,"5,825,027",15.83,"1,668,455",8.65
2006,"25,743,118",-11.92,"1,563,947",3.24,"16,055,994",1.77,"1,592,716",-10.63,"525,383",-5.81,"13,937,895",3.73,"1,801,934",16.64,"787,867",8.65,"108,471",16.76,"905,596",24.59,"149,907",4.73,1,-99.64,"3,878,135",-2.08,"282,372",28.31,39,-98.78,"159,567",3.49,"1,851,222",-68.68,"523,295",-10.65,"17,611,115",4.54,"341,659",-3.76,"1,580,033",2.82,"4,632,418",5.87,"2,554,368",4.54,"229,179",41.00,"6,826,204",0.78,"1,447,254",20.59,"646,800",-2.43,"74,507",-37.55,"2,302,519",-8.81,"1,008,264",-15.27,"186,730",1.58,"925,915",14.14,"1,792,542",-69.23,"1,679,695",0.67
2007,"25,969,195",0.88,"1,941,673",24.15,"16,390,786",2.09,"1,361,186",-14.54,"591,246",12.54,"14,438,354",3.59,"1,712,079",-4.99,"773,611",-1.81,"97,381",-10.22,"841,087",-7.12,"135,252",-9.78,1,0.00,"3,657,145",-5.70,"380,762",34.84,"8,005","20,425.64","159,075",-0.31,"1,584,417",-14.41,"626,480",19.72,"17,850,408",1.36,"295,833",-13.41,"1,692,089",7.09,"4,562,267",-1.51,"2,870,500",12.38,"169,920",-25.86,"6,584,587",-3.54,"1,675,212",15.75,"641,253",-0.86,"68,226",-8.43,"2,277,362",-1.09,"983,287",-2.48,"300,721",61.05,"900,327",-2.76,"1,533,272",-14.46,"1,771,146",5.44
2008,"27,116,649",4.42,"2,376,590",22.40,"16,739,070",2.12,"1,252,319",-8.00,"759,552",28.47,"14,727,199",2.00,"1,675,888",-2.11,"792,793",2.48,"167,862",72.38,"715,233",-14.96,"95,520",-29.38,1,0.00,"4,444,384",21.53,"270,773",-28.89,4,-99.95,"171,257",7.66,"1,343,162",-15.23,"737,623",17.74,"19,355,216",8.43,"290,071",-1.95,"1,681,466",-0.63,"4,427,322",-2.96,"3,836,180",33.64,"149,429",-12.06,"6,977,212",5.96,"1,993,536",19.00,"652,349",1.73,"57,821",-15.25,"1,934,850",-15.04,"831,259",-15.46,"386,401",28.49,"873,724",-2.95,"1,310,774",-14.51,"1,807,891",2.07
