期間,金融機構準備金-應提準備之存款合計(新台幣百萬元)_原始值,金融機構準備金-應提準備之存款合計(新台幣百萬元)_年增率(%),金融機構準備金-應提準備(新台幣百萬元)_原始值,金融機構準備金-應提準備(新台幣百萬元)_年增率(%),金融機構準備金-實際準備-合計(新台幣百萬元)_原始值,金融機構準備金-實際準備-合計(新台幣百萬元)_年增率(%),金融機構準備金-實際準備-存放央行(新台幣百萬元)_原始值,金融機構準備金-實際準備-存放央行(新台幣百萬元)_年增率(%),金融機構準備金-實際準備-存放其他行庫及跨行專戶(新台幣百萬元)_原始值,金融機構準備金-實際準備-存放其他行庫及跨行專戶(新台幣百萬元)_年增率(%),金融機構準備金-實際準備-庫存現金(新台幣百萬元)_原始值,金融機構準備金-實際準備-庫存現金(新台幣百萬元)_年增率(%),金融機構準備金-超額準備(新台幣百萬元)_原始值,金融機構準備金-超額準備(新台幣百萬元)_年增率(%),金融機構準備金-由央行融通(新台幣百萬元)_原始值,金融機構準備金-由央行融通(新台幣百萬元)_年增率(%),其他貨幣機構流動比率與流動準備-應提流動準備基礎(新台幣百萬元)_原始值,其他貨幣機構流動比率與流動準備-應提流動準備基礎(新台幣百萬元)_年增率(%),其他貨幣機構流動比率與流動準備-法定比率(%)_原始值,其他貨幣機構流動比率與流動準備-法定比率(%)_年增率(%),其他貨幣機構流動比率與流動準備-法定流動準備(新台幣百萬元)_原始值,其他貨幣機構流動比率與流動準備-法定流動準備(新台幣百萬元)_年增率(%),其他貨幣機構流動比率與流動準備-實際流動準備-合計(新台幣百萬元)_原始值,其他貨幣機構流動比率與流動準備-實際流動準備-合計(新台幣百萬元)_年增率(%),其他貨幣機構流動比率與流動準備-實際流動準備-超額準備(新台幣百萬元)_原始值,其他貨幣機構流動比率與流動準備-實際流動準備-超額準備(新台幣百萬元)_年增率(%),其他貨幣機構流動比率與流動準備-實際流動準備-銀行互拆借差(新台幣百萬元)_原始值,其他貨幣機構流動比率與流動準備-實際流動準備-銀行互拆借差(新台幣百萬元)_年增率(%),其他貨幣機構流動比率與流動準備-實際流動準備-國庫券(新台幣百萬元)_原始值,其他貨幣機構流動比率與流動準備-實際流動準備-國庫券(新台幣百萬元)_年增率(%),其他貨幣機構流動比率與流動準備-實際流動準備-央行定期存單(新台幣百萬元)_原始值,其他貨幣機構流動比率與流動準備-實際流動準備-央行定期存單(新台幣百萬元)_年增率(%),其他貨幣機構流動比率與流動準備-實際流動準備-可轉讓定期存單淨額(新台幣百萬元)_原始值,其他貨幣機構流動比率與流動準備-實際流動準備-可轉讓定期存單淨額(新台幣百萬元)_年增率(%),其他貨幣機構流動比率與流動準備-實際流動準備-銀行承兌匯票(新台幣百萬元)_原始值,其他貨幣機構流動比率與流動準備-實際流動準備-銀行承兌匯票(新台幣百萬元)_年增率(%),其他貨幣機構流動比率與流動準備-實際流動準備-商業本票(新台幣百萬元)_原始值,其他貨幣機構流動比率與流動準備-實際流動準備-商業本票(新台幣百萬元)_年增率(%),其他貨幣機構流動比率與流動準備-實際流動準備-公債(新台幣百萬元)_原始值,其他貨幣機構流動比率與流動準備-實際流動準備-公債(新台幣百萬元)_年增率(%),其他貨幣機構流動比率與流動準備-實際流動準備-公司債(新台幣百萬元)_原始值,其他貨幣機構流動比率與流動準備-實際流動準備-公司債(新台幣百萬元)_年增率(%),其他貨幣機構流動比率與流動準備-實際流動準備-金融債券及其他(新台幣百萬元)_原始值,其他貨幣機構流動比率與流動準備-實際流動準備-金融債券及其他(新台幣百萬元)_年增率(%),其他貨幣機構流動比率與流動準備-實際流動準備-轉存指定行庫一年期以下存款(新台幣百萬元)_原始值,其他貨幣機構流動比率與流動準備-實際流動準備-轉存指定行庫一年期以下存款(新台幣百萬元)_年增率(%)
2005M09,"19,959,755",6.92,"1,050,828",6.78,"1,055,632",6.17,"850,378",6.28,"36,234",4.32,"169,020",6.02,"4,804",-52.77,-,-,"19,739,987",5.62,7,0.00,"1,381,801",5.62,"5,899,590",0.16,"7,704",-33.12,"221,903",28.87,"12,622",-41.02,"3,154,545",2.76,"11,004",-71.33,57,-46.73,"202,579",-33.87,"546,510",-7.56,"202,239",97.77,"73,174",43.65,"1,467,253",-3.83
2005M10,"19,952,911",6.87,"1,047,141",6.55,"1,049,573",6.69,"847,883",7.18,"34,261",1.29,"167,428",5.38,"2,431",136.02,-,-,"19,696,876",5.46,7,0.00,"1,378,787",5.47,"5,832,577",1.00,"5,412",-7.36,"212,900",39.89,"12,390",-33.14,"3,023,753",-1.74,"10,081",-64.92,44,-63.93,"217,662",-21.57,"583,451",-3.30,"219,180",81.43,"85,572",59.98,"1,462,132",1.75
2005M11,"20,011,185",6.68,"1,048,740",6.30,"1,052,920",6.22,"851,819",6.49,"34,615",-1.23,"166,486",6.48,"4,179",-10.34,-,-,"19,774,043",4.93,7,0.00,"1,384,183",4.93,"5,847,684",3.37,"5,850",-10.69,"247,919",70.71,"14,312",-35.63,"3,099,107",0.45,"11,344",-53.94,45,-60.53,"214,599",-14.08,"475,816",-15.26,"231,047",77.81,"93,265",76.71,"1,454,380",5.45
2005M12,"20,203,981",6.74,"1,064,140",6.60,"1,067,028",6.11,"864,520",6.27,"36,335",2.53,"166,173",6.07,"2,888",-60.77,-,-,"19,979,956",5.14,7,0.00,"1,398,601",5.14,"5,831,391",1.25,"5,352",-41.70,"230,181",36.69,"6,428",-85.31,"3,134,737",-2.12,"10,753",-58.70,26,-89.30,"208,803",-8.35,"454,550",-11.65,"246,248",79.68,"93,354",80.40,"1,440,959",4.57
2006M01,"20,468,796",6.88,"1,079,907",6.93,"1,094,815",7.55,"804,109",5.01,"37,675",11.82,"253,031",15.78,"14,908",85.05,-,-,"20,165,609",5.54,7,0.00,"1,411,595",5.54,"5,643,669",-3.15,"16,368",50.72,"171,544",1.61,"4,975",-91.50,"2,999,785",-7.95,"10,955",-60.17,26,-88.44,"200,750",-11.51,"464,608",-8.19,"255,085",85.42,"100,501",84.06,"1,419,072",3.05
2006M02,"20,565,726",6.56,"1,080,922",6.77,"1,082,212",6.08,"837,047",9.68,"32,843",-10.96,"212,321",-3.56,"1,291",-83.37,-,-,"20,241,966",5.80,7,0.00,"1,416,935",5.80,"5,717,959",-0.61,"6,266",-33.65,"213,489",40.52,"5,647",-90.89,"3,011,084",-5.27,"11,400",-55.05,15,-80.52,"205,079",-16.13,"481,619",-5.25,"253,636",84.76,"101,439",80.66,"1,428,285",3.55
2006M03,"20,545,224",5.40,"1,078,138",5.26,"1,084,491",5.13,"875,732",6.44,"33,906",-2.48,"174,852",0.47,"6,353",-13.03,-,-,"20,228,940",4.83,7,0.00,"1,416,023",4.83,"5,672,946",-5.42,"8,022",-24.01,"216,263",21.67,"5,593",-89.80,"3,053,478",-10.01,"7,632",-60.06,12,-85.37,"160,638",-30.61,"475,014",-6.63,"252,450",79.24,"101,088",78.30,"1,392,756",-0.84
2006M04,"20,566,067",5.36,"1,079,520",5.32,"1,083,377",5.11,"877,180",5.99,"34,685",1.76,"171,513",1.49,"3,858",-32.80,-,-,"20,241,560",4.58,7,0.00,"1,416,908",4.58,"5,697,096",-4.41,"6,905",-14.73,"202,511",8.63,"4,239",-92.43,"3,119,541",-6.54,"8,061",-42.45,25,-44.44,"154,852",-29.85,"509,192",0.77,"253,248",75.48,"99,656",70.97,"1,338,866",-6.29
2006M05,"20,683,010",5.75,"1,088,500",5.96,"1,093,570",6.11,"890,298",7.24,"33,178",-2.46,"170,094",2.23,"5,070",56.10,-,-,"20,351,649",4.96,7,0.00,"1,424,616",4.96,"5,764,392",-3.29,"6,821",9.73,"201,255",27.16,"2,858",-94.70,"3,190,666",-5.33,"8,103",-43.83,45,-19.64,"159,536",-23.13,"516,323",-0.18,"256,001",77.07,"113,674",92.32,"1,309,110",-8.39
2006M06,"20,597,573",4.98,"1,082,788",5.31,"1,090,662",5.26,"887,542",6.01,"34,318",-1.42,"168,802",2.86,"7,875",-0.40,-,-,"20,347,049",4.73,7,0.00,"1,424,295",4.73,"5,672,232",-2.19,"11,170",31.38,"252,988",53.91,"3,228",-91.10,"3,058,186",-3.99,"8,167",-27.70,25,-76.42,"145,561",-24.71,"525,904",-4.81,"261,932",69.07,"112,968",84.46,"1,292,103",-9.73
