期間,收受部門-其他貨幣機構_原始值,收受部門-其他貨幣機構_年增率(%),存款部門-其他貨幣機構_原始值,存款部門-其他貨幣機構_年增率(%),存款部門-保險公司及退休基金_原始值,存款部門-保險公司及退休基金_年增率(%),存款部門-其他金融機構_原始值,存款部門-其他金融機構_年增率(%),存款部門-公營事業_原始值,存款部門-公營事業_年增率(%),存款部門-民營企業_原始值,存款部門-民營企業_年增率(%),存款部門-家庭及非營利團體_原始值,存款部門-家庭及非營利團體_年增率(%),存款部門-國外_原始值,存款部門-國外_年增率(%)
2006,"18,026,707",5.49,"903,563",0.17,"1,040,759",11.26,"504,528",-0.04,"127,428",1.38,"1,428,917",3.54,"12,549,266",5.64,"1,472,246",8.18
2007,"18,759,884",4.07,"886,415",-1.90,"1,064,541",2.29,"500,396",-0.82,"138,810",8.93,"1,560,938",9.24,"12,704,877",1.24,"1,903,907",29.32
2008,"21,072,319",12.33,"840,148",-5.22,"1,140,575",7.14,"707,741",41.44,"159,243",14.72,"1,827,185",17.06,"14,329,356",12.79,"2,068,071",8.62
