期間,收受部門-其他貨幣機構_原始值,收受部門-其他貨幣機構_年增率(%),存款部門-其他貨幣機構_原始值,存款部門-其他貨幣機構_年增率(%),存款部門-保險公司及退休基金_原始值,存款部門-保險公司及退休基金_年增率(%),存款部門-其他金融機構_原始值,存款部門-其他金融機構_年增率(%),存款部門-公營事業_原始值,存款部門-公營事業_年增率(%),存款部門-民營企業_原始值,存款部門-民營企業_年增率(%),存款部門-家庭及非營利團體_原始值,存款部門-家庭及非營利團體_年增率(%),存款部門-國外_原始值,存款部門-國外_年增率(%)
2009,"20,152,387",-4.37,"877,232",4.41,"1,349,586",18.33,"725,413",2.50,"136,517",-14.27,"1,896,762",3.81,"13,485,910",-5.89,"1,680,966",-18.72
2010,"20,833,017",3.38,"908,065",3.51,"1,307,660",-3.11,"693,555",-4.39,"133,543",-2.18,"2,062,658",8.75,"13,855,633",2.74,"1,871,903",11.36
2011,"22,360,037",7.33,"934,811",2.95,"1,447,980",10.73,"775,315",11.79,"124,389",-6.85,"2,135,043",3.51,"14,612,184",5.46,"2,330,315",24.49
2012,"23,053,089",3.10,"936,546",0.19,"1,592,209",9.96,"792,555",2.22,"129,258",3.91,"2,149,648",0.68,"15,072,142",3.15,"2,380,731",2.16
