期間,合計_原始值,合計_年增率(%),一年以下_原始值,一年以下_年增率(%),超過一年至三年_原始值,超過一年至三年_年增率(%),超過三年至五年_原始值,超過三年至五年_年增率(%),超過五年至七年_原始值,超過五年至七年_年增率(%),超過七年_原始值,超過七年_年增率(%)
2010M01,"17,603,328",1.97,"4,003,013",-3.20,"2,202,864",3.27,"1,685,931",0.74,"1,572,669",1.21,"8,138,851",4.79
2010M02,"17,600,986",3.16,"4,011,251",1.92,"2,169,534",-0.75,"1,692,028",3.38,"1,566,922",0.87,"8,161,251",5.31
2010M03,"17,558,910",3.22,"3,944,614",1.13,"2,204,627",3.05,"1,703,639",3.46,"1,505,380",-3.81,"8,200,650",5.70
2010M04,"17,656,681",3.92,"4,039,608",4.24,"2,167,878",3.47,"1,719,720",3.63,"1,492,959",-5.19,"8,236,516",5.77
2010M05,"17,876,975",5.36,"4,187,837",8.67,"2,164,736",4.46,"1,744,580",5.74,"1,470,247",-6.26,"8,309,575",6.21
2010M06,"17,946,273",5.49,"4,202,616",9.20,"2,161,112",4.44,"1,753,250",6.67,"1,489,738",-6.06,"8,339,557",6.04
2010M07,"18,075,185",6.06,"4,313,622",10.74,"2,152,572",6.83,"1,774,503",9.53,"1,465,899",-8.41,"8,368,589",5.76
2010M08,"18,244,615",6.35,"4,370,121",9.80,"2,217,836",10.78,"1,819,461",13.67,"1,460,921",-9.14,"8,376,276",5.18
2010M09,"18,269,525",6.25,"4,331,739",9.41,"2,242,810",11.02,"1,836,594",13.99,"1,460,487",-9.36,"8,397,895",5.06
2010M10,"18,352,039",7.18,"4,447,081",14.37,"2,190,978",11.39,"1,813,529",11.89,"1,483,830",-8.06,"8,416,621",4.79
2010M11,"18,430,201",6.80,"4,463,271",13.53,"2,173,493",6.76,"1,862,680",15.61,"1,478,330",-8.35,"8,452,427",4.80
2010M12,"18,735,529",6.73,"4,419,736",10.18,"2,421,110",9.99,"1,869,810",13.81,"1,483,558",-6.28,"8,541,315",5.24
2011M01,"19,067,816",8.32,"4,623,754",15.51,"2,498,256",13.41,"1,884,566",11.78,"1,469,881",-6.54,"8,591,359",5.56
