期間,合計_原始值,合計_年增率(%),一年以下_原始值,一年以下_年增率(%),超過一年至三年_原始值,超過一年至三年_年增率(%),超過三年至五年_原始值,超過三年至五年_年增率(%),超過五年至七年_原始值,超過五年至七年_年增率(%),超過七年_原始值,超過七年_年增率(%)
2005M09,"15,693,025",9.48,"3,998,848",0.52,"2,331,330",28.69,"1,669,273",12.48,"1,447,407",12.33,"6,246,168",8.21
2005M10,"15,631,581",8.72,"3,896,702",-2.08,"2,331,373",27.19,"1,677,943",12.72,"1,450,131",10.22,"6,275,432",8.93
2005M11,"15,778,699",8.02,"3,948,575",-1.74,"2,357,785",23.01,"1,690,573",9.84,"1,455,809",9.57,"6,325,957",8.99
2005M12,"16,098,378",8.32,"4,136,839",3.91,"2,421,215",16.85,"1,695,204",8.60,"1,483,174",9.31,"6,361,946",7.98
2006M01,"16,173,181",8.79,"4,131,643",5.90,"2,425,707",14.70,"1,703,632",8.56,"1,474,624",8.50,"6,437,575",8.72
2006M02,"16,174,133",8.45,"4,160,049",7.44,"2,423,616",13.70,"1,683,838",4.92,"1,465,174",7.82,"6,441,456",8.34
2006M03,"16,146,052",6.71,"4,116,082",5.09,"2,380,276",8.44,"1,691,825",4.40,"1,476,231",6.34,"6,481,639",7.85
2006M04,"16,157,925",6.94,"4,112,915",6.97,"2,370,977",7.92,"1,684,466",3.11,"1,457,800",4.36,"6,531,766",8.21
2006M05,"16,258,311",6.38,"4,167,254",7.13,"2,339,312",4.07,"1,696,232",2.97,"1,472,968",4.48,"6,582,545",8.11
2006M06,"16,280,713",5.45,"4,130,895",5.01,"2,339,953",2.56,"1,704,025",2.55,"1,479,071",3.32,"6,626,769",8.11
2006M07,"16,169,536",4.74,"4,019,905",2.88,"2,269,050",0.21,"1,689,708",2.50,"1,485,790",2.83,"6,705,083",8.62
2006M08,"16,169,445",4.33,"3,987,863",2.15,"2,131,846",-5.99,"1,705,097",2.89,"1,565,703",7.73,"6,778,936",9.06
2006M09,"16,257,758",3.60,"4,053,624",1.37,"2,158,160",-7.43,"1,676,412",0.43,"1,558,995",7.71,"6,810,567",9.04
2006M10,"16,258,424",4.01,"4,042,761",3.75,"2,149,798",-7.79,"1,666,051",-0.71,"1,561,930",7.71,"6,837,884",8.96
2006M11,"16,314,402",3.40,"4,060,836",2.84,"2,147,908",-8.90,"1,672,943",-1.04,"1,525,436",4.78,"6,907,279",9.19
2006M12,"16,501,113",2.50,"4,107,899",-0.70,"2,172,206",-10.28,"1,673,681",-1.27,"1,578,970",6.46,"6,968,358",9.53
2007M01,"16,565,127",2.42,"4,122,046",-0.23,"2,191,693",-9.65,"1,676,761",-1.58,"1,553,939",5.38,"7,020,687",9.06
