期間,總計_原始值,總計_年增率(%),初次尋職_原始值,初次尋職_年增率(%),非初次尋職_原始值,非初次尋職_年增率(%),非初次尋職-工作場所歇業或業務緊縮_原始值,非初次尋職-工作場所歇業或業務緊縮_年增率(%),非初次尋職-對原有工作不滿意_原始值,非初次尋職-對原有工作不滿意_年增率(%),非初次尋職-健康不良_原始值,非初次尋職-健康不良_年增率(%),非初次尋職-季節性或臨時性工作結束_原始值,非初次尋職-季節性或臨時性工作結束_年增率(%),非初次尋職-女性結婚或生育_原始值,非初次尋職-女性結婚或生育_年增率(%),非初次尋職-退休_原始值,非初次尋職-退休_年增率(%),非初次尋職-家務太忙_原始值,非初次尋職-家務太忙_年增率(%),非初次尋職-其他_原始值,非初次尋職-其他_年增率(%)
1987M02,193,-26.11,59,-9.88,134,-31.56,30,-56.19,69,-0.65,4,-42.52,17,-49.95,1,146.88,2,-19.17,1,591.25,10,-30.13
1987M03,163,-24.52,48,-23.05,115,-25.12,24,-52.12,66,3.94,5,3.60,11,-47.24,1,5.60,1,-47.47,1,91.16,8,-40.09
1987M04,137,-24.40,40,-22.35,97,-25.22,23,-32.13,51,-9.41,4,18.80,11,-43.53,0,-72.87,1,-28.93,0,--,6,-55.98
1987M05,156,-14.13,48,-2.54,109,-18.38,24,-40.19,50,-4.20,7,20.72,11,-23.28,0,-32.06,2,11.43,0,-28.05,15,-20.87
1987M06,143,-33.36,56,-24.92,87,-37.91,15,-62.98,45,-24.22,4,-36.42,11,-37.69,0,30.59,0,-84.99,1,12.99,10,-25.41
1987M07,167,-29.66,74,-25.56,93,-32.61,13,-64.88,57,-8.11,3,-60.95,10,-35.11,0,-100.00,0,68.40,0,-31.34,9,-31.92
1987M08,172,-30.91,68,-36.86,105,-26.42,22,-38.72,63,-6.12,3,-56.37,8,-58.75,0,-100.00,1,30.98,1,-11.52,9,-34.73
1987M09,170,-27.73,69,-25.41,101,-29.25,24,-23.54,55,-18.45,2,-75.82,8,-61.59,0,-100.00,0,-47.13,1,61.94,11,-22.32
1987M10,166,-21.05,68,-16.41,98,-23.98,21,-28.79,51,-18.56,2,-64.95,10,-39.67,0,--,0,-67.87,0,-100.00,13,6.69
1987M11,153,-18.33,53,-21.92,100,-16.30,23,-6.70,56,-6.24,3,-39.68,8,-52.03,1,31.03,1,745.66,0,-37.66,8,-39.72
1987M12,151,-6.78,51,-19.93,99,1.84,23,-1.73,49,1.62,4,-17.80,7,-36.21,1,-25.76,1,96.49,1,99.12,14,70.92
1988M01,146,-7.16,50,-16.57,96,-1.36,24,-1.87,47,-3.01,4,15.44,9,8.82,1,-25.46,1,-46.56,1,27.52,9,3.76
1988M02,139,-28.22,46,-21.49,92,-31.19,19,-39.04,48,-30.85,4,24.02,9,-47.66,1,-19.73,1,-26.60,1,-39.78,10,-2.80
1988M03,145,-11.25,40,-15.95,105,-9.30,19,-20.03,60,-9.29,5,16.08,9,-14.23,0,-79.19,1,-52.20,1,24.72,10,28.21
1988M04,129,-6.41,36,-11.54,93,-4.27,14,-38.22,55,7.54,6,41.82,7,-36.17,0,-100.00,1,-33.11,1,399.17,9,40.61
1988M05,141,-10.02,41,-14.82,100,-7.92,17,-30.88,56,13.48,6,-4.84,7,-34.90,1,178.88,1,-73.13,1,121.55,12,-22.49
1988M06,149,3.95,67,17.94,82,-5.15,15,5.14,50,9.72,3,-16.81,4,-65.57,0,-5.86,0,52.48,1,121.65,8,-22.08
1988M07,160,-4.06,72,-3.24,89,-4.72,17,26.61,48,-14.93,4,17.05,10,-3.12,0,--,0,4.64,0,-26.56,9,-0.91
1988M08,156,-9.47,67,-0.57,89,-15.21,18,-17.01,47,-24.62,4,57.32,10,23.45,1,--,1,8.99,0,-100.00,8,-3.09
1988M09,134,-21.17,58,-16.02,76,-24.70,13,-47.94,46,-16.46,2,14.42,6,-30.17,0,--,1,123.43,1,30.26,8,-26.62
1988M10,130,-22.18,49,-28.77,81,-17.59,17,-20.60,48,-6.78,4,80.42,6,-38.67,0,-100.00,1,251.64,0,--,5,-59.59
1988M11,125,-18.19,44,-16.04,81,-19.32,15,-33.69,47,-16.74,2,-13.59,7,-14.07,0,-59.38,1,-35.34,0,-100.00,8,7.47
1988M12,118,-21.45,42,-19.06,77,-22.69,12,-46.51,44,-9.04,2,-56.60,7,4.03,0,-100.00,1,62.76,0,-44.59,10,-32.93
1989M01,113,-22.65,34,-33.32,80,-17.09,17,-26.53,43,-8.55,2,-50.58,6,-37.27,0,-61.27,1,-49.53,0,-55.19,10,16.08
1989M02,157,13.35,38,-18.12,119,29.23,24,29.13,70,47.35,4,-4.28,12,34.71,1,-26.07,0,-67.04,0,-100.00,7,-22.69
1989M03,122,-15.41,36,-11.37,87,-16.96,18,-3.42,51,-14.08,4,-25.68,4,-52.27,1,411.00,1,-8.33,0,-100.00,7,-25.62
1989M04,109,-15.19,31,-13.60,78,-15.81,15,4.07,46,-16.33,2,-71.35,6,-8.87,0,--,0,-64.75,0,-81.63,8,-5.40
1989M05,126,-10.84,26,-35.82,99,-0.71,16,-4.73,62,9.19,4,-29.73,6,-17.70,1,-23.43,1,58.00,0,-72.46,10,-12.73
1989M06,140,-6.13,55,-16.85,84,2.54,13,-15.89,54,8.18,3,-16.88,6,64.17,1,50.00,1,377.92,0,-73.38,6,-24.57
1989M07,148,-7.87,76,5.60,72,-18.76,12,-30.51,41,-15.00,3,-26.18,7,-25.29,1,31.59,0,4.43,1,363.28,8,-17.80
1989M08,159,2.09,69,1.90,91,2.23,15,-17.12,57,19.92,3,-29.66,7,-22.47,0,-41.32,1,-26.52,0,--,7,-9.50
1989M09,145,7.69,58,-0.01,86,13.59,20,57.37,49,7.62,2,-1.70,5,-18.38,0,-39.08,1,82.86,0,-100.00,9,13.14
1989M10,124,-4.08,43,-10.85,81,-0.01,20,19.02,45,-6.35,3,-14.42,5,-11.36,0,--,0,-66.09,0,-68.92,7,27.08
1989M11,122,-2.62,47,5.00,76,-6.78,22,43.25,37,-21.26,2,-11.86,6,-14.20,0,1.69,0,-59.73,0,--,8,-6.69
1989M12,114,-3.60,40,-3.38,74,-3.72,20,60.19,38,-14.77,2,30.66,5,-25.94,1,--,1,-22.81,1,87.97,7,-31.88
1990M01,109,-4.11,34,2.84,74,-7.03,22,27.76,35,-19.03,3,32.93,5,-18.82,0,-100.00,0,-75.79,1,90.16,9,-15.22
1990M02,133,-15.52,34,-9.60,98,-17.41,20,-17.99,60,-15.26,4,-0.57,5,-55.66,0,-100.00,0,-23.79,0,--,9,24.70
1990M03,126,2.74,36,1.01,90,3.44,17,-8.49,54,6.14,3,-35.72,5,18.18,1,-47.55,1,71.40,0,--,9,25.25
1990M04,109,0.43,30,-1.79,79,1.30,16,8.20,46,-0.76,2,39.06,5,-24.25,0,-0.90,0,25.96,1,238.46,9,5.58
1990M05,123,-2.17,27,2.07,96,-3.28,21,34.92,52,-15.46,5,7.09,5,-16.41,1,71.10,0,-81.70,0,62.70,12,14.78
1990M06,140,-0.14,56,1.57,83,-1.25,21,63.54,44,-18.29,1,-45.10,5,-17.19,1,-6.61,1,-57.07,0,-10.39,10,61.41
1990M07,166,12.71,73,-3.43,93,29.66,22,92.70,54,32.75,2,-37.57,6,-23.03,0,-36.29,0,-50.91,0,-49.63,8,11.24
1990M08,181,13.34,75,9.49,106,16.25,25,68.54,56,-1.05,3,4.61,9,18.04,1,189.46,0,-24.35,0,-9.28,11,42.33
1990M09,169,16.93,68,17.09,101,16.82,31,54.99,50,1.31,3,80.59,9,78.76,1,500.00,0,-68.32,0,--,7,-21.46
1990M10,147,18.28,50,14.95,97,20.06,31,52.39,50,12.02,3,-20.98,6,1.73,0,-23.12,1,197.24,0,-100.00,7,9.35
1990M11,154,25.77,45,-2.26,108,43.04,37,68.81,52,40.36,3,22.88,8,31.01,0,-44.88,0,-14.96,0,-100.00,8,7.60
1990M12,129,13.28,39,-3.98,91,22.62,27,38.06,48,26.48,2,-8.92,4,-29.35,0,-28.15,1,-29.14,1,23.19,8,19.70
1991M01,116,6.38,35,1.22,81,8.77,23,1.25,43,24.10,1,-56.60,6,31.63,0,--,1,546.56,0,-85.24,6,-24.84
1991M02,114,-14.19,32,-6.99,82,-16.71,26,33.59,39,-34.75,2,-61.19,9,72.28,0,--,1,80.25,0,--,5,-44.47
1991M03,117,-6.94,29,-18.03,88,-2.51,25,47.25,43,-21.31,2,-30.96,8,62.45,1,49.07,0,-57.57,1,96.48,8,-11.46
1991M04,119,8.76,33,7.65,86,9.18,26,60.43,42,-6.76,3,27.67,7,49.47,0,-14.03,0,-100.00,0,-73.13,7,-17.20
1991M05,122,-0.29,24,-9.86,98,2.36,23,9.30,50,-3.95,5,4.57,8,62.24,0,-67.57,0,207.55,0,-100.00,12,-0.53
1991M06,117,-16.05,34,-38.95,83,-0.61,19,-11.58,45,2.02,5,231.06,5,-2.54,0,-67.76,0,-25.79,0,6.52,8,-16.90
1991M07,158,-5.09,64,-12.02,94,0.33,22,-3.18,50,-7.67,4,141.46,7,18.24,0,16.32,0,32.92,1,50.61,10,14.56
1991M08,155,-14.36,64,-14.22,90,-14.46,18,-28.03,50,-10.95,2,-44.67,12,39.38,0,-84.84,0,-100.00,0,4.62,8,-27.10
