期間,總入境人數(人次)_原始值,總入境人數(人次)_年增率(%),男性_原始值,男性_年增率(%),女性_原始值,女性_年增率(%),0 - 14 歲_原始值,0 - 14 歲_年增率(%),15 - 64歲_原始值,15 - 64歲_年增率(%),65歲以上_原始值,65歲以上_年增率(%),本國人民 (含金馬地區)_原始值,本國人民 (含金馬地區)_年增率(%),大陸地區人民_原始值,大陸地區人民_年增率(%),香港澳門居民_原始值,香港澳門居民_年增率(%),本國無戶籍國民_原始值,本國無戶籍國民_年增率(%),外國人_原始值,外國人_年增率(%)
2010M10,"1,258,117",20.78,"692,110",17.33,"566,007",25.28,"30,146",0.04,"1,110,941",20.25,"117,030",33.45,"772,158",14.66,"148,209",94.60,"52,698",14.01,"1,712",-37.06,"283,340",16.55
2010M11,"1,259,641",12.97,"703,259",11.67,"556,382",14.67,"35,551",16.09,"1,104,025",12.02,"120,065",21.46,"730,643",3.71,"163,275",45.34,"52,324",24.73,"1,483",-59.96,"311,916",23.53
2010M12,"1,243,760",9.27,"695,151",8.84,"548,609",9.82,"60,457",11.94,"1,104,980",9.18,"78,323",8.54,"713,166",3.59,"118,994",32.43,"72,334",15.62,"2,095",-44.40,"337,171",14.83
2011M01,"1,176,022",14.96,"668,916",19.44,"507,106",9.53,"75,186",25.40,"1,033,452",15.41,"67,384",-0.39,"775,405",14.53,"99,568",16.44,"36,280",16.29,"1,936",5.45,"262,833",15.56
2011M02,"1,110,063",-13.87,"581,645",-15.17,"528,418",-12.39,"84,742",-34.75,"955,754",-12.48,"69,567",4.01,"656,595",-27.18,"114,057",7.45,"59,035",5.04,"1,942",0.36,"278,434",24.94
2011M03,"1,205,734",0.54,"670,247",2.28,"535,487",-1.57,"33,861",-10.80,"1,060,824",1.51,"111,049",-4.53,"687,519",0.69,"151,764",2.44,"51,357",-4.82,"2,045",-4.88,"313,049",0.26
2011M04,"1,302,696",4.98,"717,231",5.42,"585,465",4.45,"48,632",25.08,"1,130,468",6.08,"123,596",-9.31,"752,538",2.46,"190,598",6.45,"76,357",22.36,"1,927",-6.82,"281,276",7.00
2011M05,"1,245,048",-0.71,"691,463",0.26,"553,585",-1.89,"35,906",0.91,"1,101,748",0.78,"107,394",-14.19,"774,577",3.54,"148,712",-16.38,"48,883",-19.07,"1,596",-16.22,"271,280",2.10
2011M06,"1,318,424",4.97,"719,396",4.58,"599,028",5.45,"59,509",9.08,"1,167,584",5.82,"91,331",-6.89,"855,784",8.94,"111,503",-16.48,"66,557",-5.21,"2,202",-2.78,"282,378",6.78
2011M07,"1,484,058",7.46,"783,870",6.82,"700,188",8.20,"158,972",5.76,"1,250,061",7.93,"75,025",3.59,"1,018,402",6.84,"133,784",5.29,"64,908",1.58,"2,103",-8.64,"264,861",12.95
