期間,專業及技術服務業_原始值,專業及技術服務業_年增率(%),電腦系統設計服務業_原始值,電腦系統設計服務業_年增率(%),資料處理及資訊供應服務業_原始值,資料處理及資訊供應服務業_年增率(%),廣告業及市場研究業_原始值,廣告業及市場研究業_年增率(%),專門設計服務業_原始值,專門設計服務業_年增率(%),租賃業_原始值,租賃業_年增率(%)
2001,"164,287",...,"95,285",...,"23,772",...,"86,034",...,"24,943",...,"37,667",...
2002,"165,955",1.02,"99,812",4.75,"24,987",5.11,"88,011",2.30,"23,507",-5.76,"38,112",1.18
2003,"169,892",2.37,"105,980",6.18,"26,541",6.22,"87,921",-0.10,"24,477",4.12,"40,117",5.26
