期間,合計_原始值,合計_年增率(%),合計_原始值,合計_年增率(%),銀行_原始值,銀行_年增率(%),銀行_原始值,銀行_年增率(%),票券及信託公司_原始值,票券及信託公司_年增率(%),票券及信託公司_原始值,票券及信託公司_年增率(%),保險公司_原始值,保險公司_年增率(%),保險公司_原始值,保險公司_年增率(%),公營事業_原始值,公營事業_年增率(%),公營事業_原始值,公營事業_年增率(%),民營事業_原始值,民營事業_年增率(%),民營事業_原始值,民營事業_年增率(%),個人_原始值,個人_年增率(%),個人_原始值,個人_年增率(%),其他_原始值,其他_年增率(%),其他_原始值,其他_年增率(%)
2003M04,"2,247,816",-8.41,"1,778,932",-2.59,"493,559",-25.94,"633,413",-25.03,"472,673",-13.74,"254,471",3.93,"138,301",35.02,"130,416",10.23,"66,884",-17.86,"40,866",8.03,"995,673",3.92,"550,986",30.03,"3,296",-39.69,"2,754",-57.16,"77,430",-16.27,"166,026",10.58
2003M05,"2,224,469",-4.65,"1,698,338",-2.90,"527,099",-16.53,"606,909",-12.69,"470,619",4.51,"242,304",6.24,"115,218",11.34,"116,068",0.34,"62,952",5.42,"30,407",-13.59,"967,614",1.29,"528,967",6.40,"3,869",-29.29,"2,786",-44.63,"77,098",-39.38,"170,897",-1.09
2003M06,"2,066,815",-12.09,"1,686,695",-4.21,"492,357",-16.77,"670,811",2.12,"413,372",-26.90,"200,609",-25.40,"95,856",11.17,"140,159",25.77,"46,964",-21.83,"34,661",-9.04,"938,131",0.22,"492,316",-4.93,"3,759",-27.78,"4,171",-21.86,"76,376",-28.27,"143,968",-11.32
2003M07,"2,364,302",-4.31,"1,898,388",-4.12,"559,568",-1.24,"729,419",5.89,"455,349",-3.64,"234,554",-11.47,"130,211",18.59,"172,307",14.18,"57,489",-29.26,"40,763",1.62,"1,087,755",-1.82,"576,960",-7.01,"6,017",2.75,"5,005",-22.49,"67,913",-46.37,"139,380",-33.05
2003M08,"2,301,539",2.62,"1,812,000",5.42,"607,782",23.50,"695,444",10.54,"471,901",-2.74,"248,182",3.57,"120,477",8.45,"145,898",24.25,"68,440",10.04,"53,030",93.79,"969,950",-1.58,"527,146",0.38,"3,464",-37.74,"3,050",-33.57,"59,525",-41.04,"139,250",-20.66
2003M09,"2,205,426",-2.73,"1,777,324",-0.01,"520,716",10.14,"664,031",-0.25,"456,411",-6.59,"222,855",-3.26,"120,718",7.19,"169,596",26.77,"49,829",-8.05,"42,169",31.01,"993,659",-3.17,"536,711",1.16,"4,042",-22.97,"3,845",-39.73,"60,051",-44.20,"138,117",-22.67
2003M10,"2,211,689",-21.71,"1,941,670",6.36,"555,960",-46.17,"646,622",-10.46,"360,490",-27.50,"252,642",14.63,"134,533",31.36,"183,253",40.36,"43,771",-10.91,"43,647",18.07,"1,034,571",0.45,"656,030",21.94,"3,171",-29.89,"2,946",-19.60,"79,193",-27.23,"156,530",-9.92
2003M11,"2,159,049",-1.14,"1,882,070",8.82,"500,720",7.62,"626,448",-0.61,"397,186",-12.83,"258,791",15.95,"114,629",4.77,"135,254",-5.85,"49,053",-20.71,"39,337",22.79,"1,014,104",1.83,"663,262",26.86,"2,915",-27.32,"2,410",-44.53,"80,442",-12.49,"156,568",-9.58
2003M12,"2,278,936",-7.22,"1,959,414",0.68,"555,768",2.79,"643,399",-6.55,"399,620",-19.26,"244,927",-0.98,"128,532",-26.89,"192,987",6.99,"46,177",-4.39,"52,611",43.70,"1,074,091",0.57,"684,209",17.11,"3,251",-23.97,"5,059",25.44,"71,497",-42.50,"136,222",-33.57
2004M01,"1,872,400",-27.45,"1,447,947",-25.19,"486,958",-21.78,"413,423",-46.97,"287,483",-52.48,"180,392",-39.00,"122,020",8.17,"154,508",10.99,"39,123",-43.86,"34,283",-2.89,"877,484",-18.80,"567,376",4.64,"3,584",-18.88,"2,545",-22.08,"55,748",-34.93,"95,420",-31.90
