期間,合計_原始值,合計_年增率(%),合計_原始值,合計_年增率(%),合計_原始值,合計_年增率(%),中央政府發行_原始值,中央政府發行_年增率(%),中央政府發行_原始值,中央政府發行_年增率(%),中央政府發行_原始值,中央政府發行_年增率(%),直轄市政府發行_原始值,直轄市政府發行_年增率(%),直轄市政府發行_原始值,直轄市政府發行_年增率(%),直轄市政府發行_原始值,直轄市政府發行_年增率(%)
1997,"174,000",-28.98,"135,446",16.90,"1,034,831",3.87,"160,000",-28.89,"120,752",28.51,"975,394",4.19,"14,000",-30.00,"14,694",-32.90,"59,437",-1.15
1998,"146,000",-16.09,"136,932",1.10,"1,043,899",0.88,"120,000",-25.00,"125,972",4.32,"969,422",-0.61,"26,000",85.71,"10,960",-25.41,"74,477",25.30
1999,"282,820",93.71,"81,487",-40.49,"1,245,232",19.29,"282,820",135.68,"70,312",-44.18,"1,181,930",21.92,-,-,"11,175",1.96,"63,302",-15.00
2000,"362,500",28.17,"127,397",56.34,"1,480,335",18.88,"346,500",22.52,"119,394",69.81,"1,409,036",19.21,"16,000",-,"8,003",-28.38,"71,299",12.63
