期間,發行部門-其他貨幣機構_原始值,發行部門-其他貨幣機構_年增率(%),發行部門-其他金融機構_原始值,發行部門-其他金融機構_年增率(%),發行部門-民營企業_原始值,發行部門-民營企業_年增率(%),發行部門-國外_原始值,發行部門-國外_年增率(%),持有部門-其他貨幣機構_原始值,持有部門-其他貨幣機構_年增率(%),持有部門-保險公司及退休基金_原始值,持有部門-保險公司及退休基金_年增率(%),持有部門-其他金融機構_原始值,持有部門-其他金融機構_年增率(%),持有部門-公營事業_原始值,持有部門-公營事業_年增率(%),持有部門-民營企業_原始值,持有部門-民營企業_年增率(%),持有部門-家庭及非營利團體_原始值,持有部門-家庭及非營利團體_年增率(%),持有部門-國外_原始值,持有部門-國外_年增率(%)
2003,"67,180",42.34,"114,811",45.29,"297,177",64.60,"3,453,113",70.59,"372,381",21.78,"1,147,140",106.52,"215,058",66.93,300,-25.74,"103,114",7.50,"1,736,119",71.52,"358,169",54.14
2004,"90,326",34.45,"89,967",-21.64,"351,789",18.38,"3,877,507",12.29,"429,030",15.21,"1,384,627",20.70,"203,319",-5.46,227,-24.33,"108,335",5.06,"1,918,262",10.49,"365,789",2.13
2005,"52,050",-42.38,"41,371",-54.02,"239,714",-31.86,"4,841,687",24.87,"682,509",59.08,"1,858,801",34.25,"230,527",13.38,-,--,"94,923",-12.38,"2,068,971",7.86,"239,090",-34.64
