期間,合計_原始值,合計_年增率(%),貼現_原始值,貼現_年增率(%),進口押匯_原始值,進口押匯_年增率(%),短期放款與透支-計_原始值,短期放款與透支-計_年增率(%),短期放款與透支-無擔保_原始值,短期放款與透支-無擔保_年增率(%),短期放款與透支-擔保_原始值,短期放款與透支-擔保_年增率(%),中長期放款-計_原始值,中長期放款-計_年增率(%),中長期放款-無擔保_原始值,中長期放款-無擔保_年增率(%),中長期放款-擔保_原始值,中長期放款-擔保_年增率(%)
1997,"11,003,565",39.96,"2,115",-6.50,"2,542",178.12,"3,881,247",51.01,"1,881,176",48.71,"2,000,071",53.24,"7,117,661",34.59,"1,867,838",36.18,"5,249,823",34.04
1998,"11,795,818",7.20,908,-57.07,"4,809",89.18,"4,021,296",3.61,"1,966,675",4.54,"2,054,621",2.73,"7,768,805",9.15,"2,136,600",14.39,"5,632,205",7.28
1999,"12,537,233",6.29,"1,708",88.11,"2,383",-50.45,"4,229,387",5.17,"2,214,375",12.59,"2,015,012",-1.93,"8,303,755",6.89,"2,395,696",12.13,"5,908,059",4.90
2000,"13,295,437",6.05,768,-55.04,"2,844",19.35,"4,227,945",-0.03,"2,298,963",3.82,"1,928,982",-4.27,"9,063,880",9.15,"2,922,667",22.00,"6,141,213",3.95
