期間,發生件數(包括補報數)(件) - 合計_原始值,發生件數(包括補報數)(件) - 合計_年增率(%),發生件數(包括補報數)(件) - 竊盜_原始值,發生件數(包括補報數)(件) - 竊盜_年增率(%),發生件數(包括補報數)(件) - 暴力犯罪_原始值,發生件數(包括補報數)(件) - 暴力犯罪_年增率(%),發生件數(包括補報數)(件) - 其他刑案_原始值,發生件數(包括補報數)(件) - 其他刑案_年增率(%),破獲件數(包括破積案)(件) - 合計_原始值,破獲件數(包括破積案)(件) - 合計_年增率(%),破獲件數(包括破積案)(件) - 竊盜_原始值,破獲件數(包括破積案)(件) - 竊盜_年增率(%),破獲件數(包括破積案)(件) - 暴力犯罪_原始值,破獲件數(包括破積案)(件) - 暴力犯罪_年增率(%),破獲件數(包括破積案)(件) - 其他刑案_原始值,破獲件數(包括破積案)(件) - 其他刑案_年增率(%),嫌疑犯人數(人) - 合計_原始值,嫌疑犯人數(人) - 合計_年增率(%),嫌疑犯人數(人) - 竊盜_原始值,嫌疑犯人數(人) - 竊盜_年增率(%),嫌疑犯人數(人) - 暴力犯罪_原始值,嫌疑犯人數(人) - 暴力犯罪_年增率(%),嫌疑犯人數(人) - 其他刑案_原始值,嫌疑犯人數(人) - 其他刑案_年增率(%),刑案發生率(件/十萬人)_原始值,刑案發生率(件/十萬人)_年增率(%),犯罪人口率(人/十萬人)_原始值,犯罪人口率(人/十萬人)_年增率(%),破獲率(%)_原始值,破獲率(%)_年增率(%)
2004M05,"42,548",1.55,"27,950",-1.88,912,-26.81,"13,686",12.47,"25,559",5.86,"14,702",-5.64,598,-32.43,"10,259",33.62,"14,362",11.45,"3,102",3.57,562,-29.84,"10,698",17.69,188.02,-,63.47,-,60.07,-
2004M06,"41,807",-3.65,"26,989",-8.27,887,-38.36,"13,931",11.15,"25,329",-6.76,"14,566",-16.81,538,-54.79,"10,225",20.81,"13,889",1.45,"2,822",-11.92,578,-42.66,"10,489",10.66,184.69,-,61.36,-,60.59,-
2004M07,"43,975",-1.94,"27,353",-11.09,911,-20.64,"15,711",21.50,"26,915",15.97,"15,109",10.91,567,-2.91,"11,239",24.86,"14,970",12.13,"2,666",1.37,557,-13.64,"11,747",16.60,194.20,-,66.11,-,61.21,-
2004M08,"45,646",4.74,"28,514",-2.47,"1,171",9.95,"15,961",20.20,"27,191",9.84,"15,156",-0.17,614,-9.71,"11,421",28.43,"15,628",18.04,"2,870",3.20,577,-10.12,"12,181",24.08,201.52,-,69.00,-,59.57,-
2004M09,"48,398",16.37,"30,533",8.07,"1,400",40.70,"16,465",33.43,"28,421",20.65,"16,177",8.94,782,14.66,"11,462",42.81,"15,559",29.44,"2,993",11.76,704,12.82,"11,862",36.06,213.62,-,68.67,-,58.72,-
2004M10,"49,171",11.97,"31,509",7.90,"1,474",58.84,"16,188",17.41,"28,644",21.93,"16,620",17.41,828,43.01,"11,196",27.85,"15,391",18.47,"3,080",9.65,675,11.94,"11,636",21.47,216.96,-,67.91,-,58.25,-
2004M11,"49,162",26.52,"30,657",19.51,"1,356",74.52,"17,149",38.01,"29,519",32.49,"16,692",26.66,858,74.75,"11,969",39.00,"16,236",35.21,"3,051",16.67,793,82.30,"12,392",38.33,216.82,-,71.61,-,60.04,-
2004M12,"47,086",19.19,"29,319",14.41,"1,310",61.53,"16,457",25.93,"25,721",14.83,"14,196",8.38,791,57.26,"10,734",21.99,"16,187",34.77,"2,785",10.87,678,33.20,"12,724",41.54,207.57,-,71.36,-,54.63,-
2005M01,"45,955",33.38,"26,598",23.26,"1,113",34.26,"18,244",51.44,"30,016",24.34,"16,883",20.84,632,-12.71,"12,501",32.36,"17,610",23.76,"3,511",18.10,615,-8.62,"13,484",27.41,202.51,-,77.60,-,65.32,-
2005M02,"35,411",-8.13,"21,179",-10.89,894,6.56,"13,338",-4.30,"21,807",-8.36,"11,557",-14.12,556,-10.03,"9,694",-0.28,"13,252",-2.74,"2,251",-17.03,462,-26.20,"10,539",2.45,156.00,-,58.38,-,61.58,-
