期間,市內電話-用戶數(萬戶)_原始值,市內電話-用戶數(萬戶)_年增率(%),市內電話-每百人用戶數(戶／百人)_原始值,市內電話-每百人用戶數(戶／百人)_年增率(%),國際電話去話分鐘數(萬分鐘)_原始值,國際電話去話分鐘數(萬分鐘)_年增率(%),整體服務數位網路(ISDN)用戶數(戶)_原始值,整體服務數位網路(ISDN)用戶數(戶)_年增率(%),數據通信出租電路數(路)_原始值,數據通信出租電路數(路)_年增率(%),分封交換數據通信-用戶數(戶)_原始值,分封交換數據通信-用戶數(戶)_年增率(%),分封交換數據通信-資訊量(百萬節)_原始值,分封交換數據通信-資訊量(百萬節)_年增率(%),無線電叫人用戶數(千戶)_原始值,無線電叫人用戶數(千戶)_年增率(%),行動電話-用戶數(千戶)_原始值,行動電話-用戶數(千戶)_年增率(%),行動電話-每百人用戶數(戶／百人)_原始值,行動電話-每百人用戶數(戶／百人)_年增率(%),行動電話-去話分鐘數(百萬分鐘)_原始值,行動電話-去話分鐘數(百萬分鐘)_年增率(%),網際網路帳號數(千戶)_原始值,網際網路帳號數(千戶)_年增率(%),寬頻(千戶)_原始值,寬頻(千戶)_年增率(%)
2012M04,"1,256",-2.30,54.0,-2.61,"43,236",13.28,"122,659",7.81,"169,223",0.37,791,-25.94,0,-50.04,826,-22.40,"29,006",2.77,124.8,2.44,"3,703",5.04,"6,413",7.57,"5,861",8.71
2012M05,"1,254",-2.47,53.9,-2.79,"40,718",8.36,"122,082",5.99,"168,669",0.04,766,-27.87,0,-93.58,821,-22.57,"29,058",3.08,125.0,2.74,"3,718",3.66,"6,517",9.32,"5,968",10.66
2012M06,"1,252",-2.55,53.8,-2.89,"41,428",10.30,"121,731",4.62,"166,816",-1.06,738,-30.51,0,-92.71,815,-23.03,"29,131",2.97,125.3,2.61,"3,702",4.71,"6,614",11.01,"6,067",12.68
2012M07,"1,250",-2.68,53.7,-3.02,"41,990",10.39,"120,383",2.95,"167,439",-0.27,740,-28.85,0,-82.95,806,-23.87,"29,208",2.85,125.5,2.49,"3,669",1.19,"6,706",12.15,"6,159",13.88
2012M08,"1,248",-2.80,53.6,-3.14,"42,519",9.79,"119,916",1.69,"166,337",-1.71,740,-27.66,0,6.60,588,-43.39,"29,304",2.81,125.9,2.45,"3,696",-1.01,"6,782",13.34,"6,237",15.05
2012M09,"1,246",-2.91,53.5,-3.26,"43,307",7.67,"119,609",1.30,"165,806",-2.17,746,-27.22,0,-35.54,584,-43.80,"29,365",2.65,126.1,2.28,"3,534",-1.55,"6,844",13.49,"6,300",15.27
2012M10,"1,245",-2.65,53.4,-3.02,"39,608",0.39,"119,178",-0.95,"164,385",-2.89,756,-24.32,0,10.05,582,-38.08,"29,396",2.52,126.2,2.14,"3,517",-2.94,"6,899",14.41,"6,357",16.37
2012M11,"1,243",-2.34,53.4,-2.72,"38,250",-3.45,"118,500",-1.45,"163,318",-3.35,751,-22.50,0,19.16,579,-36.52,"29,425",2.34,126.3,1.94,"3,408",-4.43,"6,945",14.57,"6,404",16.75
2012M12,"1,241",-2.11,53.2,-2.49,"37,425",-6.97,"118,102",-4.23,"161,736",-6.04,762,-17.89,0,21.85,575,-37.00,"29,449",2.03,126.3,1.64,"3,442",-6.22,"6,988",14.71,"6,449",16.91
2013M01,"1,240",-1.85,53.2,-2.24,"34,836",-19.36,"117,629",-4.84,"159,676",-7.06,755,-17.03,0,62.49,-,--,"29,456",1.91,126.3,1.51,"3,463",-6.94,"7,039",15.13,"6,501",17.37
2013M02,"1,238",-1.72,53.1,-2.11,"34,847",-15.04,"117,446",-4.83,"159,052",-6.96,763,-8.73,0,82.40,-,--,"29,488",1.91,126.4,1.49,"3,164",-12.58,"7,101",11.45,"6,564",12.90
