期間,總成交值(十億元)_原始值,總成交值(十億元)_年增率(%),成交量(十億股)_原始值,成交量(十億股)_年增率(%),日平均值(十億元)_原始值,日平均值(十億元)_年增率(%),交易日數_原始值,交易日數_年增率(%),交易所股價指數(月平均)_原始值,交易所股價指數(月平均)_年增率(%),交易人數_原始值,交易人數_年增率(%)
2005,"18,818.90",-21.18,663.51,-32.81,76.19,-20.22,247,-1.20,"6,092.27",0.97,"2,504,208",-16.99
2006,"23,900.36",27.00,732.51,10.40,96.37,26.49,248,0.40,"6,842.04",12.31,"2,774,459",10.79
