期間,美元即期匯率--銀行與顧客間交易匯率--買進(新台幣元)_原始值,美元即期匯率--銀行與顧客間交易匯率--買進(新台幣元)_年增率(%),美元即期匯率--銀行與顧客間交易匯率--賣出(新台幣元)_原始值,美元即期匯率--銀行與顧客間交易匯率--賣出(新台幣元)_年增率(%),美元即期匯率--銀行間收盤匯率(新台幣元)_原始值,美元即期匯率--銀行間收盤匯率(新台幣元)_年增率(%),美元即期匯率--銀行間收盤匯率--日平均(新台幣元)_原始值,美元即期匯率--銀行間收盤匯率--日平均(新台幣元)_年增率(%),遠期信用狀美金利率(年息)(年息百分比率)_原始值,遠期信用狀美金利率(年息)(年息百分比率)_年增率(%)
2009,31.98,2.60,32.08,2.59,32.030,2.591,33.049,-4.636,...,...
2010,30.32,5.47,30.42,5.46,30.368,5.473,31.642,4.447,...,...
2011,30.22,0.33,30.32,0.33,30.290,0.258,29.464,7.392,...,...
2012,28.98,4.28,29.08,4.26,29.136,3.961,29.614,-0.507,...,...
2013,29.72,-2.49,29.82,-2.48,29.950,-2.718,29.770,-0.524,...,...
