期間,總入境人數(人次)_原始值,總入境人數(人次)_年增率(%),男性_原始值,男性_年增率(%),女性_原始值,女性_年增率(%),0 - 14 歲_原始值,0 - 14 歲_年增率(%),15 - 64歲_原始值,15 - 64歲_年增率(%),65歲以上_原始值,65歲以上_年增率(%),本國人民 (含金馬地區)_原始值,本國人民 (含金馬地區)_年增率(%),大陸地區人民_原始值,大陸地區人民_年增率(%),香港澳門居民_原始值,香港澳門居民_年增率(%),本國無戶籍國民_原始值,本國無戶籍國民_年增率(%),外國人_原始值,外國人_年增率(%)
2000M01,"630,434",...,"398,405",...,"232,029",...,"24,275",...,"573,346",...,"32,813",...,"439,532",...,"11,112",...,...,...,"17,807",...,"161,983",...
2000M02,"808,833",...,"462,407",...,"346,426",...,"77,626",...,"694,405",...,"36,802",...,"611,318",...,"8,862",...,...,...,"25,396",...,"163,257",...
2000M03,"737,738",...,"460,940",...,"276,798",...,"20,877",...,"666,010",...,"50,851",...,"504,429",...,"10,727",...,...,...,"23,089",...,"199,493",...
2000M04,"874,986",...,"521,022",...,"353,964",...,"42,297",...,"767,262",...,"65,427",...,"648,546",...,"9,623",...,...,...,"28,594",...,"188,223",...
2000M05,"844,946",...,"514,634",...,"330,312",...,"22,490",...,"751,651",...,"70,805",...,"618,693",...,"9,743",...,...,...,"22,816",...,"193,694",...
2000M06,"880,767",...,"532,363",...,"348,404",...,"31,703",...,"789,507",...,"59,557",...,"644,665",...,"10,126",...,...,...,"29,843",...,"196,133",...
2000M07,"990,742",...,"563,025",...,"427,717",...,"110,306",...,"830,662",...,"49,774",...,"761,917",...,"10,077",...,...,...,"26,399",...,"192,349",...
2000M08,"965,694",...,"543,646",...,"422,048",...,"111,416",...,"812,100",...,"42,178",...,"734,244",...,"9,848",...,...,...,"29,106",...,"192,496",...
2000M09,"855,593",...,"513,054",...,"342,539",...,"21,962",...,"772,978",...,"60,653",...,"622,325",...,"10,336",...,...,...,"30,399",...,"192,533",...
2000M10,"876,637",...,"540,991",...,"335,646",...,"18,321",...,"785,739",...,"72,577",...,"616,832",...,"8,870",...,...,...,"30,415",...,"220,520",...
2000M11,"791,725",...,"499,863",...,"291,862",...,"17,617",...,"715,455",...,"58,653",...,"547,503",...,"9,908",...,...,...,"24,539",...,"209,775",...
2000M12,"787,899",...,"485,153",...,"302,746",...,"32,691",...,"711,422",...,"43,786",...,"546,669",...,"10,444",...,...,...,"30,572",...,"200,214",...
2001M01,"794,449",26.02,"471,774",18.42,"322,675",39.07,"58,445",140.76,"699,644",22.03,"36,360",10.81,"582,415",32.51,"10,377",-6.61,...,...,"24,169",35.73,"177,488",9.57
2001M02,"753,031",-6.90,"455,099",-1.58,"297,932",-14.00,"46,575",-40.00,"665,171",-4.21,"41,285",12.18,"506,611",-17.13,"10,432",17.72,...,...,"24,334",-4.18,"211,654",29.64
2001M03,"814,128",10.35,"508,403",10.30,"305,725",10.45,"22,183",6.26,"735,667",10.46,"56,278",10.67,"548,079",8.65,"13,196",23.02,...,...,"32,903",42.51,"219,950",10.25
2001M04,"895,741",2.37,"533,342",2.36,"362,399",2.38,"41,254",-2.47,"785,694",2.40,"68,793",5.14,"647,810",-0.11,"11,053",14.86,...,...,"34,323",20.04,"202,555",7.61
2001M05,"865,045",2.38,"524,828",1.98,"340,217",3.00,"23,162",2.99,"772,740",2.81,"69,143",-2.35,"624,430",0.93,"12,052",23.70,...,...,"25,644",12.39,"202,919",4.76
2001M06,"913,251",3.69,"545,553",2.48,"367,698",5.54,"33,548",5.82,"818,296",3.65,"61,407",3.11,"659,714",2.33,"12,017",18.67,...,...,"35,692",19.60,"205,828",4.94
2001M07,"940,691",-5.05,"539,469",-4.18,"401,222",-6.19,"95,980",-12.99,"796,875",-4.07,"47,836",-3.89,"708,176",-7.05,"12,102",20.10,...,...,"28,342",7.36,"192,071",-0.14
2001M08,"968,372",0.28,"546,003",0.43,"422,369",0.08,"102,406",-8.09,"821,127",1.11,"44,839",6.31,"729,779",-0.61,"12,830",30.28,...,...,"33,652",15.62,"192,111",-0.20
2001M09,"734,575",-14.14,"452,398",-11.82,"282,177",-17.62,"17,371",-20.90,"670,830",-13.21,"46,374",-23.54,"523,824",-15.83,"11,346",9.77,...,...,"32,539",7.04,"166,866",-13.33
2001M10,"738,510",-15.76,"455,590",-15.79,"282,920",-15.71,"19,218",4.90,"662,754",-15.65,"56,538",-22.10,"530,636",-13.97,"11,682",31.70,...,...,"28,073",-7.70,"168,119",-23.76
2001M11,"717,684",-9.35,"455,026",-8.97,"262,658",-10.01,"17,600",-0.10,"649,027",-9.28,"51,057",-12.95,"506,988",-7.40,"12,497",26.13,...,...,"30,052",22.47,"168,147",-19.84
2001M12,"757,784",-3.82,"460,285",-5.13,"297,499",-1.73,"32,074",-1.89,"686,220",-3.54,"39,490",-9.81,"524,506",-4.05,"12,103",15.88,...,...,"37,012",21.07,"184,163",-8.02
2002M01,"700,687",-11.80,"420,929",-10.78,"279,758",-13.30,"36,374",-37.76,"625,572",-10.59,"38,741",6.55,"483,087",-17.05,"11,878",14.46,"22,011",...,"6,118",-74.69,"177,593",0.06
2002M02,"856,848",13.79,"482,691",6.06,"374,157",25.58,"79,480",70.65,"739,941",11.24,"37,427",-9.34,"622,952",22.96,"11,880",13.88,"34,858",...,"7,619",-68.69,"179,539",-15.17
