期間,就業者_原始值,就業者_年增率(%),就業者_原始值,就業者_年增率(%),就業者_原始值,就業者_年增率(%),就業者_原始值,就業者_年增率(%),就業者_原始值,就業者_年增率(%),就業者_原始值,就業者_年增率(%),就業者_原始值,就業者_年增率(%),就業者_原始值,就業者_年增率(%),就業者_原始值,就業者_年增率(%),就業者_原始值,就業者_年增率(%),就業者_原始值,就業者_年增率(%),就業者_原始值,就業者_年增率(%),就業者_原始值,就業者_年增率(%),就業者_原始值,就業者_年增率(%),就業者_原始值,就業者_年增率(%),就業者_原始值,就業者_年增率(%),就業者_原始值,就業者_年增率(%),就業者_原始值,就業者_年增率(%),就業者_原始值,就業者_年增率(%),就業者_原始值,就業者_年增率(%),就業者_原始值,就業者_年增率(%),失業者_原始值,失業者_年增率(%),失業者_原始值,失業者_年增率(%),失業者_原始值,失業者_年增率(%),失業者_原始值,失業者_年增率(%),失業者_原始值,失業者_年增率(%),失業者_原始值,失業者_年增率(%),失業者_原始值,失業者_年增率(%),失業者_原始值,失業者_年增率(%),失業者_原始值,失業者_年增率(%),失業者_原始值,失業者_年增率(%),失業者_原始值,失業者_年增率(%),失業者_原始值,失業者_年增率(%),失業者_原始值,失業者_年增率(%),失業者_原始值,失業者_年增率(%),失業者_原始值,失業者_年增率(%),失業者_原始值,失業者_年增率(%),失業者_原始值,失業者_年增率(%),失業者_原始值,失業者_年增率(%),失業者_原始值,失業者_年增率(%),失業者_原始值,失業者_年增率(%),失業者_原始值,失業者_年增率(%),非勞動力_原始值,非勞動力_年增率(%),非勞動力_原始值,非勞動力_年增率(%),非勞動力_原始值,非勞動力_年增率(%),非勞動力_原始值,非勞動力_年增率(%),非勞動力_原始值,非勞動力_年增率(%),非勞動力_原始值,非勞動力_年增率(%),非勞動力_原始值,非勞動力_年增率(%),非勞動力_原始值,非勞動力_年增率(%),非勞動力_原始值,非勞動力_年增率(%),非勞動力_原始值,非勞動力_年增率(%),非勞動力_原始值,非勞動力_年增率(%),非勞動力_原始值,非勞動力_年增率(%),非勞動力_原始值,非勞動力_年增率(%),非勞動力_原始值,非勞動力_年增率(%),非勞動力_原始值,非勞動力_年增率(%),非勞動力_原始值,非勞動力_年增率(%),非勞動力_原始值,非勞動力_年增率(%),非勞動力_原始值,非勞動力_年增率(%),非勞動力_原始值,非勞動力_年增率(%),非勞動力_原始值,非勞動力_年增率(%),非勞動力_原始值,非勞動力_年增率(%)
1996M03,"9,027",0.31,"2,197",-9.18,"1,780",-2.85,755,3.51,"2,254",1.99,"1,165",10.56,876,16.04,"5,491",-1.15,"1,289",-11.14,"1,235",-4.72,483,3.18,"1,273",2.65,678,9.52,533,10.85,"3,536",2.65,908,-6.25,545,1.66,272,4.12,981,1.14,487,12.04,342,25.16,207,48.54,26,81.25,41,44.84,20,17.67,65,44.06,36,67.61,19,45.22,140,51.50,21,93.15,34,48.73,16,31.21,40,64.82,20,38.76,10,17.15,67,42.74,5,44.12,7,28.42,5,-12.75,25,20.25,16,125.44,9,93.13,"6,633",2.60,"2,654",-1.36,990,5.57,738,5.73,"1,290",3.16,433,3.24,529,12.74,"2,300",5.65,760,4.78,297,8.38,333,6.06,437,4.42,180,-2.97,294,12.81,"4,332",1.06,"1,894",-3.63,693,4.41,404,5.46,853,2.52,254,8.14,234,12.65
1996M04,"9,018",0.02,"2,230",-7.33,"1,770",-2.86,765,2.50,"2,253",1.31,"1,157",8.42,843,12.28,"5,471",-1.43,"1,296",-9.48,"1,229",-3.89,486,1.96,"1,275",1.91,676,6.30,510,6.91,"3,547",2.33,934,-4.17,541,-0.41,279,3.46,978,0.53,481,11.53,334,21.61,204,45.28,28,82.85,46,61.04,20,35.21,59,18.96,31,62.44,21,52.16,137,49.01,24,100.95,38,66.14,15,49.67,35,19.83,15,59.17,9,11.66,67,38.24,4,16.94,7,38.51,4,0.07,24,17.75,15,65.89,12,104.15,"6,658",2.91,"2,659",-0.67,999,0.56,742,7.24,"1,307",4.07,453,6.78,499,16.43,"2,328",6.82,765,7.29,310,0.92,337,10.53,456,5.47,185,2.26,275,14.15,"4,330",0.92,"1,894",-3.57,688,0.41,406,4.66,850,3.33,268,10.15,225,19.35
1996M05,"9,050",0.46,"2,252",-5.82,"1,761",-3.46,777,-1.04,"2,272",3.52,"1,162",11.15,825,7.55,"5,445",-1.23,"1,279",-8.06,"1,212",-4.70,496,-0.87,"1,277",1.92,681,9.38,500,5.46,"3,605",3.12,972,-2.70,550,-0.61,281,-1.35,995,5.64,481,13.75,326,10.92,218,46.11,28,106.00,47,36.89,27,32.19,67,41.60,29,54.21,20,36.79,140,50.94,22,130.92,38,49.56,19,37.68,38,49.70,15,47.61,7,-7.66,78,38.12,6,45.20,9,-0.32,8,21.38,29,32.00,14,62.17,12,93.06,"6,635",2.19,"2,610",-0.65,"1,015",0.05,747,3.17,"1,303",4.43,448,7.41,512,10.74,"2,360",5.95,761,5.35,329,2.32,343,7.16,458,8.89,188,4.23,282,7.04,"4,274",0.23,"1,849",-2.92,685,-1.00,404,0.01,845,2.16,260,9.83,230,15.63
1996M06,"9,013",0.33,"2,225",-5.21,"1,728",-4.51,782,2.01,"2,296",3.79,"1,164",8.94,819,5.01,"5,442",-1.26,"1,266",-8.16,"1,209",-4.92,499,3.16,"1,291",2.40,680,7.41,497,2.72,"3,571",2.86,960,-1.01,519,-3.54,283,0.04,"1,004",5.64,483,11.16,322,8.73,241,48.25,30,115.49,54,62.32,23,13.55,72,55.95,37,53.87,24,-1.14,155,50.87,23,113.47,44,71.70,15,9.32,43,73.33,18,41.75,11,-23.93,86,43.74,7,122.57,10,30.43,8,22.93,29,35.52,19,66.95,13,33.12,"6,669",2.17,"2,653",0.77,"1,031",-0.94,734,-1.93,"1,298",6.86,431,5.80,522,7.93,"2,360",5.68,766,5.81,335,1.26,336,2.47,449,12.61,182,-0.18,292,8.33,"4,310",0.34,"1,888",-1.14,695,-1.97,398,-5.37,849,4.05,249,10.63,231,7.43
1996M07,"9,026",-0.54,"2,210",-5.94,"1,724",-4.60,795,5.01,"2,332",2.61,"1,147",6.10,818,1.25,"5,488",-1.33,"1,287",-6.06,"1,226",-3.46,503,2.85,"1,318",2.23,660,2.42,495,-1.03,"3,538",0.70,923,-5.77,498,-7.29,293,8.94,"1,014",3.12,487,11.54,323,4.96,276,53.05,34,149.85,57,87.12,21,34.94,80,37.57,47,35.21,36,32.32,166,59.71,29,153.70,45,88.47,12,35.39,40,36.29,23,37.19,17,24.29,110,44.05,5,130.16,13,82.49,10,34.40,40,38.89,24,33.37,19,40.31,"6,639",3.03,"2,718",3.19,"1,051",-0.41,733,1.89,"1,253",4.98,423,8.06,461,2.52,"2,311",5.29,770,5.58,343,0.49,329,6.95,437,10.95,177,0.40,255,3.49,"4,328",1.87,"1,947",2.27,708,-0.85,404,-1.89,816,2.04,246,14.31,206,1.34
1996M08,"8,996",-0.97,"2,169",-7.70,"1,718",-4.04,810,8.54,"2,301",2.24,"1,148",5.98,850,-1.59,"5,491",-1.57,"1,276",-7.10,"1,227",-3.34,520,6.41,"1,299",1.82,652,1.88,518,-2.69,"3,505",-0.01,893,-8.54,491,-5.73,290,12.56,"1,003",2.79,496,11.90,331,0.17,297,52.80,37,172.17,58,75.37,25,41.73,89,47.88,51,25.69,36,25.37,178,69.65,30,185.98,45,88.51,16,104.18,42,45.93,27,26.12,18,43.54,119,33.04,8,129.15,13,41.92,8,-12.33,47,49.65,24,25.22,18,11.43,"6,666",3.45,"2,697",2.77,914,3.77,750,-2.53,"1,316",10.42,483,6.71,507,-3.57,"2,302",5.24,759,4.94,264,10.25,334,-0.40,450,13.87,211,3.93,285,-2.43,"4,364",2.53,"1,938",1.94,650,1.36,416,-4.17,866,8.71,272,8.97,222,-5.00
1996M09,"9,067",0.35,"2,138",-8.84,"1,720",-4.46,815,3.87,"2,332",7.05,"1,187",8.82,876,4.71,"5,538",-0.41,"1,252",-8.85,"1,226",-4.26,539,4.02,"1,315",5.89,673,6.92,534,3.09,"3,528",1.57,886,-8.81,494,-4.95,276,3.59,"1,017",8.57,514,11.41,342,7.34,284,51.43,32,98.00,55,62.67,27,62.19,85,40.76,46,48.70,39,31.64,173,57.89,25,121.25,43,71.24,20,79.30,43,45.59,24,51.62,19,9.22,110,42.29,7,41.67,11,36.66,8,30.26,43,36.23,22,45.74,20,63.64,"6,627",1.57,"2,668",0.39,871,3.18,705,-5.50,"1,373",9.59,478,-0.33,533,-2.30,"2,268",2.56,756,2.87,226,6.86,305,-6.94,478,11.11,208,-0.38,294,-1.06,"4,359",1.06,"1,912",-0.56,644,1.95,400,-4.37,895,8.80,269,-0.30,239,-3.77
1996M10,"9,068",0.03,"2,095",-9.64,"1,733",-4.46,794,0.16,"2,351",5.38,"1,196",9.91,899,9.46,"5,527",-0.56,"1,229",-10.27,"1,214",-4.66,521,0.56,"1,321",4.54,689,10.38,553,8.54,"3,541",0.96,866,-8.74,519,-3.99,273,-0.60,"1,030",6.48,507,9.28,346,10.95,285,52.44,35,88.98,56,55.91,29,89.58,86,42.80,46,55.02,33,21.24,176,48.05,28,99.28,45,55.11,21,85.11,44,42.71,22,14.76,17,12.47,109,60.11,7,57.35,11,59.32,8,102.05,42,42.89,24,127.79,16,31.87,"6,643",1.92,"2,702",0.52,875,3.65,685,-6.32,"1,365",6.88,473,2.40,542,5.43,"2,285",3.14,776,2.81,235,8.51,301,-7.09,477,9.22,198,-1.47,299,5.53,"4,358",1.30,"1,926",-0.37,641,1.98,385,-5.71,888,5.66,275,5.40,244,5.31
1996M11,"9,133",0.65,"2,125",-7.93,"1,735",-4.29,784,-0.81,"2,337",3.40,"1,215",13.12,937,13.09,"5,529",-0.58,"1,230",-9.94,"1,201",-5.43,497,-2.98,"1,323",4.06,701,11.53,578,12.40,"3,604",2.60,895,-5.01,535,-1.62,287,3.16,"1,015",2.55,514,15.37,359,14.23,269,49.24,34,51.39,53,29.47,24,63.01,86,60.86,40,54.42,32,40.56,172,47.93,28,54.48,43,32.35,16,52.32,47,49.74,21,31.73,18,114.81,97,51.62,6,38.04,10,18.12,9,86.85,39,76.41,19,91.04,14,-1.37,"6,614",1.10,"2,655",-2.30,913,7.05,705,0.13,"1,314",-1.02,492,10.63,535,7.95,"2,294",3.06,760,-0.92,261,15.23,306,-1.27,473,3.87,210,6.45,285,5.24,"4,320",0.09,"1,895",-2.84,652,4.10,399,1.22,841,-3.57,282,13.97,250,11.19
1996M12,"9,183",0.96,"2,153",-5.56,"1,791",-0.71,780,-2.82,"2,323",-0.18,"1,213",13.11,923,13.98,"5,535",-0.62,"1,239",-7.82,"1,225",-2.66,485,-3.77,"1,330",-0.65,702,10.80,554,12.91,"3,648",3.46,914,-2.31,566,3.80,295,-1.21,993,0.44,510,16.46,369,15.64,245,38.99,38,61.96,52,66.15,23,30.03,73,20.77,34,44.79,25,25.91,160,50.34,30,68.29,45,87.42,12,24.96,38,15.58,18,50.77,16,70.76,85,21.68,8,41.31,7,-2.97,10,36.67,35,27.04,16,38.42,9,-13.87,"6,603",0.87,"2,663",-2.04,912,4.02,735,4.86,"1,285",-3.36,466,7.90,542,10.92,"2,306",3.13,769,0.43,274,11.28,317,1.87,459,0.70,202,7.18,285,6.10,"4,297",-0.31,"1,893",-3.01,638,1.19,417,7.26,827,-5.47,264,8.45,257,16.79
