期間,總計,公共集會類(A類),商業類(B類),工業、倉儲類(C類),休閒、文教類(D類),宗教、殯葬類(E類),衛生、福利、更生類(F類),辦公、服務類(G類),住宿類(H類)-宿舍安養(H1),住宿類(H類)-住宅(H2),危險物品類(I類),其他
2007M09,"2,084,969",755,"55,884","237,300","117,599","11,419","8,577","200,362","10,024","1,360,901","1,110","81,038"
2007M10,"2,882,383",56,"117,949","554,567","113,283","31,917","2,679","298,448","18,686","1,599,286",318,"145,194"
2007M11,"3,394,446","9,583","112,117","427,584","198,590","73,812","9,367","482,292","19,942","1,900,899","3,445","156,815"
2007M12,"3,642,477","6,452","383,760","1,170,599","155,213","64,534","31,273","218,471","14,117","1,501,685",706,"95,667"
2008M01,"3,201,063","1,166","134,013","758,841","142,147","30,543","98,923","295,417","3,949","1,613,485","6,690","115,889"
2008M02,"1,639,752",639,"53,034","333,888","89,395","7,789","11,259","132,751","37,615","923,050",270,"50,062"
2008M03,"2,150,606","6,770","48,324","662,887","79,385","31,259","28,513","176,279","23,861","997,809",269,"95,250"
2008M04,"2,390,139","15,805","40,611","476,861","99,983","23,658","18,227","114,685","4,215","1,492,867","3,916","99,311"
2008M05,"2,601,618","6,216","78,441","360,281","125,842","27,180","35,020","266,884","110,281","1,387,879","1,796","201,798"
2008M06,"2,463,167",831,"122,226","444,291","92,193","29,318","15,776","194,150","7,433","1,458,050","2,370","96,529"
2008M07,"2,080,320","27,088","24,919","496,656","128,712","9,898","23,604","83,778","26,078","1,136,658","1,922","121,007"
2008M08,"2,133,808","3,047","197,498","522,990","111,970","17,231","6,854","144,391","11,127","1,068,379","3,330","46,991"
2008M09,"1,999,095","10,425","28,827","404,680","168,395","13,826","15,345","246,744","53,766","951,238","1,126","104,723"
2008M10,"1,802,508","4,504","105,087","333,580","118,399","26,584","15,424","145,652","18,811","988,464",747,"45,256"
2008M11,"2,005,469","57,738","22,802","344,816","127,496","17,618","33,481","156,776","14,586","1,112,662","1,330","116,164"
2008M12,"1,698,810","26,344","45,553","397,439","155,775","29,818","17,242","162,572",851,"781,125","3,464","78,627"
2009M01,"1,573,818","4,346","24,879","291,983","141,793","40,949","1,444","185,091","1,747","771,365",688,"109,533"
2009M02,"1,054,407",0,"3,684","236,843","195,150","6,239","3,472","104,868","15,897","416,761","1,906","69,587"
2009M03,"1,312,269","7,699","13,986","248,165","139,767","20,632","7,604","95,419","36,022","651,474",691,"90,810"
2009M04,"1,469,348","3,537","302,757","255,735","87,124","40,654","16,815","30,599","25,025","644,202",79,"62,821"
2009M05,"1,105,693","4,273","99,470","168,699","107,411","11,089","124,834","160,601","13,209","368,447",525,"47,135"
2009M06,"1,334,189","24,028","13,363","244,802","95,661","12,988","7,314","100,250","20,553","696,311","1,927","116,992"
2009M07,"1,671,191","2,541","29,313","206,790","139,014","35,984","8,414","55,418",438,"1,133,857","1,246","58,176"
2009M08,"1,873,112",785,"94,913","329,284","176,299","22,058","27,199","102,114","17,379","1,023,278",0,"79,803"
2009M09,"1,537,533","2,802","17,016","339,474","124,894","5,557","21,052","100,751","2,578","858,284",443,"64,682"
2009M10,"2,202,889","8,598","16,634","421,673","121,280","15,102","81,243","248,241","12,357","1,215,136",681,"61,944"
2009M11,"2,088,567","12,574","5,396","271,050","319,109","25,627","6,216","220,578","35,348","1,014,874",375,"177,420"
2009M12,"2,692,937",508,"149,336","342,525","220,880","10,709","19,378","399,168","62,395","1,293,548",977,"193,513"
2010M01,"1,695,105","7,220","52,543","225,656","123,650","23,794","4,302","102,357","9,324","1,057,577",765,"87,917"
2010M02,"1,993,546","142,597","18,830","230,999","185,140","10,022","7,742","165,181","3,630","1,172,057",0,"57,348"
2010M03,"2,731,480","6,899","50,596","824,932","127,197","16,508","15,103","339,871","1,958","1,275,879","1,260","71,277"
2010M04,"2,301,522",677,"54,554","367,963","73,484","7,052","27,549","235,542","1,979","1,427,706",388,"104,628"
2010M05,"2,628,411",502,"89,168","661,787","82,534","49,615","8,825","249,101","16,124","1,345,334","7,761","117,660"
2010M06,"2,669,458","7,250","68,086","460,499","167,153","4,305","11,874","195,729","3,227","1,583,999",624,"166,712"
2010M07,"2,504,260","1,114","122,181","277,005","124,155","78,011","38,369","195,931","27,692","1,476,367",860,"162,575"
2010M08,"2,806,637","9,709","237,220","606,668","90,538","21,750","39,995","358,377","40,682","1,294,425","5,111","102,162"
2010M09,"2,501,445",637,"109,504","518,869","82,194","30,016","36,298","171,247","2,615","1,398,143","1,849","150,073"
2010M10,"2,631,115","1,545","56,803","604,092","147,245","5,207","155,958","187,870","7,388","1,341,197","1,711","122,099"
2010M11,"2,865,920","6,653","67,295","736,778","289,067","26,691","54,141","121,994","7,188","1,380,914",741,"174,458"
2010M12,"3,845,118","13,040","86,424","885,981","249,591","43,761","209,942","149,905","7,361","1,983,810","2,799","212,504"
