期間,總計_原始值,總計_年增率(%),總計_原始值,總計_年增率(%),職業疾病生活津貼_原始值,職業疾病生活津貼_年增率(%),職業疾病生活津貼_原始值,職業疾病生活津貼_年增率(%),身體障害生活津貼_原始值,身體障害生活津貼_年增率(%),身體障害生活津貼_原始值,身體障害生活津貼_年增率(%),職業訓練生活津貼_原始值,職業訓練生活津貼_年增率(%),職業訓練生活津貼_原始值,職業訓練生活津貼_年增率(%),看護補助_原始值,看護補助_年增率(%),看護補助_原始值,看護補助_年增率(%),退保後職業疾病生活津貼_原始值,退保後職業疾病生活津貼_年增率(%),退保後職業疾病生活津貼_原始值,退保後職業疾病生活津貼_年增率(%),續保保費補助_原始值,續保保費補助_年增率(%),續保保費補助_原始值,續保保費補助_年增率(%),器具補助_原始值,器具補助_年增率(%),器具補助_原始值,器具補助_年增率(%),勞工死亡家屬補助_原始值,勞工死亡家屬補助_年增率(%),勞工死亡家屬補助_原始值,勞工死亡家屬補助_年增率(%),殘廢補助_原始值,殘廢補助_年增率(%),殘廢補助_原始值,殘廢補助_年增率(%),死亡補助_原始值,死亡補助_年增率(%),死亡補助_原始值,死亡補助_年增率(%),職災預防及勞工重建補助(~2004年)_原始值,職災預防及勞工重建補助(~2004年)_年增率(%),職災預防及勞工重建補助(~2004年)_原始值,職災預防及勞工重建補助(~2004年)_年增率(%),職災預防補助(2005年~)_原始值,職災預防補助(2005年~)_年增率(%),職災預防補助(2005年~)_原始值,職災預防補助(2005年~)_年增率(%),職災勞工職業重建補助(2005年~)_原始值,職災勞工職業重建補助(2005年~)_年增率(%),職災勞工職業重建補助(2005年~)_原始值,職災勞工職業重建補助(2005年~)_年增率(%),事業單位僱用職災勞工提供設施補助_原始值,事業單位僱用職災勞工提供設施補助_年增率(%),事業單位僱用職災勞工提供設施補助_原始值,事業單位僱用職災勞工提供設施補助_年增率(%)
2008M09,274,8.30,"21,328",35.29,4,-20.00,344,33.85,135,0.00,"8,352",35.41,0,-100.00,12,-75.00,32,3.23,"3,288",47.84,-,--,-,--,-,--,768,--,54,184.21,422,254.62,43,-25.86,"4,300",-25.86,1,-66.67,726,23.05,3,--,"1,927",--,0,--,0,--,2,100.00,"1,190",112.88,0,--,0,--,-,--,-,--
2008M10,386,25.73,"28,462",16.22,13,-13.33,357,40.55,229,74.81,"9,069",44.32,0,--,12,0.00,41,41.38,"3,530",54.82,-,--,-,--,-,--,788,-27.90,51,15.91,348,2.96,36,-53.85,"3,600",-53.85,2,0.00,503,-34.68,2,-50.00,875,-65.01,0,--,0,--,8,100.00,"7,978",152.71,4,--,"1,403",--,-,--,-,--
2008M11,313,49.76,"35,447",74.52,4,-55.56,341,41.49,112,12.00,"9,026",42.23,0,--,6,--,31,29.17,"3,520",53.85,-,--,-,--,-,--,0,-100.00,68,65.85,533,42.90,87,222.22,"8,700",222.22,3,0.00,"2,454",220.78,4,0.00,"2,975",38.63,0,--,0,--,4,300.00,"7,571",65.34,0,--,321,1.58,-,--,-,--
2008M12,345,4.86,"31,528",55.58,4,-66.67,310,26.53,176,6.67,"9,083",39.40,0,-100.00,0,-100.00,29,11.54,"3,550",48.91,-,--,-,--,-,--,"2,300",292.49,57,14.00,410,-9.69,70,9.38,"7,000",9.38,3,0.00,"1,970",103.51,3,200.00,"2,268",218.09,0,--,0,--,2,100.00,"3,356","4,435.14",1,-83.33,"1,282",-33.02,-,--,-,--
2009M01,283,-3.74,"37,450",77.72,14,16.67,342,37.35,131,-0.76,"9,072",36.46,0,-100.00,0,-100.00,32,3.23,"3,580",48.18,-,--,-,--,-,--,0,-100.00,42,-22.22,451,-2.80,55,-1.79,"5,500",-1.79,1,-83.33,311,-87.78,6,200.00,"4,541",239.90,0,--,0,--,2,--,"12,674",966.84,0,--,978,--,-,--,-,--
2009M02,357,27.50,"28,487",-9.69,11,37.50,367,34.43,179,44.35,"9,602",37.37,0,--,0,--,40,60.00,"3,860",52.69,-,--,-,--,-,--,0,--,57,83.87,479,94.72,60,-28.57,"6,000",-28.57,4,33.33,"1,719",44.94,5,25.00,"3,477",22.17,0,--,0,--,1,0.00,"2,769",-64.29,0,--,214,-83.78,-,--,-,--
2009M03,491,85.98,"43,425",-0.18,8,-20.00,362,34.57,161,26.77,"9,923",45.41,0,--,0,--,38,52.00,"3,940",57.35,-,--,-,--,-,--,"2,133",64.97,61,79.41,615,116.55,219,305.56,"21,900",305.56,3,-25.00,"1,784",-18.05,0,-100.00,0,-100.00,0,--,0,--,1,-66.67,"2,603",-87.41,0,-100.00,165,-59.56,-,--,-,--
2009M04,339,62.98,"30,454",29.00,9,200.00,382,49.22,146,16.80,"9,912",44.83,0,--,0,--,34,13.33,"3,930",53.52,-,--,-,--,-,--,"1,002",52.51,55,189.47,480,400.00,85,254.17,"8,500",254.17,7,75.00,"3,790",170.71,2,100.00,"1,275",896.09,0,--,0,--,1,-50.00,"1,182",-85.70,0,--,0,-100.00,-,--,-,--
2009M05,335,58.02,"37,004",86.40,4,-50.00,354,1.14,115,10.58,"9,959",18.98,1,--,24,--,26,18.18,"4,030",26.02,-,--,-,--,-,--,0,--,41,-10.87,392,17.37,136,444.00,"13,600",444.00,4,300.00,"2,834","1,071.07",2,100.00,955,191.16,0,--,0,--,5,25.00,"3,835",13.63,1,0.00,"1,021",-11.60,-,--,-,--
2009M06,317,17.41,"34,513",71.25,7,16.67,347,4.83,135,-12.90,"9,762",16.16,0,--,0,--,34,-12.82,"3,850",19.57,-,--,-,--,-,--,"2,044",46.73,65,103.12,555,123.79,68,100.00,"6,800",100.00,4,33.33,"1,695",14.06,2,--,"1,360",--,0,--,0,--,1,0.00,"5,341",302.49,1,--,"2,760",702.33,-,--,-,--
