期間,合計_原始值,合計_年增率(%),合計_原始值,合計_年增率(%),合計_原始值,合計_年增率(%),合計_原始值,合計_年增率(%),合計_原始值,合計_年增率(%),國內航線_原始值,國內航線_年增率(%),國內航線_原始值,國內航線_年增率(%),國內航線_原始值,國內航線_年增率(%),國內航線_原始值,國內航線_年增率(%),國內航線_原始值,國內航線_年增率(%),國際航線_原始值,國際航線_年增率(%),國際航線_原始值,國際航線_年增率(%),國際航線_原始值,國際航線_年增率(%),國際航線_原始值,國際航線_年增率(%),國際航線_原始值,國際航線_年增率(%)
2011M04,"17,218",4.28,"2,168,019",1.11,"4,733,380",-2.64,"152,967",-6.66,"897,490",-11.35,"7,148",6.12,"443,440",5.14,"116,489",4.57,"4,311",5.56,399,-5.72,"10,070",3.01,"1,724,579",0.12,"4,616,891",-2.81,"148,656",-6.98,"897,091",-11.35
2011M05,"17,556",0.57,"2,135,731",-2.81,"4,831,058",-3.86,"148,106",-14.32,"894,529",-18.35,"7,696",4.08,"481,325",3.31,"123,333",3.97,"4,436",-3.17,415,-10.28,"9,860",-2.01,"1,654,406",-4.45,"4,707,724",-4.05,"143,670",-14.63,"894,115",-18.35
2011M06,"17,509",2.16,"2,281,982",4.55,"5,251,931",2.49,"144,323",-12.50,"874,608",-15.54,"8,120",9.71,"512,256",17.40,"129,618",17.91,"4,774",8.01,467,4.59,"9,389",-3.57,"1,769,726",1.34,"5,122,313",2.15,"139,549",-13.07,"874,141",-15.55
2011M07,"18,959",0.30,"2,568,803",4.28,"5,726,331",3.14,"157,329",-6.76,"944,894",-9.82,"8,943",4.50,"620,303",9.90,"158,973",14.46,"5,364",6.15,437,-0.87,"10,016",-3.17,"1,948,500",2.60,"5,567,358",2.85,"151,965",-7.16,"944,457",-9.83
2011M08,"18,442",0.11,"2,433,011",3.22,"5,739,270",4.79,"147,216",-7.96,"880,218",-10.65,"8,343",2.18,"496,990",-0.24,"129,477",4.69,"4,440",-8.15,411,-21.29,"10,099",-1.54,"1,936,021",4.15,"5,609,792",4.79,"142,776",-7.95,"879,807",-10.64
2011M09,"18,221",10.77,"2,128,251",6.19,"4,879,838",3.79,"141,894",-9.35,"832,310",-13.87,"7,904",19.16,"473,684",27.77,"125,654",32.98,"4,546",7.19,458,-9.88,"10,317",5.09,"1,654,567",1.29,"4,754,184",3.19,"137,348",-9.81,"831,852",-13.87
2011M10,"17,927",7.37,"2,149,269",5.56,"4,924,437",5.07,"153,430",-9.47,"935,507",-11.64,"7,225",8.58,"437,755",18.39,"120,366",24.37,"4,038",-0.42,386,-15.37,"10,702",6.57,"1,711,514",2.72,"4,804,071",4.66,"149,392",-9.70,"935,122",-11.64
2011M11,"16,936",3.45,"2,063,646",1.77,"4,659,243",2.15,"147,846",-7.61,"863,003",-12.61,"6,535",4.44,"386,242",8.87,"107,157",13.66,"4,150",13.26,384,15.95,"10,401",2.84,"1,677,404",0.26,"4,552,086",1.90,"143,696",-8.10,"862,619",-12.62
2011M12,"17,544",3.60,"2,070,589",1.97,"5,069,521",5.09,"151,642",-5.19,"895,769",-6.76,"6,677",4.48,"337,529",3.13,"92,819",8.24,"3,720",6.16,439,20.94,"10,867",3.07,"1,733,060",1.74,"4,976,702",5.03,"147,922",-5.44,"895,330",-6.77
2012M01,"18,400",8.95,"2,278,398",15.34,"5,645,694",11.04,"120,129",-20.69,"685,242",-22.09,"7,640",20.64,"419,535",36.29,"118,682",49.50,"4,968",17.59,463,-3.78,"10,760",1.94,"1,858,863",11.47,"5,527,012",10.43,"115,161",-21.78,"684,779",-22.10
2012M02,"15,352",-2.88,"1,976,233",1.89,"4,676,976",5.40,"128,037",9.33,"748,206",9.40,"5,894",-8.28,"324,736",-11.36,"91,935",-1.67,"3,213",-19.41,303,16.40,"9,458",0.81,"1,651,497",4.97,"4,585,041",5.55,"124,824",10.34,"747,903",9.39
2012M03,"17,533",5.09,"2,233,353",12.44,"5,202,568",8.70,"151,837",-8.85,"870,240",-13.68,"6,480",2.00,"371,704",13.10,"106,453",25.44,"3,555",2.42,373,6.57,"11,053",6.99,"1,861,649",12.30,"5,096,115",8.39,"148,282",-9.09,"869,867",-13.69
