期間,受理件數(件)_原始值,受理件數(件)_年增率(%),受理件數(件)-初次認定申請件數_原始值,受理件數(件)-初次認定申請件數_年增率(%),受理件數(件)-再次認定申請件數_原始值,受理件數(件)-再次認定申請件數_年增率(%),核付件數(件)_原始值,核付件數(件)_年增率(%),核付件數(件)-初次認定核付件數_原始值,核付件數(件)-初次認定核付件數_年增率(%),核付件數(件)-再次認定核付件數_原始值,核付件數(件)-再次認定核付件數_年增率(%),核付金額(千元)_原始值,核付金額(千元)_年增率(%),推介就業人數(人)_原始值,推介就業人數(人)_年增率(%),安排職訓人數(人)_原始值,安排職訓人數(人)_年增率(%)
2006M09,"21,875",0.60,"5,478",1.39,"16,397",0.34,"22,263",0.94,"5,988",10.20,"16,275",-2.09,"401,817",4.16,"1,043",-0.19,505,-36.80
2006M10,"24,452",11.66,"5,595",19.63,"18,857",9.50,"23,946",13.81,"5,526",22.99,"18,420",11.31,"427,626",15.15,"1,212",44.98,343,-35.77
2006M11,"23,199",-0.83,"5,611",11.33,"17,588",-4.17,"23,793",0.87,"5,522",4.60,"18,271",-0.20,"421,676",1.30,"1,225",41.78,282,10.59
2006M12,"25,010",5.76,"5,985",24.79,"19,025",0.91,"23,991",7.13,"5,609",23.66,"18,382",2.93,"423,345",7.12,"1,078",61.14,534,237.97
2007M01,"28,937",27.11,"7,991",35.19,"20,946",24.28,"27,375",23.45,"6,988",37.78,"20,387",19.20,"485,332",24.03,"1,020",104.41,165,5.10
2007M02,"23,178",0.57,"6,815",35.27,"16,363",-9.13,"16,728",-24.51,"4,470",-8.21,"12,258",-29.10,"295,056",-25.29,749,19.65,221,-25.84
2007M03,"32,514",19.26,"6,382",4.71,"26,132",23.46,"37,670",26.70,"8,832",33.53,"28,838",24.75,"670,217",25.10,"1,577",47.25,820,39.69
2007M04,"25,420",24.30,"5,528",24.95,"19,892",24.12,"25,416",29.64,"5,575",31.70,"19,841",29.07,"452,153",28.74,"1,747",89.89,725,112.61
2007M05,"27,728",20.68,"6,189",33.24,"21,539",17.50,"27,866",23.59,"5,989",23.23,"21,877",23.68,"499,045",22.51,"1,659",50.27,"1,420",85.86
2007M06,"23,080",4.20,"4,898",1.18,"18,182",5.05,"23,772",4.49,"5,182",8.93,"18,590",3.32,"428,114",3.67,"1,676",76.42,975,17.19
2007M07,"25,628",18.26,"5,892",7.91,"19,736",21.74,"23,442",12.69,"5,254",5.52,"18,188",14.95,"422,501",12.58,"1,509",68.42,755,0.13
2007M08,"23,745",-0.69,"5,493",-11.91,"18,252",3.28,"25,227",9.46,"5,611",2.69,"19,616",11.56,"454,979",9.72,"2,960",92.96,836,37.27
2007M09,"15,593",-28.72,"3,410",-37.75,"12,183",-25.70,"17,500",-21.39,"3,667",-38.76,"13,833",-15.00,"313,595",-21.96,"2,724",161.17,583,15.45
2007M10,"29,764",21.72,"7,099",26.88,"22,665",20.19,"27,539",15.00,"6,449",16.70,"21,090",14.50,"497,436",16.33,"3,091",155.03,549,60.06
2007M11,"22,816",-1.65,"5,471",-2.50,"17,345",-1.38,"22,286",-6.33,"5,266",-4.64,"17,020",-6.85,"401,850",-4.70,"3,361",174.37,510,80.85
2007M12,"21,686",-13.29,"5,079",-15.14,"16,607",-12.71,"24,038",0.20,"5,280",-5.87,"18,758",2.05,"432,741",2.22,"2,955",174.12,910,70.41
2008M01,"30,021",3.75,"8,890",11.25,"21,131",0.88,"29,719",8.56,"8,487",21.45,"21,232",4.14,"531,904",9.60,"2,438",139.02,238,44.24
2008M02,"24,554",5.94,"5,505",-19.22,"19,049",16.42,"20,972",25.37,"5,615",25.62,"15,357",25.28,"373,661",26.64,"2,468",229.51,286,29.41
2008M03,"28,626",-11.96,"6,842",7.21,"21,784",-16.64,"28,009",-25.65,"5,767",-34.70,"22,242",-22.87,"500,559",-25.31,"4,039",156.12,762,-7.07
2008M04,"27,297",7.38,"7,091",28.27,"20,206",1.58,"26,976",6.14,"6,780",21.61,"20,196",1.79,"483,761",6.99,"3,666",109.85,"1,254",72.97
2008M05,"26,902",-2.98,"6,211",0.36,"20,691",-3.94,"26,273",-5.72,"6,158",2.82,"20,115",-8.05,"471,202",-5.58,"3,744",125.68,693,-51.20
2008M06,"25,269",9.48,"5,594",14.21,"19,675",8.21,"24,528",3.18,"5,308",2.43,"19,220",3.39,"441,344",3.09,"3,315",97.79,"1,109",13.74
2008M07,"28,667",11.86,"7,142",21.22,"21,525",9.06,"27,684",18.10,"5,971",13.65,"21,713",19.38,"501,227",18.63,"3,042",101.59,929,23.05
2008M08,"27,251",14.77,"7,748",41.05,"19,503",6.85,"27,222",7.91,"7,704",37.30,"19,518",-0.50,"495,177",8.84,"3,641",23.01,"1,026",22.73
2008M09,"29,001",85.99,"7,830",129.62,"21,171",73.77,"27,770",58.69,"7,740",111.07,"20,030",44.80,"505,397",61.16,"3,411",25.22,731,25.39
2008M10,"36,072",21.19,"10,271",44.68,"25,801",13.84,"35,268",28.07,"9,557",48.19,"25,711",21.91,"641,410",28.94,"3,108",0.55,560,2.00
2008M11,"37,970",66.42,"14,304",161.45,"23,666",36.44,"32,518",45.91,"10,635",101.96,"21,883",28.57,"583,230",45.14,"2,741",-18.45,430,-15.69
2008M12,"67,842",212.84,"30,284",496.26,"37,558",126.16,"63,251",163.13,"26,773",407.06,"36,478",94.47,"1,117,000",158.12,"3,536",19.66,"1,705",87.36
2009M01,"72,548",141.66,"33,079",272.09,"39,469",86.78,"55,152",85.58,"25,359",198.80,"29,793",40.32,"961,258",80.72,"3,086",26.58,"1,101",362.61
2009M02,"120,195",389.51,"35,208",539.56,"84,987",346.15,"116,570",455.84,"38,563",586.79,"78,007",407.96,"2,036,649",445.05,"5,775",134.00,"2,868",902.80
2009M03,"124,460",334.78,"28,043",309.87,"96,417",342.60,"123,859",342.21,"27,165",371.04,"96,694",334.74,"2,139,905",327.50,"8,250",104.26,"2,774",264.04
