期間,合計_原始值,合計_年增率(%),政府_原始值,政府_年增率(%),公營事業_原始值,公營事業_年增率(%),民營企業_原始值,民營企業_年增率(%),個人及其他_原始值,個人及其他_年增率(%)
2001,"14,549,914",6.38,"764,115",6.75,"158,724",-39.81,"2,992,014",-6.03,"10,635,061",11.78
2002,"14,962,324",2.83,"691,510",-9.50,"144,320",-9.07,"3,103,038",3.71,"11,023,456",3.65
2003,"15,946,296",6.58,"709,255",2.57,"149,807",3.80,"3,396,383",9.45,"11,690,851",6.05
2004,"17,083,597",7.13,"682,356",-3.79,"139,598",-6.81,"3,668,909",8.02,"12,592,734",7.71
