期間,合計_原始值,合計_年增率(%),銀行對顧客市場--小計_原始值,銀行對顧客市場--小計_年增率(%),銀行對顧客市場--即期_原始值,銀行對顧客市場--即期_年增率(%),銀行對顧客市場--遠期_原始值,銀行對顧客市場--遠期_年增率(%),銀行對顧客市場--換匯_原始值,銀行對顧客市場--換匯_年增率(%),銀行對顧客市場--保證金交易_原始值,銀行對顧客市場--保證金交易_年增率(%),銀行對顧客市場--選擇權_原始值,銀行對顧客市場--選擇權_年增率(%),銀行對顧客市場--換匯換利_原始值,銀行對顧客市場--換匯換利_年增率(%),銀行間市場--小計_原始值,銀行間市場--小計_年增率(%),銀行間市場--即期_原始值,銀行間市場--即期_年增率(%),銀行間市場--遠期_原始值,銀行間市場--遠期_年增率(%),銀行間市場--換匯_原始值,銀行間市場--換匯_年增率(%),銀行間市場--選擇權_原始值,銀行間市場--選擇權_年增率(%),銀行間市場--換匯換利_原始值,銀行間市場--換匯換利_年增率(%),全體外匯銀行外匯交易淨部位(期底數)_原始值,全體外匯銀行外匯交易淨部位(期底數)_年增率(%),外匯存底(期底數)_原始值,外匯存底(期底數)_年增率(%)
2010M01,"20,293",46.60,"4,779",21.63,"2,637",21.63,548,-5.84,"1,053",26.11,74,-26.00,400,95.12,67,71.79,"15,514",56.50,"6,288",34.10,804,36.97,"6,995",76.11,"1,405",132.62,22,-63.93,278,--,"350,711",19.83
2010M02,"19,850",45.76,"4,733",25.51,"2,523",27.55,497,11.69,"1,074",10.61,66,-20.48,509,89.22,64,156.00,"15,117",53.52,"5,594",29.01,583,-2.67,"7,517",81.13,"1,389",104.87,34,-59.52,157,--,"352,729",19.90
2010M03,"19,274",30.57,"4,671",28.50,"2,561",20.23,494,18.47,"1,110",56.78,65,-35.00,378,44.83,63,231.58,"14,603",31.25,"5,765",9.35,581,-17.47,"6,981",60.04,"1,205",67.13,71,5.97,110,--,"355,035",18.30
2010M04,"20,785",40.16,"5,200",39.52,"2,899",40.46,671,41.26,"1,057",28.43,81,-13.83,450,85.95,42,44.83,"15,585",40.38,"6,326",25.04,782,15.68,"7,048",51.90,"1,397",106.96,32,-38.46,-28,--,"357,557",17.36
2010M05,"22,529",28.03,"5,246",5.87,"2,969",3.41,664,13.70,935,-4.98,108,16.13,468,32.58,102,45.71,"17,283",36.71,"7,335",39.13,638,-17.57,"7,959",41.72,"1,265",47.44,86,-29.51,284,--,"360,123",15.19
2010M06,"19,148",19.99,"4,875",14.60,"2,755",14.60,508,14.41,"1,160",21.98,84,3.70,328,0.61,40,-16.67,"14,273",21.95,"5,321",1.78,562,-0.71,"7,357",46.12,"1,015",23.78,18,-67.27,319,--,"362,378",14.11
2010M07,"19,529",28.15,"4,785",20.77,"2,536",10.84,532,24.88,"1,273",59.52,69,-1.43,327,2.83,48,-22.58,"14,744",30.74,"5,689",27.93,472,-29.13,"7,490",46.32,"1,065",13.06,28,-72.82,93,--,"370,108",15.26
2010M08,"20,152",20.61,"4,652",11.08,"2,478",19.31,482,-8.19,"1,290",18.46,65,-14.47,312,-10.60,25,-65.28,"15,500",23.79,"6,052",28.60,598,-4.78,"7,435",24.08,"1,400",19.76,15,-42.31,344,--,"372,063",14.33
2010M09,"21,126",18.94,"5,056",18.80,"2,743",14.87,545,2.44,"1,346",58.54,72,4.35,320,-12.57,30,-42.31,"16,070",18.98,"6,081",15.70,674,3.22,"7,687",22.04,"1,601",29.11,27,-53.45,22,--,"380,505",14.53
2010M10,"21,072",10.49,"5,285",14.39,"3,057",15.53,520,0.00,"1,245",29.42,59,-24.36,298,-21.37,106,202.86,"15,787",9.24,"6,208",11.27,608,-0.82,"7,452",6.35,"1,476",22.08,43,-2.27,190,--,"383,835",12.49
2010M11,"20,030",6.52,"5,177",12.74,"2,993",20.30,445,-9.92,"1,285",19.09,59,-25.32,301,-22.22,94,44.62,"14,853",4.51,"5,834",10.68,577,-7.97,"6,923",-2.00,"1,487",23.30,32,-27.27,483,--,"379,257",9.24
2010M12,"18,993",15.28,"4,969",10.82,"2,656",-0.08,486,-7.78,"1,548",74.92,68,-4.23,195,-35.43,16,-60.98,"14,024",16.94,"4,757",16.79,517,18.85,"7,536",13.29,"1,186",45.70,28,55.56,118,--,"382,005",9.71
2011M01,"23,023",13.45,"5,470",14.46,"2,797",6.07,546,-0.36,"1,622",54.04,90,21.62,370,-7.50,45,-32.84,"17,553",13.14,"7,185",14.27,596,-25.87,"8,163",16.70,"1,549",10.25,60,172.73,180,--,"387,111",10.38
2011M02,"24,055",21.18,"6,088",28.63,"3,257",29.09,678,36.42,"1,678",56.24,90,36.36,330,-35.17,55,-14.06,"17,967",18.85,"7,663",36.99,642,10.12,"8,098",7.73,"1,516",9.14,48,41.18,364,--,"390,690",10.76
2011M03,"22,486",16.66,"5,770",23.53,"3,018",17.84,508,2.83,"1,726",55.50,82,26.15,342,-9.52,94,49.21,"16,716",14.47,"6,994",21.32,623,7.23,"7,486",7.23,"1,561",29.54,52,-26.76,70,--,"392,626",10.59
2011M04,"24,163",16.25,"6,278",20.73,"3,302",13.90,756,12.67,"1,703",61.12,74,-8.64,388,-13.78,55,30.95,"17,885",14.76,"7,337",15.98,917,17.26,"7,924",12.43,"1,670",19.54,37,15.63,112,--,"399,541",11.74
2011M05,"24,401",8.31,"6,269",19.50,"3,440",15.86,618,-6.93,"1,691",80.86,63,-41.67,417,-10.90,40,-60.78,"18,132",4.91,"8,075",10.09,666,4.39,"7,392",-7.12,"1,957",54.70,42,-51.16,298,--,"398,683",10.71
