期間,發行部門-其他貨幣機構_原始值,發行部門-其他貨幣機構_年增率(%),發行部門-其他金融機構_原始值,發行部門-其他金融機構_年增率(%),發行部門-民營企業_原始值,發行部門-民營企業_年增率(%),發行部門-國外_原始值,發行部門-國外_年增率(%),持有部門-其他貨幣機構_原始值,持有部門-其他貨幣機構_年增率(%),持有部門-保險公司及退休基金_原始值,持有部門-保險公司及退休基金_年增率(%),持有部門-其他金融機構_原始值,持有部門-其他金融機構_年增率(%),持有部門-公營事業_原始值,持有部門-公營事業_年增率(%),持有部門-民營企業_原始值,持有部門-民營企業_年增率(%),持有部門-家庭及非營利團體_原始值,持有部門-家庭及非營利團體_年增率(%),持有部門-國外_原始值,持有部門-國外_年增率(%)
2006,"23,214",-55.40,"37,711",-8.85,"156,589",-34.68,"6,457,906",33.38,"822,111",20.45,"2,197,833",18.24,"437,874",89.94,-,--,"84,306",-11.18,"2,940,073",42.10,"193,223",-19.18
2007,"31,575",36.02,"17,736",-52.97,"129,091",-17.56,"8,086,900",25.22,"972,142",18.25,"2,538,608",15.51,"578,392",32.09,-,--,"86,915",3.09,"3,950,410",34.36,"138,835",-28.15
2008,"29,497",-6.58,"13,142",-25.90,"107,204",-16.95,"6,191,294",-23.44,"988,824",1.72,"2,553,038",0.57,"250,876",-56.63,19,--,"54,242",-37.59,"2,374,153",-39.90,"119,985",-13.58
