期間,放款_原始值,放款_年增率(%),投資--對非金融機構證券投資--政府機關_原始值,投資--對非金融機構證券投資--政府機關_年增率(%),投資--對非金融機構證券投資--公營事業_原始值,投資--對非金融機構證券投資--公營事業_年增率(%),投資--對非金融機構證券投資--民營事業_原始值,投資--對非金融機構證券投資--民營事業_年增率(%),對金融機構證券投資_原始值,對金融機構證券投資_年增率(%),對金融機構債權_原始值,對金融機構債權_年增率(%),庫存現金_原始值,庫存現金_年增率(%),資產合計(淨額)=負債合計(淨額)_原始值,資產合計(淨額)=負債合計(淨額)_年增率(%),借入款_原始值,借入款_年增率(%),應付融券價款_原始值,應付融券價款_年增率(%),存入保證金_原始值,存入保證金_年增率(%),應付票據_原始值,應付票據_年增率(%),其他項目(淨額)_原始值,其他項目(淨額)_年增率(%)
2001,"61,000",-3.17,"7,728",160.90,-,-,"15,847",-13.65,888,-71.39,"3,826",21.42,3,0.00,"89,292",-1.41,"18,144",6.40,"8,410",37.53,"7,498",8.31,"31,512",-13.36,"23,728",-1.58
2002,"57,433",-5.85,"4,175",-45.98,-,-,"13,217",-16.60,"2,754",210.14,"3,683",-3.74,3,0.00,"81,265",-8.99,"18,820",3.73,"8,857",5.32,"7,133",-4.87,"22,435",-28.80,"24,020",1.23
2003,"61,567",7.20,"4,605",10.30,46,-,"12,347",-6.58,"2,566",-6.83,"3,297",-10.48,3,0.00,"84,431",3.90,"23,772",26.31,"4,579",-48.30,"3,791",-46.85,"25,910",15.49,"26,379",9.82
2004,"57,049",-7.34,"3,626",-21.26,46,0.00,"12,207",-1.13,"4,009",56.24,"5,905",79.10,3,0.00,"82,845",-1.88,"20,163",-15.18,"6,161",34.55,"5,210",37.43,"24,680",-4.75,"26,631",0.96
