期間,總件數_原始值,總件數_年增率(%),室外集會_原始值,室外集會_年增率(%),室外遊行_原始值,室外遊行_年增率(%),室內集會_原始值,室內集會_年增率(%),申請核准_原始值,申請核准_年增率(%),申請不核准_原始值,申請不核准_年增率(%),未申請_原始值,未申請_年增率(%),政治性_原始值,政治性_年增率(%),社會性_原始值,社會性_年增率(%),經濟性_原始值,經濟性_年增率(%),涉外性_原始值,涉外性_年增率(%),其他活動性質_原始值,其他活動性質_年增率(%),使用警力(人次)_原始值,使用警力(人次)_年增率(%)
2008M03,"1,393",909.42,739,669.79,624,"1,735.29",30,275.00,"1,362","1,222.33",2,100.00,29,-14.71,"1,290","1,317.58",75,114.29,20,300.00,1,0.00,7,16.67,"127,665","1,378.97"
2008M04,45,-71.52,37,-65.74,7,-82.50,1,-90.00,23,-83.45,1,--,21,10.53,23,-79.46,16,-52.94,3,-62.50,2,0.00,1,-50.00,"3,114",-76.43
2008M05,53,-65.58,30,-72.48,17,-54.05,6,-25.00,37,-67.26,0,-100.00,16,-58.97,25,-75.96,21,-41.67,4,-63.64,1,--,2,-33.33,"3,500",-73.97
2008M06,68,-31.31,41,-35.94,23,-25.81,4,0.00,43,-41.10,1,0.00,24,-4.00,23,-64.62,29,31.82,7,-22.22,5,--,4,33.33,"5,871",0.81
2008M07,49,-26.87,36,-21.74,5,-64.29,8,14.29,21,-41.67,0,-100.00,28,3.70,20,-42.86,21,-16.00,4,0.00,2,100.00,2,0.00,"3,292",-21.24
2008M08,113,44.87,92,55.93,17,6.25,4,33.33,65,30.00,0,--,48,71.43,40,-13.04,61,144.00,6,-14.29,1,--,5,--,"7,661",-16.42
2008M09,110,-11.29,89,-14.42,11,-26.67,10,100.00,63,-24.10,1,0.00,46,15.00,32,-50.00,64,25.49,5,66.67,0,-100.00,9,350.00,"5,833",-52.45
2008M10,93,-65.93,74,-61.86,15,-79.45,4,-33.33,47,-80.33,2,-33.33,44,41.94,42,-80.91,48,45.45,3,-81.25,0,--,0,-100.00,"19,094",10.44
2008M11,146,-68.53,104,-71.89,33,-62.92,9,80.00,87,-80.27,0,-100.00,59,168.18,97,-76.63,33,-13.16,6,-14.29,3,--,7,75.00,"16,546",-41.97
2008M12,87,-93.36,61,-94.36,26,-86.93,0,-100.00,50,-96.03,0,-100.00,37,-21.28,35,-97.04,37,-61.05,13,-35.00,1,-85.71,1,-80.00,"8,400",-86.30
2009M01,59,-94.79,41,-92.18,14,-97.63,4,-76.47,33,-96.90,0,-100.00,26,-59.38,22,-97.83,17,-82.47,15,-31.82,2,--,3,200.00,"7,833",-88.48
2009M02,94,-72.91,76,-73.14,15,-74.14,3,-50.00,66,-80.06,1,0.00,27,80.00,63,-79.48,28,-12.50,2,-60.00,1,--,0,-100.00,"9,604",-52.82
