期間,總計,未(稍)受污染,輕度污染,中度污染,嚴重污染
2004,"2,904.2","1,860.1",284.8,537.4,222.0
2005,"2,904.2","1,864.9",287.8,572.5,179.1
2006,"2,933.9","1,922.7",263.3,573.2,174.7
