期間,放款_原始值,放款_年增率(%),投資--對非金融機構證券投資--政府機關_原始值,投資--對非金融機構證券投資--政府機關_年增率(%),投資--對非金融機構證券投資--公營事業_原始值,投資--對非金融機構證券投資--公營事業_年增率(%),投資--對非金融機構證券投資--民營事業_原始值,投資--對非金融機構證券投資--民營事業_年增率(%),投資---對金融機構投資_原始值,投資---對金融機構投資_年增率(%),投資--不動產投資_原始值,投資--不動產投資_年增率(%),對金融機構債權_原始值,對金融機構債權_年增率(%),庫存現金_原始值,庫存現金_年增率(%),資產合計(淨額)=負債合計(淨額)_原始值,資產合計(淨額)=負債合計(淨額)_年增率(%),各項準備_原始值,各項準備_年增率(%),淨值_原始值,淨值_年增率(%),其他項目(淨額)_原始值,其他項目(淨額)_年增率(%)
1997,"2,965",0.82,"8,503",32.71,341,1.49,"27,600",78.79,"3,134",2.42,"11,222",12.73,"46,447",15.98,109,-26.85,"100,321",28.07,"54,658",8.91,"59,914",47.88,"-14,251",--
1998,"3,498",17.98,"9,561",12.44,573,68.04,"39,873",44.47,"4,543",44.96,"12,671",12.91,"47,032",1.26,107,-1.83,"117,858",17.48,"60,562",10.80,"67,654",12.92,"-10,358",--
1999,"3,336",-4.63,"13,448",40.65,458,-20.07,"45,441",13.96,"5,418",19.26,"12,856",1.46,"47,246",0.46,111,3.74,"128,314",8.87,"71,933",18.78,"75,959",12.28,"-19,578",--
2000,"4,142",24.16,"18,192",35.28,304,-33.62,"52,783",16.16,"7,675",41.66,"13,727",6.78,"45,622",-3.44,112,0.90,"142,557",11.10,"76,871",6.86,"81,108",6.78,"-15,422",--
