期間,出生人數_原始值,出生人數_年增率(%),粗出生率(0/00)_原始值,粗出生率(0/00)_年增率(%),男性出生人數_原始值,男性出生人數_年增率(%),女性出生人數_原始值,女性出生人數_年增率(%),死亡人數_原始值,死亡人數_年增率(%),粗死亡率(0/00)_原始值,粗死亡率(0/00)_年增率(%),男性死亡人數_原始值,男性死亡人數_年增率(%),女性死亡人數_原始值,女性死亡人數_年增率(%),自然增加-人數_原始值,自然增加-人數_年增率(%),自然增加-增加率(0/00)_原始值,自然增加-增加率(0/00)_年增率(%),社會增加-增加人數_原始值,社會增加-增加人數_年增率(%),社會增加-增加率(0/00)_原始值,社會增加-增加率(0/00)_年增率(%),總增加-增加人數_原始值,總增加-增加人數_年增率(%),總增加-總增加率(0/00)_原始值,總增加-總增加率(0/00)_年增率(%),婚生-計_原始值,婚生-計_年增率(%),婚生-男性_原始值,婚生-男性_年增率(%),婚生-女性_原始值,婚生-女性_年增率(%),非婚生-已認領-計_原始值,非婚生-已認領-計_年增率(%),非婚生-已認領-男性_原始值,非婚生-已認領-男性_年增率(%),非婚生-已認領-女性_原始值,非婚生-已認領-女性_年增率(%),非婚生-未認領-計_原始值,非婚生-未認領-計_年增率(%),非婚生-未認領-男性_原始值,非婚生-未認領-男性_年增率(%),非婚生-未認領-女性_原始值,非婚生-未認領-女性_年增率(%),棄嬰或無依兒童-計_原始值,棄嬰或無依兒童-計_年增率(%),棄嬰或無依兒童-男性_原始值,棄嬰或無依兒童-男性_年增率(%),棄嬰或無依兒童-女性_原始值,棄嬰或無依兒童-女性_年增率(%),出生登記人數-遺腹子-計_原始值,出生登記人數-遺腹子-計_年增率(%),出生登記人數-遺腹子-男性_原始值,出生登記人數-遺腹子-男性_年增率(%),出生登記人數-遺腹子-女性_原始值,出生登記人數-遺腹子-女性_年增率(%),出生登記人數-雙生者-計_原始值,出生登記人數-雙生者-計_年增率(%),出生登記人數-雙生者-男性_原始值,出生登記人數-雙生者-男性_年增率(%),出生登記人數-雙生者-女性_原始值,出生登記人數-雙生者-女性_年增率(%),出生登記人數-三生以上者-計_原始值,出生登記人數-三生以上者-計_年增率(%),出生登記人數-三生以上者-男性_原始值,出生登記人數-三生以上者-男性_年增率(%),出生登記人數-三生以上者-女性_原始值,出生登記人數-三生以上者-女性_年增率(%)
2003M09,"19,813",-4.45,0.88,-,"10,344",-4.69,"9,469",-4.18,"10,507",5.97,0.47,-,"6,522",6.64,"3,985",4.90,"9,306",-,0.41,-,"-2,544",-,-0.11,-,"6,762",-,0.30,-,"19,092",-4.46,"9,975",-4.61,"9,117",-4.29,249,-7.43,116,-12.78,133,-2.21,461,-3.56,246,-5.75,215,-0.92,11,120.00,7,250.00,4,33.33,2,-83.33,1,-75.00,1,-87.50,503,-6.85,268,-2.55,235,-11.32,18,100.00,10,400.00,8,14.29
2003M10,"20,646",-10.91,0.91,-,"10,918",-9.90,"9,728",-12.02,"10,703",0.25,0.47,-,"6,578",0.00,"4,125",0.66,"9,943",-,0.44,-,373,-,0.02,-,"10,316",-,0.46,-,"19,927",-10.88,"10,559",-9.77,"9,368",-12.10,233,-7.54,117,-8.59,116,-6.45,482,-13.93,241,-15.73,241,-12.04,4,33.33,1,-50.00,3,200.00,6,-25.00,4,0.00,2,-50.00,436,-19.56,229,-20.49,207,-18.50,13,-27.78,7,0.00,6,-45.45
2003M11,"18,815",-10.91,0.83,-,"9,845",-10.99,"8,970",-10.83,"9,680",-1.91,0.43,-,"5,909",-3.45,"3,771",0.61,"9,135",-,0.40,-,225,-,0.01,-,"9,360",-,0.41,-,"18,194",-10.98,"9,513",-10.91,"8,681",-11.05,228,1.33,115,-4.96,113,8.65,387,-14.95,213,-17.76,174,-11.22,6,100.00,4,33.33,2,--,5,0.00,3,-25.00,2,100.00,395,-21.47,190,-16.30,205,-25.72,15,-31.82,11,-15.38,4,-55.56
2003M12,"21,587",-6.43,0.96,-,"11,350",-6.48,"10,237",-6.37,"11,885",7.75,0.53,-,"7,342",8.23,"4,543",6.99,"9,702",-,0.43,-,"1,207",-,0.05,-,"10,909",-,0.48,-,"20,859",-6.54,"10,966",-6.49,"9,893",-6.60,283,12.75,161,21.97,122,2.52,440,-11.29,220,-20.58,220,0.46,5,25.00,3,200.00,2,-33.33,3,-57.14,3,0.00,0,-100.00,584,3.36,321,3.55,263,3.14,20,-4.76,9,-40.00,11,83.33
2004M01,"16,531",-15.37,0.73,-,"8,700",-13.61,"7,831",-17.24,"11,168",-0.85,0.49,-,"6,942",0.06,"4,226",-2.31,"5,363",-,0.24,-,752,-,0.03,-,"6,115",-,0.27,-,"16,008",-14.89,"8,425",-13.20,"7,583",-16.69,199,-20.72,98,-19.67,101,-21.71,324,-30.02,177,-25.94,147,-34.38,0,-100.00,0,-100.00,0,-100.00,4,-55.56,3,-40.00,1,-75.00,424,-13.29,232,-6.45,192,-20.33,13,-48.00,6,-40.00,7,-53.33
2004M02,"17,128",-2.83,0.76,-,"8,935",-3.11,"8,193",-2.51,"12,849",13.02,0.57,-,"7,962",13.21,"4,887",12.71,"4,279",-,0.19,-,"1,053",-,0.05,-,"5,332",-,0.24,-,"16,502",-3.07,"8,605",-3.57,"7,897",-2.52,266,29.76,133,34.34,133,25.47,355,-9.44,194,-2.02,161,-17.01,5,25.00,3,200.00,2,-33.33,6,20.00,4,33.33,2,0.00,350,-16.27,168,-24.32,182,-7.14,15,50.00,8,33.33,7,75.00
2004M03,"18,735",-2.99,0.83,-,"9,962",-1.35,"8,773",-4.79,"12,742",8.30,0.56,-,"7,820",9.14,"4,922",7.00,"5,993",-,0.26,-,-512,-,-0.02,-,"5,481",-,0.24,-,"18,044",-2.92,"9,613",-1.21,"8,431",-4.79,279,5.68,134,-6.94,145,20.83,409,-10.50,214,-2.73,195,-17.72,3,-40.00,1,-66.67,2,0.00,5,0.00,1,-66.67,4,100.00,429,-4.67,225,-7.79,204,-0.97,15,7.14,6,0.00,9,12.50
2004M04,"17,274",-4.52,0.76,-,"8,976",-5.63,"8,298",-3.29,"11,297",0.49,0.50,-,"7,003",1.10,"4,294",-0.49,"5,977",-,0.26,-,-866,-,-0.04,-,"5,111",-,0.23,-,"16,624",-4.61,"8,634",-5.68,"7,990",-3.43,270,17.39,146,9.77,124,27.84,374,-12.82,193,-12.67,181,-12.98,6,20.00,3,-25.00,3,200.00,6,20.00,4,33.33,2,0.00,455,1.56,252,4.56,203,-1.93,35,133.33,23,130.00,12,140.00
2004M05,"16,527",-6.28,0.73,-,"8,811",-5.45,"7,716",-7.20,"10,369",-7.84,0.46,-,"6,429",-6.28,"3,940",-10.27,"6,158",-,0.27,-,-86,-,0.00,-,"6,072",-,0.27,-,"15,927",-6.27,"8,482",-5.58,"7,445",-7.04,251,12.56,143,25.44,108,-0.92,342,-17.79,181,-17.73,161,-17.86,7,133.33,5,150.00,2,100.00,5,25.00,3,0.00,2,100.00,472,6.79,258,13.16,214,0.00,15,0.00,4,-66.67,11,266.67
2004M06,"16,524",-5.30,0.73,-,"8,717",-3.94,"7,807",-6.76,"10,504",0.10,0.46,-,"6,494",0.57,"4,010",-0.64,"6,020",-,0.27,-,"1,569",-,0.07,-,"7,589",-,0.34,-,"15,915",-5.36,"8,372",-4.39,"7,543",-6.43,257,10.30,143,26.55,114,-5.00,344,-13.13,198,-2.94,146,-23.96,8,300.00,4,100.00,4,--,10,66.67,4,0.00,6,200.00,472,9.77,264,14.29,208,4.52,16,-27.27,7,-41.67,9,-10.00
2004M07,"16,897",-12.76,0.75,-,"8,889",-12.36,"8,008",-13.19,"10,695",-5.09,0.47,-,"6,627",-3.01,"4,068",-8.30,"6,202",-,0.27,-,708,-,0.03,-,"6,910",-,0.31,-,"16,264",-12.96,"8,550",-12.44,"7,714",-13.52,257,-4.81,140,-12.50,117,6.36,370,-9.76,195,-9.30,175,-10.26,6,100.00,4,33.33,2,--,3,-62.50,0,-100.00,3,-50.00,433,-8.07,220,-16.03,213,1.91,10,-70.59,6,-57.14,4,-80.00
2004M08,"17,932",4.28,0.79,-,"9,558",5.18,"8,374",3.27,"10,853",15.79,0.48,-,"6,722",15.50,"4,131",16.27,"7,079",-,0.31,-,-597,-,-0.03,-,"6,482",-,0.29,-,"17,235",4.04,"9,181",4.70,"8,054",3.31,294,39.34,164,46.43,130,31.31,396,-5.04,210,2.44,186,-12.26,7,133.33,3,200.00,4,100.00,11,120.00,6,200.00,5,66.67,486,12.50,246,5.58,240,20.60,16,60.00,9,125.00,7,16.67
