期間,進口合計_原始值,進口合計_年增率(%),進口合計_原始值,進口合計_年增率(%),進口-資本設備_原始值,進口-資本設備_年增率(%),進口-資本設備_原始值,進口-資本設備_年增率(%),進口-農工原料_原始值,進口-農工原料_年增率(%),進口-農工原料_原始值,進口-農工原料_年增率(%),進口-消費品_原始值,進口-消費品_年增率(%),進口-消費品_原始值,進口-消費品_年增率(%),出口合計_原始值,出口合計_年增率(%),出口合計_原始值,出口合計_年增率(%),出口-農產品_原始值,出口-農產品_年增率(%),出口-農產品_原始值,出口-農產品_年增率(%),出口-農產加工品_原始值,出口-農產加工品_年增率(%),出口-農產加工品_原始值,出口-農產加工品_年增率(%),出口-工業產品-小計_原始值,出口-工業產品-小計_年增率(%),出口-工業產品-小計_原始值,出口-工業產品-小計_年增率(%),出口-工業產品-重化工業產品_原始值,出口-工業產品-重化工業產品_年增率(%),出口-工業產品-重化工業產品_原始值,出口-工業產品-重化工業產品_年增率(%),出口-工業產品-非重化工業產品_原始值,出口-工業產品-非重化工業產品_年增率(%),出口-工業產品-非重化工業產品_原始值,出口-工業產品-非重化工業產品_年增率(%)
2009,"5,757,178",-23.76,"174,370.5",-27.48,"754,065",-18.45,"22,850.0",-22.32,"4,415,342",-26.82,"133,742.2",-30.43,"533,529",-2.03,"16,137.9",-6.55,"6,708,884",-16.25,"203,674.9",-20.32,"16,397",-3.84,496.4,-8.78,"60,951",-10.55,"1,848.5",-14.69,"6,631,534",-16.32,"201,329.8",-20.40,"5,540,534",-16.56,"168,240.4",-20.62,"1,091,002",-15.11,"33,089.2",-19.23
2010,"7,943,487",37.98,"251,236.4",44.08,"1,218,924",61.65,"38,582.0",68.85,"6,015,144",36.23,"190,200.9",42.21,"643,382",20.59,"20,363.1",26.18,"8,656,832",29.04,"274,600.5",34.82,"23,635",44.14,749.8,51.05,"68,131",11.78,"2,161.7",16.94,"8,565,065",29.16,"271,689.1",34.95,"7,100,911",28.16,"225,241.3",33.88,"1,464,154",34.20,"46,447.8",40.37
2011,"8,280,371",4.24,"281,437.6",12.02,"1,071,017",-12.13,"36,420.6",-5.60,"6,425,780",6.83,"218,425.3",14.84,"713,291",10.87,"24,213.8",18.91,"9,041,593",4.44,"308,257.3",12.26,"26,396",11.68,900.4,20.09,"77,990",14.47,"2,656.7",22.90,"8,937,206",4.34,"304,700.2",12.15,"7,381,027",3.94,"251,654.0",11.73,"1,556,179",6.29,"53,046.3",14.21
2012,"8,021,456",-3.13,"270,472.6",-3.90,"1,007,498",-5.93,"33,971.5",-6.72,"6,200,955",-3.50,"209,083.8",-4.28,"749,511",5.08,"25,276.1",4.39,"8,899,965",-1.57,"301,180.9",-2.30,"26,012",-1.45,879.9,-2.28,"90,381",15.89,"3,057.8",15.10,"8,783,573",-1.72,"297,243.2",-2.45,"7,209,934",-2.32,"243,999.9",-3.04,"1,573,639",1.12,"53,243.3",0.37
2013,"8,015,617",-0.07,"269,896.8",-0.21,"1,062,059",5.42,"35,763.4",5.27,"6,063,104",-2.22,"204,141.2",-2.36,"796,560",6.28,"26,826.5",6.13,"9,042,805",1.60,"305,441.2",1.41,"25,886",-0.48,874.6,-0.60,"90,607",0.25,"3,060.2",0.08,"8,926,313",1.63,"301,506.4",1.43,"7,360,606",2.09,"248,621.9",1.89,"1,565,706",-0.50,"52,889.2",-0.67
