期間,金融業拆款,商業本票--初級市場--1-30天,商業本票--初級市場--31-90天,商業本票--初級市場--91-180天,商業本票--次級市場--1-30天,商業本票--次級市場--31-90天,商業本票--次級市場--91-180天,可轉讓定期存單--次級市場--1-90天,可轉讓定期存單--次級市場--91-180天,銀行承兌匯票--次級市場--1-30天,銀行承兌匯票--次級市場--31-90天,銀行承兌匯票--次級市場--91-180天,國庫券--初級市場--1-91天,國庫券--初級市場--92-182天,國庫券--初級市場--183-364天,中央銀行定期存單--初級市場--1-30天,中央銀行定期存單--初級市場--31-91天,中央銀行定期存單--初級市場--92-182天,公債附條件交易利率--次級市場--1-30天,公債附條件交易利率--次級市場--31-90天,公債附條件交易利率--次級市場--91-180天
2010M01,0.108,0.40,0.52,0.45,0.24,0.30,0.41,0.28,0.61,0.23,0.31,-,0.18,-,-,0.57,0.61,0.71,0.18,0.24,0.30
2010M02,0.104,0.43,0.59,0.38,0.25,0.27,0.37,0.31,0.71,0.19,0.27,0.23,-,0.18,-,0.57,0.61,0.71,0.19,0.24,0.25
2010M03,0.130,0.42,0.51,0.69,0.26,0.33,0.47,0.30,0.42,0.24,0.31,0.29,-,-,0.69,0.57,0.61,0.71,0.21,0.26,0.28
2010M04,0.164,0.43,0.60,0.74,0.30,0.35,0.46,0.33,0.48,0.28,0.27,0.29,-,0.50,-,0.57,0.61,0.71,0.24,0.28,0.29
2010M05,0.174,0.42,0.51,0.59,0.30,0.33,0.39,0.31,0.43,0.28,0.31,0.25,-,-,0.57,0.57,0.61,0.71,0.26,0.30,0.30
2010M06,0.183,0.44,0.71,0.58,0.31,0.35,0.37,0.33,0.41,0.30,0.32,-,-,-,-,0.59,0.63,0.73,0.27,0.32,0.30
2010M07,0.196,0.44,0.51,0.55,0.34,0.39,0.46,0.33,0.48,0.30,0.36,0.38,0.36,-,-,0.63,0.67,0.77,0.30,0.34,0.32
2010M08,0.203,0.47,0.54,0.58,0.35,0.39,0.43,0.37,0.44,0.32,0.40,-,-,-,0.45,0.63,0.67,0.77,0.33,0.35,0.34
2010M09,0.210,0.47,0.62,0.63,0.37,0.42,0.55,0.41,0.46,0.35,0.39,-,-,0.55,-,0.63,0.67,0.77,0.35,0.36,0.35
2010M10,0.226,0.51,0.55,0.63,0.41,0.45,0.49,0.45,0.65,0.42,0.43,-,-,-,0.65,0.69,0.73,0.83,0.38,0.40,0.39
2010M11,0.231,0.57,0.64,0.64,0.43,0.46,0.48,0.45,0.48,0.42,0.42,-,0.43,0.55,-,0.69,0.73,0.83,0.39,0.41,0.38
