期間,本國法人_原始值,本國法人_年增率(%),本國法人_原始值,本國法人_年增率(%),僑外法人_原始值,僑外法人_年增率(%),僑外法人_原始值,僑外法人_年增率(%),本國自然人_原始值,本國自然人_年增率(%),本國自然人_原始值,本國自然人_年增率(%),外國自然人_原始值,外國自然人_年增率(%),外國自然人_原始值,外國自然人_年增率(%)
2005,"5,063.87",-9.42,13.30,-,"5,891.13",12.02,15.50,-,"26,228.77",-28.57,68.80,-,918.10,16.74,2.40,-
2006,"5,338.44",5.42,11.00,-,"7,809.16",32.56,16.20,-,"34,118.39",30.08,70.60,-,"1,087.56",18.46,2.20,-
