期間,資產合計=負債淨值合計_原始值,資產合計=負債淨值合計_年增率(%),資產--國外資產_原始值,資產--國外資產_年增率(%),資產--放款-計_原始值,資產--放款-計_年增率(%),資產--放款-政府機關_原始值,資產--放款-政府機關_年增率(%),資產--放款-公營事業_原始值,資產--放款-公營事業_年增率(%),資產--放款-民間部門_原始值,資產--放款-民間部門_年增率(%),資產--對非金融機構證券投資-政府機關_原始值,資產--對非金融機構證券投資-政府機關_年增率(%),資產--對非金融機構證券投資-公營事業_原始值,資產--對非金融機構證券投資-公營事業_年增率(%),資產--對非金融機構證券投資-民營企業_原始值,資產--對非金融機構證券投資-民營企業_年增率(%),資產--對金融機構證券投資_原始值,資產--對金融機構證券投資_年增率(%),資產--對金融機構債權-中央銀行_原始值,資產--對金融機構債權-中央銀行_年增率(%),資產--對金融機構債權-其他貨幣機構_原始值,資產--對金融機構債權-其他貨幣機構_年增率(%),資產--對金融機構債權-人壽保險公司等_原始值,資產--對金融機構債權-人壽保險公司等_年增率(%),資產--庫存現金_原始值,資產--庫存現金_年增率(%),資產--其他資產_原始值,資產--其他資產_年增率(%),負債與淨值--國外負債_原始值,負債與淨值--國外負債_年增率(%),負債與淨值--企業及個人存款-計_原始值,負債與淨值--企業及個人存款-計_年增率(%),負債與淨值--企業及個人存款-支票存款_原始值,負債與淨值--企業及個人存款-支票存款_年增率(%),負債與淨值--企業及個人存款-活期存款_原始值,負債與淨值--企業及個人存款-活期存款_年增率(%),負債與淨值--企業及個人存款-活期儲蓄存款_原始值,負債與淨值--企業及個人存款-活期儲蓄存款_年增率(%),負債與淨值--企業及個人存款-定期存款_原始值,負債與淨值--企業及個人存款-定期存款_年增率(%),負債與淨值--企業及個人存款-可轉讓定期存單_原始值,負債與淨值--企業及個人存款-可轉讓定期存單_年增率(%),負債與淨值--企業及個人存款-定期儲蓄存款_原始值,負債與淨值--企業及個人存款-定期儲蓄存款_年增率(%),負債與淨值--企業及個人存款-外匯存款_原始值,負債與淨值--企業及個人存款-外匯存款_年增率(%),負債與淨值--政府存款_原始值,負債與淨值--政府存款_年增率(%),負債與淨值--對金融機構負債-中央銀行_原始值,負債與淨值--對金融機構負債-中央銀行_年增率(%),負債與淨值--對金融機構負債-其他貨幣機構_原始值,負債與淨值--對金融機構負債-其他貨幣機構_年增率(%),負債與淨值--對金融機構負債-其他金融機構-中華郵政公司_原始值,負債與淨值--對金融機構負債-其他金融機構-中華郵政公司_年增率(%),負債與淨值--對金融機構負債-人壽保險公司等_原始值,負債與淨值--對金融機構負債-人壽保險公司等_年增率(%),負債與淨值--金融債券_原始值,負債與淨值--金融債券_年增率(%),負債與淨值--其他負債_原始值,負債與淨值--其他負債_年增率(%),負債與淨值--淨值_原始值,負債與淨值--淨值_年增率(%)
2001M05,"1,334,957",31.01,"457,238",144.25,"392,971",-3.25,-,-,"3,815",-18.31,"389,156",-3.07,"12,950",36.60,-,-,"46,449",-36.47,251,-50.69,"79,634",-4.29,"16,892",-49.77,203,144.58,"1,279",-6.64,"327,090",45.90,"294,260",-11.36,"490,462",21.11,"6,934",-2.21,"64,099",14.49,73,-83.63,"184,972",6.87,"16,180",-33.83,4,100.00,"218,200",51.61,-,-,-,-,"167,227",910.01,"3,100",856.79,"22,087",110.47,-,-,"316,418",46.70,"44,503",13.37
2001M06,"1,313,056",31.34,"466,287",139.28,"386,568",-3.00,-,-,"3,197",-18.65,"383,371",-2.84,"15,573",49.35,-,-,"67,702",-11.13,"1,651",160.41,"67,365",-4.13,"13,481",-50.98,10,-88.10,"1,135",-22.79,"293,284",33.42,"294,491",-0.92,"490,285",16.12,"8,629",8.39,"64,026",4.40,36,-93.19,"184,400",6.32,"15,379",-36.87,4,100.00,"217,811",40.87,-,-,-,-,"165,259",830.83,"2,154",599.35,"22,446",164.01,-,-,"295,638",38.39,"44,937",11.15
2001M07,"1,335,626",32.15,"486,430",123.45,"395,536",-0.11,-,-,"2,267",-50.16,"393,269",0.47,"15,799",78.24,-,-,"55,518",-30.99,"2,596",319.39,"70,991",-0.76,"15,804",-28.67,-,-,"1,036",-28.16,"291,916",37.77,"345,853",14.77,"494,229",15.77,"13,508",62.08,"64,731",10.56,50,-90.91,"181,471",6.67,"14,624",-38.78,10,400.00,"219,835",32.86,-,-,-,-,"137,935",320.26,848,296.26,"25,907",266.49,-,-,"285,860",41.25,"45,842",14.25
2001M08,"1,294,866",30.93,"423,121",90.10,"390,496",-3.21,-,-,"1,419",-45.04,"389,077",-2.94,"13,850",194.87,-,-,"59,835",-16.77,"3,486",676.39,"77,452",19.83,"15,694",-32.87,290,297.26,"1,028",-13.32,"309,614",57.48,"357,739",28.33,"474,829",11.88,"7,019",-11.45,"64,407",7.53,77,40.00,"184,130",8.84,"13,424",-45.29,4,0.00,"205,768",26.38,-,-,-,-,"74,712",92.87,310,56.57,"25,016",176.63,-,-,"317,080",61.09,"45,490",10.53
2001M09,"1,351,834",31.07,"497,032",88.65,"385,734",-7.30,-,-,"1,452",-56.17,"384,282",-6.91,"20,459",311.73,-,-,"63,307",-7.88,"5,376","6,009.09","82,191",23.78,"15,883",-24.94,-,-,"1,115",-3.63,"280,737",48.91,"433,695",47.74,"469,531",3.95,"8,777",22.74,"66,804",8.52,79,58.00,"182,144",6.35,"13,092",-42.73,5,25.00,"198,630",5.22,-,-,-,-,"103,265",128.08,776,187.41,"23,076",115.02,-,-,"280,482",48.75,"41,785",0.40
2001M10,"1,337,481",15.55,"435,672",30.24,"382,594",-8.96,-,-,"1,094",-60.77,"381,500",-8.62,"20,283",311.59,-,-,"61,303",-6.53,"2,826",381.43,"74,687",46.97,"18,109",-10.59,-,-,"1,030",-14.88,"340,977",31.94,"367,088",28.84,"477,587",-2.79,"6,517",-12.19,"66,111",7.47,79,113.51,"177,424",-2.98,"12,802",-45.25,5,25.00,"214,649",-0.66,-,-,-,-,"83,421",12.87,"1,481",60.98,"20,074",71.21,-,-,"346,639",37.40,"42,672",-1.50
2001M11,"1,265,666",4.88,"395,820",2.68,"384,303",-7.57,-,-,"1,360",-33.27,"382,943",-7.45,"20,969",207.78,-,-,"55,955",0.50,"3,120",186.76,"90,305",54.21,"20,547",10.56,-,-,974,-32.64,"293,673",11.90,"377,052",28.61,"478,661",-6.95,"6,613",-3.39,"67,330",3.82,155,252.27,"184,708",-4.34,"11,759",-46.99,5,25.00,"208,091",-8.50,-,-,-,-,"54,342",-29.65,446,74.90,"20,714",-9.95,-,-,"292,016",14.47,"42,881",-2.27
2001M12,"1,277,370",4.90,"395,461",-9.93,"379,468",-4.96,-,-,559,-84.51,"378,909",-4.23,"17,908",163.97,-,-,"60,263",12.54,"3,244",441.57,"98,411",60.18,"19,907",56.27,202,-72.70,"1,182",-21.62,"301,324",24.48,"381,660",44.14,"481,512",-11.97,"7,454",-11.64,"73,716",9.86,85,193.10,"185,212",-7.38,"11,213",-43.42,5,25.00,"203,827",-18.99,-,-,-,-,"59,190",-34.78,374,-90.09,"19,534",-24.82,-,-,"293,500",18.78,"41,974",-0.41
2002M01,"1,308,032",2.43,"402,009",-5.06,"378,559",-5.52,-,-,"1,070",-78.18,"377,489",-4.62,"21,037",67.41,-,-,"69,934",27.90,"7,941","1,036.05","97,028",36.20,"24,792",69.17,586,-14.08,"1,702",-0.29,"304,444",2.63,"386,629",44.80,"496,946",-9.20,"6,188",-19.28,"72,290",-0.50,254,440.43,"193,657",-2.85,"10,923",-46.05,5,25.00,"213,629",-13.63,-,-,350,-,"62,074",-35.49,956,-83.45,"15,833",-42.13,-,-,"305,475",3.43,"40,725",-6.89
2002M02,"1,304,085",3.90,"393,097",-5.96,"378,764",-4.50,-,-,"1,587",-52.61,"377,177",-4.09,"22,148",82.33,-,-,"69,972",19.91,"7,215",504.78,"107,943",38.82,"27,456",38.23,652,-34.41,"1,162",-3.65,"295,676",9.90,"393,305",34.77,"508,093",-3.43,"10,077",16.94,"69,502",2.41,78,39.29,"204,895",5.93,"10,272",-47.30,5,25.00,"213,264",-9.90,-,-,351,-,"45,875",-53.28,354,-70.05,"16,080",-33.15,-,-,"299,199",10.40,"41,182",-6.31
